season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
2017,REG,1,13981,Stefon Diggs,NE,1,Stefon Diggs(NE),1,7,93,13.3,76,10.9,0,0.0,17,2.4,6,0.9,0,8,25.0%,7,0,2,5,2,1,0,0,30
2017,REG,1,15802,Tyreek Hill,MIA,2,Tyreek Hill(MIA),1,7,133,19.0,78,11.1,0,0.0,55,7.9,1,0.1,0,8,23.5%,7,0,0,4,1,1,1,1,75
2017,REG,1,16488,Kenny Golladay,FA,3,Kenny Golladay(FA),1,4,69,17.3,64,16.0,0,0.0,5,1.3,0,0.0,0,7,17.9%,5,1,1,2,1,1,1,0,45
2017,REG,1,9808,Antonio Brown,FA,4,Antonio Brown(FA),1,11,182,16.5,90,8.2,0,0.0,92,8.4,50,4.5,0,11,30.6%,11,0,0,7,2,2,1,1,50
2017,REG,1,13429,Adam Thielen,CAR,5,Adam Thielen(CAR),1,9,157,17.4,92,10.2,0,0.0,65,7.2,17,1.9,0,10,31.3%,10,0,0,4,4,2,1,0,44
2017,REG,1,13969,Nelson Agholor,FA,6,Nelson Agholor(FA),1,6,86,14.3,51,8.5,0,0.0,35,5.8,18,3.0,0,8,21.1%,6,0,1,3,1,1,1,1,58
2017,REG,1,13081,Bennie Fowler III,FA,7,Bennie Fowler III(FA),1,3,21,7.0,21,7.0,0,0.0,0,0.0,0,0.0,0,4,14.3%,3,0,2,1,0,0,0,0,10
2017,REG,1,9320,Jordy Nelson,FA,8,Jordy Nelson(FA),1,7,79,11.3,73,10.4,0,0.0,6,0.9,1,0.1,0,8,19.0%,7,0,0,3,1,1,0,0,32
2017,REG,2,9460,Michael Crabtree,FA,1,Michael Crabtree(FA),1,6,80,13.3,50,8.3,0,0.0,30,5.0,0,0.0,0,6,21.4%,6,0,0,3,3,0,0,0,26
2017,REG,2,11548,Jermaine Kearse,FA,2,Jermaine Kearse(FA),1,4,64,16.0,57,14.3,0,0.0,7,1.8,0,0.0,0,5,20.8%,4,0,0,3,1,1,0,0,34
2017,REG,2,9707,Emmanuel Sanders,FA,3,Emmanuel Sanders(FA),1,6,62,10.3,39,6.5,0,0.0,23,3.8,19,3.2,0,8,26.7%,6,0,3,2,1,0,0,0,25
2017,REG,2,14234,J.J. Nelson,FA,4,J.J. Nelson(FA),1,5,120,24.0,105,21.0,0,0.0,15,3.0,5,1.0,0,7,19.4%,6,1,1,5,2,2,1,0,45
2017,REG,2,12123,Davante Adams,LA,5,Davante Adams(LAR),1,8,99,12.4,52,6.5,0,0.0,47,5.9,12,1.5,0,10,20.4%,8,0,0,3,1,1,0,0,33
2017,REG,2,12136,Martavis Bryant,FA,6,Martavis Bryant(FA),1,3,91,30.3,75,25.0,0,0.0,16,5.3,0,0.0,0,4,11.4%,3,0,0,3,2,1,1,1,51
2017,REG,2,12119,Mike Evans,TB,7,Mike Evans(TB),1,7,93,13.3,74,10.6,0,0.0,19,2.7,6,0.9,0,9,29.0%,8,1,1,6,0,0,0,0,18
2017,REG,2,11199,Alshon Jeffery,FA,8,Alshon Jeffery(FA),1,7,92,13.1,75,10.7,0,0.0,17,2.4,4,0.6,0,13,28.9%,7,0,2,7,0,0,0,0,18
2017,REG,3,13981,Stefon Diggs,NE,1,Stefon Diggs(NE),1,8,173,21.6,116,14.5,0,0.0,57,7.1,30,3.8,0,11,33.3%,10,2,1,5,2,2,2,1,59
2017,REG,3,12122,Brandin Cooks,NO,2,Brandin Cooks(NO),1,5,131,26.2,113,22.6,0,0.0,18,3.6,-1,-0.2,0,7,20.0%,5,0,0,4,3,2,2,0,44
2017,REG,3,12118,Sammy Watkins,FA,3,Sammy Watkins(FA),1,6,106,17.7,80,13.3,0,0.0,26,4.3,3,0.5,0,7,25.0%,6,0,1,4,2,1,1,0,47
2017,REG,3,11206,T.Y. Hilton,FA,4,T.Y. Hilton(FA),1,7,153,21.9,65,9.3,0,0.0,88,12.6,7,1.0,0,9,37.5%,8,0,0,4,4,2,1,1,61
2017,REG,3,9383,Larry Fitzgerald,FA,5,Larry Fitzgerald(FA),1,13,149,11.5,104,8.0,0,0.0,45,3.5,16,1.2,0,15,31.3%,13,0,1,5,3,1,0,0,37
2017,REG,3,12127,Odell Beckham Jr.,FA,6,Odell Beckham Jr.(FA),1,9,79,8.8,72,8.0,0,0.0,7,0.8,5,0.6,0,13,27.7%,10,1,2,4,0,0,0,0,14
2017,REG,3,15569,Sterling Shepard,TB,7,Sterling Shepard(TB),1,7,133,19.0,56,8.0,0,0.0,77,11.0,8,1.1,0,10,21.3%,7,0,3,5,1,1,1,1,77
2017,REG,3,11477,Chris Hogan,FA,8,Chris Hogan(FA),1,4,68,17.0,43,10.8,0,0.0,25,6.3,2,0.5,0,6,17.1%,5,1,0,2,1,1,1,0,47
2017,REG,4,9320,Jordy Nelson,FA,1,Jordy Nelson(FA),1,4,75,18.8,55,13.8,0,0.0,20,5.0,0,0.0,0,7,25.9%,6,1,2,1,1,1,1,1,58
2017,REG,4,13915,Devin Funchess,FA,2,Devin Funchess(FA),1,7,70,10.0,39,5.6,0,0.0,31,4.4,10,1.4,1,9,31.0%,7,0,0,4,0,0,0,0,16
2017,REG,4,14324,Tyrell Williams,FA,3,Tyrell Williams(FA),1,5,115,23.0,57,11.4,0,0.0,58,11.6,16,3.2,0,6,16.2%,5,0,0,2,2,1,1,1,75
