season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2017,REG,1,13981,Stefon Diggs,NE,1,Stefon Diggs(NE),3,3,100.0%,0,7.3,0,60.0%,0,0%,0,1,14.2,14.2,84.6%
2017,REG,1,13081,Bennie Fowler III,FA,2,Bennie Fowler III(FA),2,2,100.0%,0,5.5,0,66.7%,0,0%,0,1,13.1,13.1,0.0%
2017,REG,1,13840,Seth Roberts,FA,3,Seth Roberts(FA),1,1,100.0%,0,19.0,0,20.0%,0,0%,0,1,7.9,7.9,0.0%
2017,REG,1,16433,Cooper Kupp,SEA,4,Cooper Kupp(SEA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,83.1%
2017,REG,1,11606,DeAndre Hopkins,BAL,5,DeAndre Hopkins(BAL),2,3,66.7%,0,5.5,0,75.0%,0,0%,0,1,7.1,7.1,16.7%
2017,REG,1,16488,Kenny Golladay,FA,6,Kenny Golladay(FA),1,1,100.0%,0,10.0,0,33.3%,0,0%,0,1,7.0,7.0,4.0%
2017,REG,1,13894,Amari Cooper,FA,7,Amari Cooper(FA),1,4,25.0%,0,8.0,0,80.0%,0,0%,0,1,6.8,6.8,9.1%
2017,REG,1,11215,Marvin Jones Jr.,FA,8,Marvin Jones Jr.(FA),1,1,100.0%,0,6.0,0,33.3%,0,0%,0,1,6.6,6.6,0.0%
2017,REG,2,9707,Emmanuel Sanders,FA,1,Emmanuel Sanders(FA),3,3,100.0%,0,7.0,0,75.0%,0,0%,0,1,14.1,14.1,0.0%
2017,REG,2,9460,Michael Crabtree,FA,2,Michael Crabtree(FA),2,2,100.0%,0,1.5,0,66.7%,0,0%,0,1,12.3,12.3,0.0%
2017,REG,2,11477,Chris Hogan,FA,3,Chris Hogan(FA),2,3,66.7%,0,9.5,0,75.0%,0,0%,0,1,7.9,7.9,0.0%
2017,REG,2,12996,Allen Hurns,FA,4,Allen Hurns(FA),2,2,100.0%,0,8.0,0,100.0%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,2,11199,Alshon Jeffery,FA,5,Alshon Jeffery(FA),1,2,50.0%,0,16.0,0,50.0%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,2,11434,Deonte Thompson,FA,6,Deonte Thompson(FA),1,2,50.0%,0,14.0,0,28.6%,0,0%,0,1,7.4,7.4,0.0%
2017,REG,2,12119,Mike Evans,TB,7,Mike Evans(TB),1,2,50.0%,0,13.0,0,50.0%,0,0%,0,1,7.3,7.3,97.6%
2017,REG,2,12260,Ryan Grant,FA,8,Ryan Grant(FA),1,1,100.0%,0,11.0,0,50.0%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,3,12127,Odell Beckham Jr.,FA,1,Odell Beckham Jr.(FA),3,3,100.0%,0,7.3,0,42.9%,0,0%,0,1,14.2,14.2,1.1%
2017,REG,3,9320,Jordy Nelson,FA,2,Jordy Nelson(FA),4,4,100.0%,0,4.8,0,44.4%,0,0.0%,0,1,13.9,13.9,0.1%
2017,REG,3,12118,Sammy Watkins,FA,3,Sammy Watkins(FA),2,2,100.0%,0,7.0,0,50.0%,0,0.0%,0,1,13.4,13.4,0.0%
2017,REG,3,9383,Larry Fitzgerald,FA,4,Larry Fitzgerald(FA),3,4,75.0%,0,7.7,0,50.0%,0,0%,0,1,8.3,8.3,0.8%
2017,REG,3,13981,Stefon Diggs,NE,5,Stefon Diggs(NE),2,2,100.0%,0,11.5,0,50.0%,0,0%,0,1,8.3,8.3,84.6%
2017,REG,3,15528,Michael Thomas,FA,6,Michael Thomas(FA),2,2,100.0%,0,8.5,0,66.7%,0,0.0%,0,1,7.7,7.7,0.7%
2017,REG,3,9681,Dez Bryant,FA,7,Dez Bryant(FA),1,1,100.0%,0,15.0,0,100.0%,0,0%,0,1,7.5,7.5,2.6%
2017,REG,3,9808,Antonio Brown,FA,8,Antonio Brown(FA),2,2,100.0%,0,7.5,0,33.3%,0,0%,0,1,7.5,7.5,1.0%
2017,REG,4,15629,William Fuller V,FA,1,William Fuller V(FA),2,2,100.0%,0,13.0,0,50.0%,0,0%,0,1,14.6,14.6,0.0%
2017,REG,4,13915,Devin Funchess,FA,2,Devin Funchess(FA),2,3,66.7%,0,13.0,0,100.0%,0,0%,0,1,14.6,14.6,0.0%
2017,REG,4,9320,Jordy Nelson,FA,3,Jordy Nelson(FA),2,2,100.0%,0,6.0,0,33.3%,0,0%,0,1,13.2,13.2,0.1%
2017,REG,4,9383,Larry Fitzgerald,FA,4,Larry Fitzgerald(FA),2,2,100.0%,0,11.0,0,66.7%,0,0%,0,1,8.2,8.2,0.8%
2017,REG,4,12125,Donte Moncrief,FA,5,Donte Moncrief(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,4,16433,Cooper Kupp,SEA,6,Cooper Kupp(SEA),2,2,100.0%,0,8.5,0,40.0%,0,0%,0,1,7.7,7.7,83.1%
2017,REG,4,9479,Mike Wallace,FA,7,Mike Wallace(FA),1,3,33.3%,0,16.0,0,50.0%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,4,12123,Davante Adams,LA,8,Davante Adams(LAR),2,3,66.7%,0,6.5,0,50.0%,0,0%,0,1,7.3,7.3,96.5%
2017,REG,5,12123,Davante Adams,LA,1,Davante Adams(LAR),2,3,66.7%,0,11.0,0,50.0%,0,0%,0,1,14.2,14.2,96.5%
2017,REG,5,11459,Cole Beasley,FA,2,Cole Beasley(FA),2,3,66.7%,0,3.5,0,60.0%,0,0%,0,1,12.7,12.7,0.0%
2017,REG,5,11606,DeAndre Hopkins,BAL,3,DeAndre Hopkins(BAL),2,2,100.0%,0,3.5,0,66.7%,0,0.0%,0,1,12.7,12.7,16.7%
2017,REG,5,15629,William Fuller V,FA,4,William Fuller V(FA),1,1,100.0%,5,9.0,0,33.3%,1,100.0%,0,1,7.4,7.4,0.0%
2017,REG,5,12231,John Brown,FA,5,John Brown(FA),1,1,100.0%,0,13.0,0,100.0%,0,0%,0,1,7.3,7.3,0.0%
