season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2017,REG,1,13981,stefon diggs,NE,1,Stefon Diggs(NE),3,3,1.0,0,7.3,0,0.6,0,0.0,0,1,14.2,14.2,0.846,stefon diggs,stefon diggs_2017_1,2017,1,nan,Stefon Diggs,WR,WR,MIN,New Orleans Saints,6000,6600,27.7,24.2,stefon diggs
2017,REG,1,13081,bennie fowler iii,FA,2,Bennie Fowler III(FA),2,2,1.0,0,5.5,0,0.667,0,0.0,0,1,13.1,13.1,0.0,bennie fowler iii,bennie fowler iii_2017_1,,,,,,,,,,,,,
2017,REG,1,13840,seth roberts,FA,3,Seth Roberts(FA),1,1,1.0,0,19.0,0,0.2,0,0.0,0,1,7.9,7.9,0.0,seth roberts,seth roberts_2017_1,2017,1,nan,Seth Roberts,WR,WR,LV,Tennessee Titans,3300,5200,8.9,8.4,seth roberts
2017,REG,1,16433,cooper kupp,SEA,4,Cooper Kupp(SEA),1,1,1.0,0,18.0,0,1.0,0,0.0,0,1,7.8,7.8,0.831,cooper kupp,cooper kupp_2017_1,2017,1,nan,Cooper Kupp,WR,WR,LA,Indianapolis Colts,3700,4900,17.6,15.6,cooper kupp
2017,REG,1,11606,deandre hopkins,BAL,5,DeAndre Hopkins(BAL),2,3,0.667,0,5.5,0,0.75,0,0.0,0,1,7.1,7.1,0.167,deandre hopkins,deandre hopkins_2017_1,2017,1,nan,DeAndre Hopkins,WR,WR,HOU,Jacksonville Jaguars,5900,7100,18.5,15.0,deandre hopkins
2017,REG,1,16488,kenny golladay,FA,6,Kenny Golladay(FA),1,1,1.0,0,10.0,0,0.333,0,0.0,0,1,7.0,7.0,0.04,kenny golladay,kenny golladay_2017_1,2017,1,nan,Kenny Golladay,WR,WR,DET,Arizona Cardinals,3600,5100,22.9,20.9,kenny golladay
2017,REG,1,13894,amari cooper,FA,7,Amari Cooper(FA),1,4,0.25,0,8.0,0,0.8,0,0.0,0,1,6.8,6.8,0.091,amari cooper,amari cooper_2017_1,2017,1,nan,Amari Cooper,WR,WR,LV,Tennessee Titans,7200,7600,17.2,14.7,amari cooper
2017,REG,1,11215,marvin jones jr.,FA,8,Marvin Jones Jr.(FA),1,1,1.0,0,6.0,0,0.333,0,0.0,0,1,6.6,6.6,0.0,marvin jones jr,marvin jones jr_2017_1,,,,,,,,,,,,,
2017,REG,2,9707,emmanuel sanders,FA,1,Emmanuel Sanders(FA),3,3,1.0,0,7.0,0,0.75,0,0.0,0,1,14.1,14.1,0.0,emmanuel sanders,emmanuel sanders_2017_2,2017,2,nan,Emmanuel Sanders,WR,WR,DEN,Dallas Cowboys,5200,6400,24.2,21.2,emmanuel sanders
2017,REG,2,9460,michael crabtree,FA,2,Michael Crabtree(FA),2,2,1.0,0,1.5,0,0.667,0,0.0,0,1,12.3,12.3,0.0,michael crabtree,michael crabtree_2017_2,2017,2,nan,Michael Crabtree,WR,WR,LV,New York Jets,7100,7300,32.0,29.0,michael crabtree
2017,REG,2,11477,chris hogan,FA,3,Chris Hogan(FA),2,3,0.667,0,9.5,0,0.75,0,0.0,0,1,7.9,7.9,0.0,chris hogan,chris hogan_2017_2,2017,2,nan,Chris Hogan,WR,WR,NE,New Orleans Saints,5600,6200,18.8,16.3,chris hogan
2017,REG,2,12996,allen hurns,FA,4,Allen Hurns(FA),2,2,1.0,0,8.0,0,1.0,0,0.0,0,1,7.6,7.6,0.0,allen hurns,allen hurns_2017_2,2017,2,nan,Allen Hurns,WR,WR,JAX,Tennessee Titans,3900,5600,20.2,17.2,allen hurns
2017,REG,2,11199,alshon jeffery,FA,5,Alshon Jeffery(FA),1,2,0.5,0,16.0,0,0.5,0,0.0,0,1,7.6,7.6,0.0,alshon jeffery,alshon jeffery_2017_2,2017,2,nan,Alshon Jeffery,WR,WR,PHI,Kansas City Chiefs,5700,6900,22.2,18.7,alshon jeffery
2017,REG,2,11434,deonte thompson,FA,6,Deonte Thompson(FA),1,2,0.5,0,14.0,0,0.286,0,0.0,0,1,7.4,7.4,0.0,deonte thompson,deonte thompson_2017_2,2017,2,nan,Deonte Thompson,WR,WR,CHI,Tampa Bay Buccaneers,3000,4500,15.7,13.7,deonte thompson
2017,REG,2,12119,mike evans,TB,7,Mike Evans(TB),1,2,0.5,0,13.0,0,0.5,0,0.0,0,1,7.3,7.3,0.976,mike evans,mike evans_2017_2,2017,2,nan,Mike Evans,WR,WR,TB,Chicago Bears,7700,8500,22.3,18.8,mike evans
2017,REG,2,12260,ryan grant,FA,8,Ryan Grant(FA),1,1,1.0,0,11.0,0,0.5,0,0.0,0,1,7.1,7.1,0.0,ryan grant,ryan grant_2017_2,2017,2,nan,Ryan Grant,WR,WR,WAS,Los Angeles Rams,3500,4600,8.1,7.6,ryan grant
2017,REG,3,12127,odell beckham jr.,FA,1,Odell Beckham Jr.(FA),3,3,1.0,0,7.3,0,0.429,0,0.0,0,1,14.2,14.2,0.011,odell beckham jr,odell beckham jr_2017_3,,,,,,,,,,,,,
2017,REG,3,9320,jordy nelson,FA,2,Jordy Nelson(FA),4,4,1.0,0,4.8,0,0.444,0,0.0,0,1,13.9,13.9,0.001,jordy nelson,jordy nelson_2017_3,2017,3,nan,Jordy Nelson,WR,WR,GB,Cincinnati Bengals,7800,8400,23.2,20.2,jordy nelson
2017,REG,3,12118,sammy watkins,FA,3,Sammy Watkins(FA),2,2,1.0,0,7.0,0,0.5,0,0.0,0,1,13.4,13.4,0.0,sammy watkins,sammy watkins_2017_3,2017,3,nan,Sammy Watkins,WR,WR,LA,San Francisco 49ers,5500,6900,31.6,25.6,sammy watkins
2017,REG,3,9383,larry fitzgerald,FA,4,Larry Fitzgerald(FA),3,4,0.75,0,7.7,0,0.5,0,0.0,0,1,8.3,8.3,0.008,larry fitzgerald,larry fitzgerald_2017_3,2017,3,nan,Larry Fitzgerald,WR,WR,ARI,Dallas Cowboys,6400,6500,36.9,27.4,larry fitzgerald
