season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2017,REG,1,Ryan Grant,WR,WAS,9.9366665,2.8945923,4.41,7.154639,4,6,66.666664,61.0,0,11.2325,10.072361,1.160139,00-0031068,Ryan,Grant,R.Grant,ryan grant,ryan grant_2017_1,2017,1,nan,Ryan Grant,WR,WR,WAS,Philadelphia Eagles,3400,4700,10.1,8.1,ryan grant
2017,REG,1,Martavis Bryant,WR,PIT,8.3,4.122054,12.6883335,33.327496,2,6,33.333332,14.0,0,0.155,4.098278,-3.9432778,00-0031373,Martavis,Bryant,M.Bryant,martavis bryant,martavis bryant_2017_1,2017,1,nan,Martavis Bryant,WR,WR,PIT,Cleveland Browns,6000,6500,3.4,2.4,martavis bryant
2017,REG,1,Jamison Crowder,WR,WAS,7.655,3.1777935,10.54,19.949707,3,7,42.857143,14.0,0,1.45,1.6318969,-0.18189687,00-0031941,Jamison,Crowder,J.Crowder,jamison crowder,jamison crowder_2017_1,2017,1,nan,Jamison Crowder,WR,WR,WAS,Philadelphia Eagles,5600,6500,3.4,0.9,jamison crowder
2017,REG,1,Nelson Agholor,WR,PHI,7.42375,2.46262,10.46375,20.274656,6,8,75.0,86.0,1,5.6116667,3.2624695,2.3491971,00-0031549,Nelson,Agholor,N.Agholor,nelson agholor,nelson agholor_2017_1,2017,1,nan,Nelson Agholor,WR,WR,PHI,Washington Redskins,3800,4900,20.6,17.6,nelson agholor
2017,REG,1,John Brown,WR,ARI,7.36,2.7515256,13.422222,28.20848,4,9,44.444443,32.0,0,-0.3775,0.96199346,-1.3394934,00-0031051,John,Brown,J.Brown,john brown,john brown_2017_1,2017,1,nan,John Brown,WR,WR,ARI,Detroit Lions,4800,5700,8.2,6.2,john brown
2017,REG,1,Terrance Williams,WR,DAL,7.2885714,3.182878,5.245714,11.876576,6,7,85.71429,68.0,0,7.83,8.685806,-0.85580605,00-0030542,Terrance,Williams,T.Williams,terrance williams,terrance williams_2017_1,2017,1,nan,Terrance Williams,WR,WR,DAL,New York Giants,3800,5100,12.8,9.8,terrance williams
2017,REG,1,Terrelle Pryor,WR,WAS,7.140909,2.3358402,15.639091,46.51597,6,11,54.545456,66.0,0,4.7766666,4.041781,0.73488593,00-0028825,Terrelle,Pryor,T.Pryor,terrelle pryor,terrelle pryor_2017_1,2017,1,nan,Terrelle Pryor,WR,WR,WAS,Philadelphia Eagles,6100,6200,12.6,9.6,terrelle pryor
2017,REG,1,Tyreek Hill,WR,KC,7.0785713,5.210156,11.55125,35.725056,7,8,87.5,133.0,1,7.9457145,10.144182,-2.1984675,00-0033040,Tyreek,Hill,T.Hill,tyreek hill,tyreek hill_2017_1,2017,1,nan,Tyreek Hill,WR,WR,KC,New England Patriots,5700,6700,29.8,23.3,tyreek hill
2017,REG,1,Robert Woods,WR,LA,6.91,2.8267379,11.944,25.579304,3,5,60.0,53.0,0,3.4733334,7.0240703,-3.5507371,00-0030431,Robert,Woods,R.Woods,robert woods,robert woods_2017_1,2017,1,nan,Robert Woods,WR,WR,LA,Indianapolis Colts,4000,5700,8.3,6.8,robert woods
2017,REG,1,Kelvin Benjamin,WR,CAR,6.718,1.0752776,16.298,37.079674,1,5,20.0,25.0,0,4.7,2.747971,1.952029,00-0031359,Kelvin,Benjamin,K.Benjamin,kelvin benjamin,kelvin benjamin_2017_1,2017,1,nan,Kelvin Benjamin,WR,WR,CAR,San Francisco 49ers,5900,6500,3.5,3.0,kelvin benjamin
2017,REG,1,T.Y. Hilton,WR,IND,6.6057143,1.8808591,14.495714,46.467007,3,7,42.857143,57.0,0,3.64,4.32579,-0.68578976,00-0029608,Eugene,Hilton,T.Hilton,ty hilton,ty hilton_2017_1,2017,1,nan,T.Y. Hilton,WR,WR,IND,Los Angeles Rams,6900,8000,7.7,5.2,ty hilton
2017,REG,1,J.J. Nelson,WR,ARI,6.5833335,1.7633475,10.6866665,14.972913,5,6,83.333336,43.0,1,-0.886,0.41107386,-1.2970738,00-0032112,Jamarcus,Nelson,J.Nelson,jj nelson,jj nelson_2017_1,2017,1,nan,JJ Nelson,WR,WR,ARI,Detroit Lions,3700,5200,15.3,12.8,jj nelson
2017,REG,1,Keenan Allen,WR,LAC,6.547,2.400403,6.368,31.137842,5,10,50.0,35.0,1,1.162,2.0746717,-0.9126717,00-0030279,Keenan,Allen,K.Allen,keenan allen,keenan allen_2017_1,2017,1,nan,Keenan Allen,WR,WR,LAC,Denver Broncos,6100,7000,14.5,12.0,keenan allen
2017,REG,1,Albert Wilson,WR,KC,6.54,4.77531,3.254,6.2898674,5,5,100.0,37.0,0,4.146,4.389587,-0.2435868,00-0030669,Albert,Wilson,A.Wilson,albert wilson,albert wilson_2017_1,2017,1,nan,Albert Wilson,WR,WR,KC,New England Patriots,3200,4500,8.7,6.2,albert wilson
2017,REG,1,Ted Ginn,WR,NO,6.444,3.4080958,9.198,17.764301,4,5,80.0,53.0,0,3.505,3.9419515,-0.43695143,00-0025396,Ted,Ginn,T.Ginn,ted ginn,ted ginn_2017_1,2017,1,nan,Ted Ginn,WR,WR,NO,Minnesota Vikings,4200,5600,9.8,7.8,ted ginn
2017,REG,1,Cooper Kupp,WR,LA,6.41,3.1936893,12.47,32.046944,4,6,66.666664,76.0,1,4.15,4.0063643,0.14363545,00-0033908,Cooper,Kupp,C.Kupp,cooper kupp,cooper kupp_2017_1,2017,1,nan,Cooper Kupp,WR,WR,LA,Indianapolis Colts,3700,4900,17.6,15.6,cooper kupp
2017,REG,1,Corey Coleman,WR,CLE,6.1316667,3.4433205,12.35,22.052916,5,6,83.333336,53.0,1,0.708,3.978917,-3.270917,00-0032966,Corey,Coleman,C.Coleman,corey coleman,corey coleman_2017_1,2017,1,nan,Corey Coleman,WR,WR,CLE,Pittsburgh Steelers,4400,5700,16.3,13.8,corey coleman
2017,REG,1,Corey Davis,WR,TEN,6.079,3.7674308,10.148,27.585083,6,10,60.0,69.0,0,4.0266666,4.433453,-0.40678653,00-0033871,Corey,Davis,C.Davis,corey davis,corey davis_2017_1,2017,1,nan,Corey Davis,WR,WR,TEN,Oakland Raiders,4000,5500,12.9,9.9,corey davis
2017,REG,1,Marquise Goodwin,WR,SF,6.008333,1.840629,20.828333,47.938164,3,6,50.0,21.0,0,0.41,0.6291423,-0.21914229,00-0030068,Marquise,Goodwin,M.Goodwin,marquise goodwin,marquise goodwin_2017_1,2017,1,nan,Marquise Goodwin,WR,WR,SF,Carolina Panthers,3200,5400,5.1,3.6,marquise goodwin
2017,REG,1,Stefon Diggs,WR,MIN,5.937143,3.013835,10.44,33.06937,7,8,87.5,93.0,2,2.382857,1.550166,0.83269113,00-0031588,Stefon,Diggs,S.Diggs,stefon diggs,stefon diggs_2017_1,2017,1,nan,Stefon Diggs,WR,WR,MIN,New Orleans Saints,6000,6600,27.7,24.2,stefon diggs
2017,REG,1,Larry Fitzgerald,WR,ARI,5.9366665,2.2939742,10.764615,32.677937,6,13,46.153847,74.0,0,7.375,8.630824,-1.2558237,00-0022921,Larry,Fitzgerald,L.Fitzgerald,larry fitzgerald,larry fitzgerald_2017_1,2017,1,nan,Larry Fitzgerald,WR,WR,ARI,Detroit Lions,5900,6400,13.4,10.4,larry fitzgerald
2017,REG,1,Eric Decker,WR,TEN,5.9157143,2.7074313,6.9575,15.129933,3,8,37.5,10.0,0,2.9066668,4.456586,-1.5499191,00-0027690,Eric,Decker,E.Decker,eric decker,eric decker_2017_1,2017,1,nan,Eric Decker,WR,WR,TEN,Oakland Raiders,5000,6500,4.0,2.5,eric decker
2017,REG,1,Rishard Matthews,WR,TEN,5.8944445,3.330489,11.7722225,28.800152,5,9,55.555557,71.0,0,2.516,1.4206309,1.0953691,00-0029580,Rishard,Matthews,R.Matthews,rishard matthews,rishard matthews_2017_1,2017,1,nan,Rishard Matthews,WR,WR,TEN,Oakland Raiders,4200,6100,12.1,9.6,rishard matthews
