firstName,lastName,team,week,red_zone_pass_comp,red_zone_pass_att,red_zone_pass_pct,red_zone_pass_yds,red_zone_pass_y/a,red_zone_pass_td
,,,1,,,,,,
Josh,Allen,BUF,1,3,5,60.0%,29,5.8,2
Baker,Mayfield,TB,1,4,5,80.0%,26,5.2,3
Jayden,Daniels,WAS,1,1,1,100.0%,10,10.0,0
Derek,Carr,NO,1,2,2,100.0%,19,9.5,2
,,,1,3,4,75.0%,11,2.8,2
Anthony,Richardson,IND,1,0,2,0.0%,0,0.0,0
Bo,Nix,DEN,1,3,5,60.0%,13,2.6,0
Bryce,Young,CAR,1,0,4,0.0%,0,0.0,0
Jalen,Hurts,PHI,1,2,5,40.0%,29,5.8,1
Kirk,Cousins,ATL,1,3,4,75.0%,27,6.8,1
Tyrod,Taylor,NYJ,1,2,3,66.7%,7,2.3,1
Jordan,Love,GB,1,4,9,44.4%,22,2.4,1
Deshaun,Watson,CLE,1,3,6,50.0%,20,3.3,1
Matthew,Stafford,LAR,1,3,7,42.9%,21,3.0,1
Will,Levis,TEN,1,1,1,100.0%,17,17.0,1
Trevor,Lawrence,JAC,1,2,2,100.0%,17,8.5,1
Kyler,Murray,ARI,1,4,4,100.0%,17,4.3,1
Sam,Darnold,MIN,1,3,3,100.0%,14,4.7,1
Justin,Herbert,LAC,1,2,5,40.0%,14,2.8,1
Lamar,Jackson,BAL,1,1,8,12.5%,9,1.1,0
Justin,Fields,PIT,1,1,1,100.0%,1,1.0,0
Joe,Burrow,CIN,1,1,2,50.0%,13,6.5,0
Daniel,Jones,NYG,1,2,7,28.6%,3,0.4,0
Aaron,Rodgers,NYJ,1,2,3,66.7%,16,5.3,0
Jacoby,Brissett,NE,1,3,4,75.0%,15,3.8,0
Mahomes,II,KC,1,1,4,25.0%,13,3.3,0
Tua,Tagovailoa,MIA,1,3,4,75.0%,11,2.8,0
Dak,Prescott,DAL,1,1,2,50.0%,9,4.5,0
Jared,Goff,DET,1,3,6,50.0%,11,1.8,0
Brock,Purdy,SF,1,2,4,50.0%,8,2.0,0
Geno,Smith,SEA,1,1,3,33.3%,8,2.7,0
Caleb,Williams,CHI,1,1,3,33.3%,4,1.3,0
Minshew,II,LV,1,0,0,0%,0,0,0
,,,2,,,,,,
Jalen,Hurts,PHI,2,4,8,50.0%,16,2.0,1
Daniel,Jones,NYG,2,2,4,50.0%,11,2.8,2
Joe,Burrow,CIN,2,3,10,30.0%,12,1.2,2
Baker,Mayfield,TB,2,0,1,0.0%,0,0.0,0
Derek,Carr,NO,2,2,3,66.7%,19,6.3,0
Deshaun,Watson,CLE,2,1,1,100.0%,12,12.0,0
Tua,Tagovailoa,MIA,2,3,5,60.0%,29,5.8,1
Kyler,Murray,ARI,2,1,3,33.3%,18,6.0,1
Justin,Fields,PIT,2,4,4,100.0%,38,9.5,1
Anthony,Richardson,IND,2,2,4,50.0%,7,1.8,1
Sam,Darnold,MIN,2,5,6,83.3%,35,5.8,1
Brock,Purdy,SF,2,4,6,66.7%,24,4.0,1
Josh,Allen,BUF,2,1,2,50.0%,17,8.5,1
Minshew,II,LV,2,2,6,33.3%,12,2.0,1
Aaron,Rodgers,NYJ,2,1,3,33.3%,12,4.0,1
Malik,Willis,GB,2,1,2,50.0%,14,7.0,1
Kirk,Cousins,ATL,2,2,5,40.0%,12,2.4,1
Jacoby,Brissett,NE,2,2,6,33.3%,7,1.2,1
Mahomes,II,KC,2,3,4,75.0%,8,2.0,1
Lamar,Jackson,BAL,2,1,1,100.0%,8,8.0,1
Justin,Herbert,LAC,2,1,2,50.0%,5,2.5,1
Jared,Goff,DET,2,9,13,69.2%,37,2.8,0
Jayden,Daniels,WAS,2,0,4,0.0%,0,0.0,0
Caleb,Williams,CHI,2,0,1,0.0%,0,0.0,0
Matthew,Stafford,LAR,2,3,7,42.9%,21,3.0,0
Bo,Nix,DEN,2,1,5,20.0%,2,0.4,0
,,,2,1,1,100.0%,16,16.0,0
Trevor,Lawrence,JAC,2,1,5,20.0%,11,2.2,0
Skylar,Thompson,MIA,2,1,5,20.0%,8,1.6,0
Geno,Smith,SEA,2,1,1,100.0%,3,3.0,0
Dak,Prescott,DAL,2,0,4,0.0%,0,0.0,0
Bryce,Young,CAR,2,0,1,0.0%,0,0.0,0
Will,Levis,TEN,2,1,4,25.0%,11,2.8,0
Clayton,Tune,ARI,2,0,0,0%,0,0,0
,,,3,,,,,,
Sam,Darnold,MIN,3,6,10,60.0%,33,3.3,4
Dak,Prescott,DAL,3,3,6,50.0%,40,6.7,2
Lamar,Jackson,BAL,3,2,2,100.0%,16,8.0,1
Josh,Allen,BUF,3,4,6,66.7%,31,5.2,2
Jayden,Daniels,WAS,3,2,2,100.0%,9,4.5,1
Brock,Purdy,SF,3,4,4,100.0%,33,8.3,2
Mahomes,II,KC,3,5,8,62.5%,32,4.0,2
Daniel,Jones,NYG,3,4,5,80.0%,23,4.6,2
Aaron,Rodgers,NYJ,3,4,6,66.7%,26,4.3,2
Caleb,Williams,CHI,3,7,10,70.0%,30,3.0,2
Will,Levis,TEN,3,3,4,75.0%,19,4.8,2
Andy,Dalton,CAR,3,3,7,42.9%,16,2.3,2
Malik,Willis,GB,3,0,1,0.0%,0,0.0,0
Bo,Nix,DEN,3,2,5,40.0%,17,3.4,0
Justin,Fields,PIT,3,1,3,33.3%,4,1.3,0
Minshew,II,LV,3,1,2,50.0%,13,6.5,1
Kirk,Cousins,ATL,3,3,5,60.0%,23,4.6,1
Deshaun,Watson,CLE,3,2,2,100.0%,18,9.0,1
