year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_rushing_attempts,projected_rushing_yards,projected_rushing_tds,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,3043078,Derrick Henry,Derrick,Henry,RB,BAL,"$9,200","$9,100",+100,19,39,2.1,6,90.5%,3,3,100.0%,22,7.3,2,33.3%,16.35,17.5,16.93,21.02,96.95,0.92,1.15,9.9,0.05,99.7,99.7,99.7,99.7,99.7,99.7
2024,8,4360569,Jordan Mason,Jordan,Mason,RB,SF,"$8,900","$8,800",+100,31,91,2.9,3,77.5%,2,3,66.7%,20,10.0,0,75.0%,13.19,14.81,14.0,18.43,83.35,0.61,1.62,12.26,0.04,93.3,93.3,93.3,93.3,93.3,93.3
2024,8,3929630,Saquon Barkley,Saquon,Barkley,RB,PHI,"$9,100","$9,000",+100,22,69,3.1,4,73.3%,3,4,75.0%,24,8.0,1,100.0%,14.43,17.38,15.9,19.57,83.24,0.57,2.95,20.3,0.15,99.8,99.8,99.8,99.8,99.8,99.8
2024,8,4047365,Josh Jacobs,Josh,Jacobs,RB,GB,"$7,500","$7,300",+200,16,28,1.8,1,80.0%,3,4,75.0%,14,4.7,1,80.0%,11.74,14.49,13.12,15.28,67.1,0.42,2.76,20.39,0.1,98.7,98.7,98.7,98.7,98.7,98.7
2024,8,4241416,Chuba Hubbard,Chuba,Hubbard,RB,CAR,"$7,300","$7,400",-100,15,47,3.1,2,78.9%,4,4,100.0%,18,4.5,1,57.1%,10.78,13.53,12.15,16.98,67.48,0.33,2.75,17.78,0.08,90.9,90.9,90.9,90.9,90.9,90.9
2024,8,4430737,Kyren Williams,Kyren,Williams,RB,LAR,"$8,500","$8,600",-100,31,93,3.0,8,88.6%,5,6,83.3%,33,6.6,1,100.0%,14.68,16.54,15.61,20.27,83.37,0.81,1.85,13.97,0.06,99.6,99.6,99.6,99.6,99.6,99.6
2024,8,3045147,James Conner,James,Conner,RB,ARI,"$8,300","$8,000",+300,20,68,3.4,3,90.9%,0,0,0%,0,0,0,0.0%,11.39,13.34,12.36,16.21,68.84,0.47,1.96,13.92,0.08,95.3,95.3,95.3,95.3,95.3,95.3
2024,8,3042519,Aaron Jones,Aaron,Jones,RB,MIN,"$7,600","$7,200",+400,12,22,1.8,1,66.7%,7,9,77.8%,52,7.4,1,90.0%,12.67,16.04,14.36,14.77,68.87,0.42,3.37,24.81,0.16,96.6,96.6,96.6,96.6,96.6,96.6
2024,8,4430807,Bijan Robinson,Bijan,Robinson,RB,ATL,"$8,600","$8,200",+400,19,35,1.8,4,55.9%,2,2,100.0%,11,5.5,0,66.7%,14.39,17.83,16.11,16.83,77.22,0.52,3.44,27.35,0.17,99.8,99.8,99.8,99.8,99.8,99.8
2024,8,4241457,Najee Harris,Najee,Harris,RB,PIT,"$7,000","$7,000",0,23,56,2.4,1,82.1%,1,1,100.0%,11,11.0,0,25.0%,11.24,12.99,12.11,17.46,71.07,0.42,1.75,12.28,0.08,91.8,91.8,91.8,91.8,91.8,91.8
2024,8,4241985,J.K. Dobbins,J.K.,Dobbins,RB,LAC,,,,,,,,,,,,,,,,12.98,15.04,14.01,17.17,82.1,0.51,2.06,14.91,0.08,,,,,,
