year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4262921,Justin Jefferson,Justin,Jefferson,WR,MIN,"$9,300","$9,400",-100,4,5,80.0%,32,8.0,3,50.0%,12.76,18.86,15.81,6.1,91.51,0.59,99.8,99.8,99.8,99.8,99.8,99.8
2024,8,4362628,Ja'Marr Chase,Ja'Marr,Chase,WR,CIN,,,,,,,,,,,11.8,18.02,14.91,6.23,83.14,0.57,,,,,,
2024,8,3116165,Chris Godwin,Chris,Godwin,WR,TB,"$7,700","$7,500",+200,7,7,100.0%,47,6.7,3,35.0%,,,,,,,61.0,61.0,61.0,61.0,61.0,61.0
2024,8,4047650,DK Metcalf,DK,Metcalf,WR,SEA,"$8,300","$8,100",+200,2,6,33.3%,11,5.5,0,28.6%,0.0,0.0,0.0,0.0,0.0,0.0,98.1,98.1,98.1,98.1,98.1,98.1
2024,8,4258173,Nico Collins,Nico,Collins,WR,HOU,"$4,000","$4,000",0,1,7,14.3%,3,3.0,1,38.9%,,,,,,,98.3,98.3,98.3,98.3,98.3,98.3
2024,8,4432773,Brian Thomas Jr.,Brian,Thomas Jr.,WR,JAX,,,,,,,,,,,9.08,13.77,11.43,4.69,65.79,0.4,90.7,90.7,90.7,90.7,90.7,90.7
2024,8,4426502,Drake London,Drake,London,WR,ATL,"$7,900","$7,500",+400,10,12,83.3%,83,8.3,5,63.2%,10.37,16.39,13.38,6.02,74.31,0.51,99.2,99.2,99.2,99.2,99.2,99.2
2024,8,4432665,Brock Bowers,Brock,Bowers,WR,LV,,,,,,,,,,,,,,,,,,,,,,
2024,8,4426354,George Pickens,George,Pickens,WR,PIT,"$6,000","$6,000",0,3,10,30.0%,30,10.0,1,66.7%,9.17,13.85,11.51,4.68,66.72,0.43,93.9,93.9,93.9,93.9,93.9,93.9
2024,8,4241389,CeeDee Lamb,CeeDee,Lamb,WR,DAL,"$9,100",-,-,2,6,33.3%,11,5.5,0,35.3%,11.36,17.66,14.51,6.3,81.88,0.44,99.8,99.8,99.8,99.8,99.8,99.8
2024,8,4569618,Garrett Wilson,Garrett,Wilson,WR,NYJ,"$7,400","$7,400",0,8,14,57.1%,41,5.1,3,51.9%,9.19,14.37,11.78,5.18,65.9,0.44,99.5,99.5,99.5,99.5,99.5,99.5
2024,8,3121422,Terry McLaurin,Terry,McLaurin,WR,WSH,"$7,000","$7,200",-200,4,5,80.0%,26,6.5,3,35.7%,8.52,13.65,11.08,5.14,63.33,0.36,93.6,93.6,93.6,93.6,93.6,93.6
2024,8,4362249,Jayden Reed,Jayden,Reed,WR,GB,"$8,100","$7,600",+500,3,4,75.0%,22,7.3,2,21.1%,9.72,14.54,12.13,4.82,61.63,0.42,94.7,94.7,94.7,94.7,94.7,94.7
2024,8,4595348,Malik Nabers,Malik,Nabers,WR,NYG,"$8,300","$8,300",0,4,6,66.7%,11,2.8,3,33.3%,10.19,16.36,13.28,6.17,76.02,0.42,98.5,98.5,98.5,98.5,98.5,98.5
2024,8,2976212,Stefon Diggs,Stefon,Diggs,WR,HOU,"$8,500","$8,600",-100,5,5,100.0%,34,6.8,3,27.8%,9.49,15.31,12.4,5.82,69.1,0.44,98.7,98.7,98.7,98.7,98.7,98.7
2024,8,4040655,Darnell Mooney,Darnell,Mooney,WR,ATL,"$6,300","$6,300",0,2,5,40.0%,16,8.0,1,26.3%,7.83,12.23,10.03,4.41,57.53,0.35,72.1,72.1,72.1,72.1,72.1,72.1
2024,8,3128390,Allen Lazard,Allen,Lazard,WR,NYJ,"$5,100","$5,700",-600,5,10,50.0%,38,7.6,3,37.0%,2.29,3.54,2.92,1.25,16.05,0.12,42.8,42.8,42.8,42.8,42.8,42.8
2024,8,4429615,Zay Flowers,Zay,Flowers,WR,BAL,"$7,100","$7,200",-100,1,3,33.3%,8,8.0,1,50.0%,9.22,14.19,11.71,4.97,63.01,0.41,95.8,95.8,95.8,95.8,95.8,95.8
