firstName,lastName,team,week,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct
,,,1,,,,,,,
Mike,Evans,TB,1,2,3,66.7%,18,9.0,2,75.0%
Stefon,Diggs,HOU,1,3,3,100.0%,11,3.7,2,75.0%
,,,1,1,1,100.0%,14,14.0,1,100.0%
Cooper,Kupp,LAR,1,2,3,66.7%,13,6.5,1,60.0%
Mack,Hollins,BUF,1,1,1,100.0%,11,11.0,1,25.0%
Khalil,Shakir,BUF,1,1,1,100.0%,11,11.0,1,25.0%
Ladd,McConkey,LAC,1,1,2,50.0%,10,10.0,1,50.0%
Allen,Lazard,NYJ,1,2,3,66.7%,7,3.5,1,50.0%
Jerry,Jeudy,CLE,1,1,2,50.0%,6,6.0,1,40.0%
Michael,Wilson,ARI,1,1,1,100.0%,5,5.0,1,50.0%
,,,1,1,1,100.0%,0,0.0,0,25.0%
Chris,Godwin,TB,1,1,1,100.0%,4,4.0,1,25.0%
Justin,Jefferson,MIN,1,1,1,100.0%,3,3.0,1,50.0%
Christian,Watson,GB,1,1,2,50.0%,2,2.0,1,50.0%
Garrett,Wilson,NYJ,1,2,3,66.7%,16,8.0,0,50.0%
,,,1,2,2,100.0%,12,6.0,0,100.0%
DeVonta,Smith,PHI,1,1,1,100.0%,11,11.0,0,33.3%
Luke,McCaffrey,WAS,1,1,1,100.0%,10,10.0,0,100.0%
Romeo,Doubs,GB,1,1,2,50.0%,10,10.0,0,50.0%
Courtland,Sutton,DEN,1,1,2,50.0%,10,10.0,0,66.7%
Tyreek,Hill,MIA,1,1,2,50.0%,10,10.0,0,100.0%
Amari,Cooper,BUF,1,1,2,50.0%,10,10.0,0,40.0%
Drake,London,ATL,1,1,1,100.0%,8,8.0,0,100.0%
Jauan,Jennings,SF,1,1,1,100.0%,8,8.0,0,25.0%
Greg,Dortch,ARI,1,1,1,100.0%,3,3.0,0,50.0%
Keon,Coleman,BUF,1,1,2,50.0%,7,7.0,0,50.0%
Jordan,Addison,MIN,1,1,1,100.0%,6,6.0,0,50.0%
Jameson,Williams,DET,1,1,1,100.0%,5,5.0,0,33.3%
Josh,Reynolds,DEN,1,1,1,100.0%,5,5.0,0,33.3%
,,,1,1,2,50.0%,4,4.0,0,66.7%
Elijah,Moore,CLE,1,1,1,100.0%,4,4.0,0,20.0%
Joshua,Palmer,LAC,1,1,2,50.0%,4,4.0,0,50.0%
Jaylen,Waddle,MIA,1,0,0,0%,0,0,0,0.0%
Van,Jefferson,PIT,1,1,1,100.0%,1,1.0,0,100.0%
Dale,Robinson,NYG,1,1,3,33.3%,0,0.0,0,75.0%
DK,Metcalf,SEA,1,0,0,0%,0,0,0,0%
Xavier,Legette,CAR,1,0,1,0.0%,0,0,0,25.0%
Demarcus,Robinson,LAR,1,0,1,0.0%,0,0,0,20.0%
,,,1,0,1,0.0%,0,0,0,50.0%
Tank,Dell,HOU,1,0,1,0.0%,0,0,0,25.0%
David,Moore,CAR,1,0,1,0.0%,0,0,0,25.0%
,,,1,0,1,0.0%,0,0,0,33.3%
Diontae,Johnson,CAR,1,0,2,0.0%,0,0,0,50.0%
Zay,Flowers,BAL,1,0,2,0.0%,0,0,0,100.0%
Tyler,Johnson,LAR,1,0,1,0.0%,0,0,0,20.0%
Darius,Slayton,NYG,1,0,1,0.0%,0,0,0,25.0%
Brandon,Aiyuk,SF,1,0,2,0.0%,0,0,0,50.0%
Jahan,Dotson,PHI,1,0,1,0.0%,0,0,0,33.3%
Marr,Chase,CIN,1,0,0,0%,0,0,0,0%
Xavier,Worthy,KC,1,0,1,0.0%,0,0,0,50.0%
Keenan,Allen,CHI,1,0,2,0.0%,0,0,0,100.0%
,,,2,,,,,,,
Andrei,Iosivas,CIN,2,2,2,100.0%,7,3.5,2,25.0%
Dontayvion,Wicks,GB,2,1,1,100.0%,14,14.0,1,100.0%
Drake,London,ATL,2,2,2,100.0%,12,6.0,1,50.0%
Jalen,Nailor,MIN,2,1,2,50.0%,10,10.0,1,66.7%
Calvin,Ridley,TEN,2,0,0,0%,0,0,0,0.0%
Zay,Flowers,BAL,2,1,1,100.0%,8,8.0,1,100.0%
DeVonta,Smith,PHI,2,1,2,50.0%,7,7.0,1,40.0%
Dale,Robinson,NYG,2,1,1,100.0%,7,7.0,1,25.0%
Quentin,Johnston,LAC,2,1,1,100.0%,5,5.0,1,100.0%
Lynn,Polk,NE,2,1,1,100.0%,5,5.0,1,100.0%
Alec,Pierce,IND,2,1,1,100.0%,4,4.0,1,50.0%
Malik,Nabers,NYG,2,1,3,33.3%,4,4.0,1,75.0%
Davante,Adams,NYJ,2,1,3,33.3%,1,1.0,1,75.0%
,,,2,2,2,100.0%,25,12.5,0,28.6%
Chris,Olave,NO,2,1,1,100.0%,19,19.0,0,50.0%
Jaylen,Waddle,MIA,2,1,1,100.0%,17,17.0,0,25.0%
Tyler,Johnson,LAR,2,1,2,50.0%,13,13.0,0,66.7%
David,Bell,CLE,2,1,1,100.0%,12,12.0,0,100.0%
Brandon,Aiyuk,SF,2,1,2,50.0%,12,12.0,0,50.0%
Van,Jefferson,PIT,2,1,1,100.0%,12,12.0,0,100.0%
Gabe,Davis,JAC,2,1,2,50.0%,11,11.0,0,100.0%
Justin,Watson,KC,2,1,1,100.0%,6,6.0,0,100.0%
Trenton,Irwin,CIN,2,1,5,20.0%,5,5.0,0,62.5%
Brandon,Powell,MIN,2,1,1,100.0%,5,5.0,0,33.3%
Britain,Covey,PHI,2,2,2,100.0%,5,2.5,0,40.0%
Jameson,Williams,DET,2,1,4,25.0%,5,5.0,0,57.1%
DK,Metcalf,SEA,2,1,1,100.0%,3,3.0,0,100.0%
,,,2,1,1,100.0%,3,3.0,0,50.0%
Rashid,Shaheed,NO,2,1,1,100.0%,0,0.0,0,50.0%
Kalif,Raymond,DET,2,1,1,100.0%,1,1.0,0,14.3%
Demarcus,Robinson,LAR,2,0,1,0.0%,0,0,0,33.3%
Johnny,Wilson,PHI,2,0,1,0.0%,0,0,0,20.0%
Braxton,Berrios,MIA,2,0,1,0.0%,0,0,0,25.0%
Courtland,Sutton,DEN,2,0,3,0.0%,0,0,0,100.0%
Tyler,Boyd,TEN,2,0,1,0.0%,0,0,0,50.0%
Rome,Odunze,CHI,2,0,1,0.0%,0,0,0,100.0%
Jalen,Tolbert,DAL,2,0,1,0.0%,0,0,0,50.0%
Robbie,Chosen,FA,2,0,2,0.0%,0,0,0,50.0%
,,,2,0,2,0.0%,0,0,0,100.0%
Allen,Lazard,NYJ,2,0,1,0.0%,0,0,0,100.0%
McCloud,III,ATL,2,0,1,0.0%,0,0,0,25.0%
CeeDee,Lamb,DAL,2,0,1,0.0%,0,0,0,50.0%
Dyami,Brown,WAS,2,0,2,0.0%,0,0,0,100.0%
Darnell,Mooney,ATL,2,0,1,0.0%,0,0,0,25.0%
Jakobi,Meyers,LV,2,0,1,0.0%,0,0,0,25.0%
Marr,Chase,CIN,2,0,1,0.0%,0,0,0,12.5%
Jauan,Jennings,SF,2,0,1,0.0%,0,0,0,25.0%
Diontae,Johnson,CAR,2,0,1,0.0%,0,0,0,100.0%
Darius,Slayton,NYG,2,0,0,0%,0,0,0,0.0%
DeAndre,Hopkins,KC,2,0,1,0.0%,0,0,0,50.0%
Brandin,Cooks,DAL,2,0,0,0%,0,0,0,0.0%
,,,2,1,1,100.0%,2,2.0,0,25.0%
,,,3,,,,,,,
Jauan,Jennings,SF,3,2,2,100.0%,17,8.5,2,66.7%
Malik,Nabers,NYG,3,2,2,100.0%,8,4.0,2,66.7%
Jakobi,Meyers,LV,3,2,2,100.0%,22,11.0,1,50.0%
Drake,London,ATL,3,2,3,66.7%,21,10.5,1,75.0%
Rashod,Bateman,BAL,3,2,2,100.0%,16,8.0,1,100.0%
KaVontae,Turpin,DAL,3,1,1,100.0%,16,16.0,1,25.0%
Justin,Jefferson,MIN,3,2,3,66.7%,15,7.5,1,75.0%
Jalen,Tolbert,DAL,3,1,1,100.0%,15,15.0,1,25.0%
,,,3,1,1,100.0%,13,13.0,1,25.0%
Chris,Olave,NO,3,1,1,100.0%,13,13.0,1,100.0%
DeAndre,Hopkins,KC,3,1,1,100.0%,11,11.0,1,50.0%
Rashee,Rice,KC,3,2,2,100.0%,10,5.0,1,50.0%
,,,3,1,1,100.0%,10,10.0,1,100.0%
Allen,Lazard,NYJ,3,1,1,100.0%,10,10.0,1,25.0%
Garrett,Wilson,NYJ,3,2,2,100.0%,10,5.0,1,50.0%
Tre,Tucker,LV,3,1,1,100.0%,8,8.0,1,25.0%
Amari,Cooper,BUF,3,1,1,100.0%,6,6.0,1,50.0%
Chris,Godwin,TB,3,1,1,100.0%,5,5.0,1,100.0%
,,,3,1,1,100.0%,5,5.0,1,100.0%
Diontae,Johnson,CAR,3,1,4,25.0%,5,5.0,1,80.0%
