Player,FPTS,ROST,Year,Week
Stefon Diggs (HOU),20.7,37.5%,2017,1
Tyreek Hill (MIA),19.8,99.2%,2017,1
Kenny Golladay (FA),18.9,4.0%,2017,1
Antonio Brown (FA),18.2,1.3%,2017,1
Adam Thielen (CAR),15.7,70.1%,2017,1
Nelson Agholor (BAL),14.6,0.4%,2017,1
Bennie Fowler III (FA),14.1,0.0%,2017,1
Jordy Nelson (FA),13.9,0.1%,2017,1
Cooper Kupp (LAR),13.6,96.0%,2017,1
Amari Cooper (BUF),12.2,79.7%,2017,1
Jeremy Maclin (FA),11.6,0.0%,2017,1
DeAndre Hopkins (KC),11.5,81.1%,2017,1
Golden Tate (FA),11.4,0.0%,2017,1
Corey Coleman (FA),11.3,0.0%,2017,1
Russell Shepard (FA),11.3,0.0%,2017,1
J.J. Nelson (FA),10.3,0.0%,2017,1
Travis Benjamin (FA),10.3,0.0%,2017,1
Danny Amendola (FA),10.0,0.0%,2017,1
Marvin Jones Jr. (FA),9.7,0.0%,2017,1
Keenan Allen (CHI),9.5,84.6%,2017,1
Brandin Cooks (DAL),8.8,25.4%,2017,1
Randall Cobb (FA),8.5,0.0%,2017,1
Michael Crabtree (FA),8.3,0.0%,2017,1
Pierre Garcon (FA),8.1,0.0%,2017,1
Seth Roberts (FA),7.9,0.0%,2017,1
A.J. Green (FA),7.4,0.6%,2017,1
Larry Fitzgerald (FA),7.4,0.2%,2017,1
Rishard Matthews (FA),7.1,0.0%,2017,1
Corey Davis (FA),6.9,0.0%,2017,1
Terrance Williams (FA),6.8,0.0%,2017,1
Demaryius Thomas (FA),6.7,0.1%,2017,1
Julio Jones (FA),6.6,0.3%,2017,1
Terrelle Pryor Sr. (FA),6.6,0.0%,2017,1
Jordan Matthews (CAR),6.1,0.0%,2017,1
Andre Holmes (FA),6.1,0.0%,2017,1
Ryan Grant (FA),6.1,0.0%,2017,1
Doug Baldwin (FA),6.0,0.0%,2017,1
Paul Richardson Jr. (FA),5.9,0.0%,2017,1
Jermaine Kearse (FA),5.9,0.0%,2017,1
Alshon Jeffery (FA),5.8,0.0%,2017,1
Sammy Watkins (FA),5.8,0.0%,2017,1
Ted Ginn Jr. (FA),5.8,0.0%,2017,1
Tyrell Williams (FA),5.4,0.0%,2017,1
Roger Lewis (FA),5.4,0.0%,2017,1
Robert Woods (HOU),5.3,0.7%,2017,1
Tommylee Lewis (FA),5.2,0.0%,2017,1
Donte Moncrief (FA),5.0,0.0%,2017,1
Sterling Shepard (TB),5.0,6.4%,2017,1
Davante Adams (NYJ),4.7,98.9%,2017,1
Mohamed Sanu Sr. (FA),4.7,0.0%,2017,1
Michael Thomas (FA),4.5,0.7%,2017,1
Dez Bryant (FA),4.3,2.6%,2017,1
Chris Conley (SF),4.3,0.1%,2017,1
John Brown (FA),4.2,0.0%,2017,1
Allen Hurns (FA),4.2,0.0%,2017,1
Albert Wilson (FA),3.7,0.0%,2017,1
T.Y. Hilton (FA),3.7,1.6%,2017,1
Taylor Gabriel (FA),3.6,0.1%,2017,1
Kendall Wright (FA),3.4,0.0%,2017,1
Cole Beasley (FA),3.2,0.0%,2017,1
T.J. Jones (FA),3.2,0.0%,2017,1
Ricardo Louis (FA),3.2,0.0%,2017,1
Brice Butler (FA),3.0,0.0%,2017,1
Torrey Smith (FA),3.0,0.0%,2017,1
Josh Bellamy (FA),2.7,0.0%,2017,1
Emmanuel Sanders (FA),2.6,0.0%,2017,1
Kelvin Benjamin (FA),2.5,0.1%,2017,1
Chris Hogan (FA),2.5,0.0%,2017,1
Brandon LaFell (FA),2.4,0.0%,2017,1
Robbie Chosen (FA),2.2,0.0%,2017,1
Zay Jones (ARI),2.1,1.8%,2017,1
Marquise Goodwin (FA),2.1,0.0%,2017,1
Jarius Wright (FA),2.1,0.0%,2017,1
Devin Funchess (FA),2.0,0.0%,2017,1
Allen Robinson II (DET),1.7,0.1%,2017,1
Deonte Thompson (FA),1.5,0.0%,2017,1
Taywan Taylor (FA),1.4,0.0%,2017,1
Martavis Bryant (FA),1.4,0.0%,2017,1
Kenny Britt (FA),1.3,0.0%,2017,1
Brandon Coleman (FA),1.3,0.0%,2017,1
Arrelious Benn (FA),1.2,0.0%,2017,1
Brian Quick (FA),1.1,0.0%,2017,1
Eli Rogers (FA),1.1,0.0%,2017,1
Tyler Boyd (TEN),1.1,3.1%,2017,1
Eric Decker (FA),1.0,0.6%,2017,1
Brandon Marshall (FA),1.0,2.6%,2017,1
ArDarius Stewart (FA),1.0,0.0%,2017,1
Tyler Lockett (SEA),0.8,46.2%,2017,1
Trent Taylor (SF),0.8,0.0%,2017,1
Mike Wallace (FA),0.8,0.0%,2017,1
Aldrick Robinson (FA),0.7,0.0%,2017,1
Laquon Treadwell (IND),0.7,0.0%,2017,1
Kevin White (FA),0.6,0.0%,2017,1
Breshad Perriman (FA),0.5,0.0%,2017,1
Kamar Aiken (FA),0.3,0.0%,2017,1
De'Anthony Thomas (FA),0.2,0.0%,2017,1
Michael Campanaro (FA),0.2,0.0%,2017,1
Matt Hazel (FA),0.1,0.0%,2017,1
Jaron Brown (FA),0.0,0.0%,2017,1
Bruce Ellington (FA),0.0,0.0%,2017,1
Chris Matthews (FA),0.0,0.0%,2017,1
Brittan Golden (FA),0.0,0.0%,2017,1
Ryan Davis (FA),0.0,0.0%,2017,1
Marqise Lee (FA),0.0,0.0%,2017,1
Cody Latimer (FA),0.0,0.0%,2017,1
Jeff Janis (FA),0.0,0.0%,2017,1
James Wright (FA),0.0,0.0%,2017,1
Brandon Tate (FA),0.0,0.0%,2017,1
Eric Weems (FA),0.0,0.0%,2017,1
Darrius Heyward-Bey (FA),0.0,0.0%,2017,1
Dwayne Harris (FA),0.0,0.0%,2017,1
Andre Roberts (FA),0.0,0.0%,2017,1
Kendrick Bourne (NE),0.0,2.0%,2017,1
Keelan Cole Sr. (FA),0.0,0.0%,2017,1
Brendan Langley (FA),0.0,0.0%,2017,1
Isaiah McKenzie (FA),0.0,0.0%,2017,1
Ryan Switzer (FA),0.0,0.0%,2017,1
Jamal Agnew (FA),0.0,0.0%,2017,1
Pharoh Cooper (FA),0.0,0.0%,2017,1
Josh Doctson (FA),0.0,0.0%,2017,1
Braxton Miller (FA),0.0,0.0%,2017,1
Ty Montgomery II (FA),0.0,0.0%,2017,1
Vince Mayle (FA),0.0,0.0%,2017,1
Phillip Dorsett II (ATL),0.0,0.0%,2017,1
Justin Hardy (FA),0.0,0.0%,2017,1
Sammie Coates (FA),0.0,0.0%,2017,1
Damiere Byrd (FA),0.0,0.0%,2017,1
Quan Bray (FA),0.0,0.0%,2017,1
Kasen Williams (FA),0.0,0.0%,2017,1
Geremy Davis (FA),0.0,0.0%,2017,1
Tanner McEvoy (FA),0.0,0.0%,2017,1
Andy Jones (FA),0.0,0.0%,2017,1
