Player,REC_rz,TGT_rz,REC PCT_rz,Y/R_rz,TGT PCT_rz,Year,Week
Stefon Diggs (HOU),3,3,100.0%,7.3,60.0%,2017,1
Bennie Fowler III (FA),2,2,100.0%,5.5,66.7%,2017,1
Seth Roberts (FA),1,1,100.0%,19.0,20.0%,2017,1
Cooper Kupp (LAR),1,1,100.0%,18.0,100.0%,2017,1
DeAndre Hopkins (KC),2,3,66.7%,5.5,75.0%,2017,1
Kenny Golladay (FA),1,1,100.0%,10.0,33.3%,2017,1
Amari Cooper (BUF),1,4,25.0%,8.0,80.0%,2017,1
Marvin Jones Jr. (FA),1,1,100.0%,6.0,33.3%,2017,1
Keenan Allen (CHI),1,1,100.0%,5.0,100.0%,2017,1
Corey Coleman (FA),1,1,100.0%,3.0,50.0%,2017,1
J.J. Nelson (FA),1,1,100.0%,1.0,20.0%,2017,1
Andre Holmes (FA),1,1,100.0%,1.0,50.0%,2017,1
Corey Davis (FA),1,1,100.0%,11.0,20.0%,2017,1
Albert Wilson (FA),1,1,100.0%,11.0,50.0%,2017,1
Eric Decker (FA),2,3,66.7%,5.0,60.0%,2017,1
Sterling Shepard (TB),1,1,100.0%,9.0,50.0%,2017,1
Allen Hurns (FA),1,1,100.0%,9.0,50.0%,2017,1
Tyler Lockett (SEA),1,2,50.0%,8.0,50.0%,2017,1
ArDarius Stewart (FA),1,1,100.0%,8.0,50.0%,2017,1
Roger Lewis (FA),1,1,100.0%,6.0,50.0%,2017,1
A.J. Green (FA),1,2,50.0%,6.0,50.0%,2017,1
Brandon LaFell (FA),1,2,50.0%,6.0,50.0%,2017,1
Golden Tate (FA),1,1,100.0%,6.0,33.3%,2017,1
Nelson Agholor (BAL),1,1,100.0%,5.0,100.0%,2017,1
Ted Ginn Jr. (FA),0,1,0.0%,0.0,50.0%,2017,1
Larry Fitzgerald (FA),1,3,33.3%,5.0,60.0%,2017,1
Danny Amendola (FA),1,1,100.0%,5.0,100.0%,2017,1
Terrelle Pryor Sr. (FA),1,2,50.0%,4.0,40.0%,2017,1
Adam Thielen (CAR),1,2,50.0%,4.0,40.0%,2017,1
Taylor Gabriel (FA),1,2,50.0%,4.0,100.0%,2017,1
Ryan Grant (FA),1,1,100.0%,1.0,20.0%,2017,1
Jeremy Maclin (FA),0,1,0.0%,0.0,33.3%,2017,1
Ricardo Louis (FA),0,1,0.0%,0.0,50.0%,2017,1
Dez Bryant (FA),0,3,0.0%,0.0,100.0%,2017,1
Emmanuel Sanders (FA),0,1,0.0%,0.0,33.3%,2017,1
Zay Jones (ARI),0,1,0.0%,0.0,50.0%,2017,1
T.Y. Hilton (FA),0,1,0.0%,0.0,50.0%,2017,1
Rishard Matthews (FA),0,1,0.0%,0.0,20.0%,2017,1
Tanner McEvoy (FA),0,1,0.0%,0.0,25.0%,2017,1
Jermaine Kearse (FA),0,1,0.0%,0.0,50.0%,2017,1
Robbie Chosen (FA),0,0,0%,0.0,0.0%,2017,1
Josh Bellamy (FA),0,1,0.0%,0.0,100.0%,2017,1
John Brown (FA),0,1,0.0%,0.0,20.0%,2017,1
Marquise Goodwin (FA),0,1,0.0%,0.0,100.0%,2017,1
Donte Moncrief (FA),0,1,0.0%,0.0,50.0%,2017,1
Jamison Crowder (WAS),0,2,0.0%,0.0,40.0%,2017,1
Breshad Perriman (FA),0,2,0.0%,0.0,66.7%,2017,1
Paul Richardson Jr. (FA),0,1,0.0%,0.0,25.0%,2017,1
Bruce Ellington (FA),0,1,0.0%,0.0,25.0%,2017,1
Brandon Coleman (FA),0,1,0.0%,0.0,50.0%,2017,1
Keelan Cole Sr. (FA),0,1,0.0%,0.0,50.0%,2017,1
De'Anthony Thomas (FA),1,1,100.0%,-2.0,50.0%,2017,1
Emmanuel Sanders (FA),3,3,100.0%,7.0,75.0%,2017,2
Michael Crabtree (FA),2,2,100.0%,1.5,66.7%,2017,2
Chris Hogan (FA),2,3,66.7%,9.5,75.0%,2017,2
Allen Hurns (FA),2,2,100.0%,8.0,100.0%,2017,2
Alshon Jeffery (FA),1,2,50.0%,16.0,50.0%,2017,2
Deonte Thompson (FA),1,2,50.0%,14.0,28.6%,2017,2
Mike Evans (TB),1,2,50.0%,13.0,50.0%,2017,2
Ryan Grant (FA),1,1,100.0%,11.0,50.0%,2017,2
Jermaine Kearse (FA),1,1,100.0%,11.0,50.0%,2017,2
Nelson Agholor (BAL),1,1,100.0%,9.0,25.0%,2017,2
Paul Richardson Jr. (FA),1,1,100.0%,9.0,20.0%,2017,2
Brandon Coleman (FA),1,1,100.0%,5.0,20.0%,2017,2
JuJu Smith-Schuster (KC),1,2,50.0%,4.0,50.0%,2017,2
Dez Bryant (FA),1,3,33.3%,3.0,75.0%,2017,2
