"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dak Prescott (DAL)","26","35","74.3","404","11.5","4","1","0","2","17","1","0","1","38.9","38.9","96.4%"
"2","Justin Herbert (LAC)","27","40","67.5","323","8.1","4","1","0","4","15","0","0","1","29.4","29.4","61.3%"
"3","Joshua Dobbs (SF)","23","34","67.6","268","7.9","1","0","1","8","44","1","0","1","25.1","25.1","11.2%"
"4","Sam Howell (SEA)","29","44","65.9","312","7.1","3","0","3","2","17","0","1","1","24.2","24.2","28.9%"
"5","Geno Smith (SEA)","31","47","66.0","369","7.9","2","0","1","1","13","0","0","1","24.1","24.1","37.7%"
"6","Brock Purdy (SF)","19","26","73.1","296","11.4","3","0","2","0","0","0","0","1","23.8","23.8","91.7%"
"7","Joe Burrow (CIN)","27","40","67.5","347","8.7","2","2","4","5","20","0","0","1","21.9","21.9","63.1%"
"8","Jared Goff (DET)","23","33","69.7","333","10.1","2","0","0","3","-2","0","0","1","21.1","21.1","70.2%"
"9","C.J. Stroud (HOU)","23","39","59.0","356","9.1","1","1","1","2","8","1","2","1","20.0","20.0","93.0%"
"10","Baker Mayfield (TB)","18","29","62.1","278","9.6","2","1","3","3","12","0","0","1","19.3","19.3","44.6%"
"11","Russell Wilson (PIT)","24","29","82.8","193","6.7","2","0","4","9","30","0","0","1","18.7","18.7","30.3%"
"12","Jordan Love (GB)","21","40","52.5","289","7.2","2","2","1","2","11","0","0","1","18.7","18.7","86.0%"
"13","Kyler Murray (ARI)","19","32","59.4","249","7.8","0","1","2","6","33","1","0","1","18.3","18.3","78.8%"
"14","Deshaun Watson (CLE)","20","34","58.8","213","6.3","1","1","4","8","37","0","0","1","17.2","17.2","26.4%"
"15","Josh Allen (BUF)","15","26","57.7","177","6.8","1","2","0","4","13","1","1","1","16.4","16.4","99.9%"
"16","Lamar Jackson (BAL)","13","23","56.5","223","9.7","1","2","3","8","41","0","0","1","15.0","15.0","99.3%"
"17","Zach Wilson (DEN)","23","39","59.0","263","6.7","0","1","2","4","54","0","0","1","14.9","14.9","2.2%"
"18","Tommy DeVito (NYG)","14","27","51.9","86","3.2","2","1","5","7","41","0","0","1","14.5","14.5","3.1%"
"19","Jameis Winston (CLE)","13","25","52.0","122","4.9","2","2","1","0","0","0","0","1","10.9","10.9","0.7%"
"20","Taylor Heinicke (ATL)","8","15","53.3","55","3.7","1","0","3","4","34","0","0","1","9.6","9.6","3.1%"
"21","Aidan O'Connell (LV)","16","27","59.3","153","5.7","1","1","3","2","3","0","0","1","9.4","9.4","2.9%"
"22","Bryce Young (CAR)","21","38","55.3","185","4.9","0","0","3","3","18","0","0","1","9.2","9.2","9.1%"
"23","Desmond Ridder (ARI)","4","6","66.7","39","6.5","0","0","0","3","11","1","0","1","8.7","8.7","3.7%"
"24","Mac Jones (JAC)","15","20","75.0","170","8.5","0","1","5","3","25","0","0","1","8.3","8.3","2.2%"
"25","Tyson Bagent (CHI)","20","33","60.6","162","4.9","0","0","0","6","12","0","0","1","7.7","7.7","0.6%"
"26","Will Levis (TEN)","19","39","48.7","199","5.1","0","1","4","0","0","0","0","1","7.0","7.0","10.3%"
"27","Gardner Minshew II (LV)","18","28","64.3","194","6.9","0","1","0","2","-1","0","0","1","6.7","6.7","16.7%"
"28","Kenny Pickett (PHI)","14","23","60.9","126","5.5","0","0","1","4","16","0","0","1","6.6","6.6","6.8%"
"29","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","1","1","1","0","1","6.1","6.1","0.0%"
"30","Derek Carr (NO)","13","18","72.2","110","6.1","0","0","2","1","10","0","0","1","5.4","5.4","25.0%"
"31","Trevor Lawrence (JAC)","17","29","58.6","185","6.4","0","2","5","2","7","0","1","1","4.1","4.1","66.4%"
"32","Cooper Rush (DAL)","7","9","77.8","68","7.6","0","1","0","2","5","0","0","1","2.2","2.2","0.1%"
"33","C.J. Beathard (JAC)","1","2","50.0","5","2.5","0","0","0","0","0","0","0","1","0.2","0.2","1.0%"
"34","Emory Jones (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Bo Nix (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"37","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"38","Justin Fields (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.5%"
"39","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"41","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.9%"
"43","Jacob Eason (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"45","Tyler Huntley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"46","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"48","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"49","Ian Book (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"51","Michael Pratt (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"52","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Nathan Rourke (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"55","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
