season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota
2023,REG,13,00-0026158,J.Flacco,QB,QB,CLE,LA,16.16,16.16,23,44,254.0,2,1.0,2.0,14.0,0,0,543.0,70.0,10.0,-7.791564,0,0.46777165,-0.024772335
2023,REG,13,00-0039163,C.Stroud,QB,QB,HOU,DEN,16.06,16.06,16,27,274.0,1,0.0,5.0,28.0,1,0,286.0,124.0,7.0,1.2487772,0,0.95804197,0.0096465545
2023,REG,13,00-0038102,K.Pickett,QB,QB,PIT,ARI,3.1,3.1,7,10,70.0,0,0.0,0.0,-0.0,0,0,46.0,21.0,5.0,-0.48004705,0,1.5217391,0.05448561
2023,REG,13,00-0029263,R.Wilson,QB,QB,DEN,HOU,15.84,15.84,15,26,186.0,1,3.0,3.0,22.0,0,0,335.0,88.0,5.0,-14.968119,0,0.5552239,0.039773874
2023,REG,13,00-0038108,B.Zappe,QB,QB,NE,LAC,7.24,7.24,13,25,141.0,0,0.0,5.0,32.0,0,0,285.0,59.0,5.0,-15.719806,0,0.49473685,-0.03050528
2023,REG,13,00-0039150,B.Young,QB,QB,CAR,TB,7.12,7.12,15,31,178.0,0,1.0,4.0,29.0,1,0,313.0,46.0,7.0,-5.070968,0,0.5686901,0.0088837175
2023,REG,13,00-0038122,D.Ridder,QB,QB,ATL,NYJ,8.84,8.84,12,27,121.0,1,0.0,3.0,17.0,0,0,281.0,24.0,9.0,-3.778802,0,0.430605,-0.037850026
2023,REG,13,00-0026498,M.Stafford,QB,QB,LA,CLE,22.96,22.96,22,37,279.0,3,0.0,0.0,-0.0,0,0,292.0,148.0,10.0,5.3191237,0,0.95547944,0.098885655
2023,REG,13,00-0036971,T.Lawrence,QB,QB,JAX,CIN,25.12,25.12,22,29,258.0,2,0.0,2.0,14.0,1,0,369.0,77.0,10.0,10.46732,0,0.699187,0.27584833
2023,REG,13,00-0036898,D.Mills,QB,QB,HOU,DEN,0.72,0.72,1,1,18.0,0,0.0,0.0,-0.0,0,0,6.0,12.0,1.0,1.542847,0,3.0,
2023,REG,13,00-0030565,G.Smith,QB,QB,SEA,DAL,29.96,29.96,23,41,334.0,3,1.0,0.0,-0.0,0,0,231.0,189.0,16.0,11.573184,0,1.4458874,0.17496839
2023,REG,13,00-0039152,W.Levis,QB,QB,TEN,IND,11.46,11.46,16,33,224.0,1,0.0,6.0,20.0,3,1,293.0,117.0,12.0,0.14494959,0,0.76450515,0.00038527828
2023,REG,13,00-0037834,B.Purdy,QB,QB,SF,PHI,29.46,29.46,19,27,314.0,4,0.0,2.0,4.0,0,0,177.0,212.0,12.0,22.329712,0,1.7740113,0.31768796
2023,REG,13,00-0037077,S.Howell,QB,QB,WAS,MIA,19.18,19.18,12,23,127.0,0,1.0,3.0,20.0,0,0,198.0,43.0,5.0,-14.074273,1,0.64141417,-0.02125977
