season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions
2023,REG,13,00-0034681,C.Edmonds,RB,RB,TB,CAR,0.9,1.9,2,7.0,0,0.0,0.0,0.0,-0.31252667,0
2023,REG,13,00-0035685,D.Montgomery,RB,RB,DET,NO,11.5,12.5,18,56.0,1,0.0,0.0,5.0,-3.8825676,0
2023,REG,13,00-0036555,C.Hubbard,RB,RB,CAR,TB,22.4,22.4,25,104.0,2,0.0,0.0,6.0,0.6227139,0
2023,REG,13,00-0038098,P.Strong,RB,RB,CLE,LA,2.0,2.0,2,20.0,0,0.0,0.0,2.0,1.471634,0
2023,REG,13,00-0033897,J.Mixon,RB,RB,CIN,JAX,23.7,29.7,19,68.0,2,0.0,0.0,4.0,0.648713,0
2023,REG,13,00-0035250,D.Singletary,RB,RB,HOU,DEN,4.0,5.0,8,36.0,0,0.0,0.0,1.0,-1.6125225,0
2023,REG,13,00-0035261,T.Pollard,RB,RB,DAL,SEA,14.3,17.3,20,68.0,1,0.0,0.0,6.0,-0.91366035,0
2023,REG,13,00-0039040,D.Achane,RB,RB,MIA,WAS,22.3,25.3,17,73.0,2,0.0,0.0,4.0,5.1179852,0
2023,REG,13,00-0038120,B.Hall,RB,RB,NYJ,ATL,4.5,10.5,13,16.0,0,0.0,0.0,1.0,-6.746518,0
2023,REG,13,00-0036360,C.Edwards-Helaire,RB,RB,KC,GB,1.4,2.4,2,6.0,0,0.0,0.0,1.0,0.67928267,0
2023,REG,13,00-0035628,D.Johnson,RB,RB,JAX,CIN,0.9,1.9,5,4.0,0,0.0,0.0,1.0,-1.752275,0
2023,REG,13,00-0036370,J.Kelley,RB,RB,LAC,NE,2.5,4.5,6,16.0,0,0.0,0.0,1.0,-1.9417661,0
2023,REG,13,00-0037228,J.Warren,RB,RB,PIT,ARI,5.5,6.5,9,59.0,0,0.0,0.0,2.0,1.9998716,0
2023,REG,13,00-0036328,A.Gibson,RB,RB,WAS,MIA,7.2,11.2,10,35.0,0,0.0,0.0,1.0,-2.2266092,0
2023,REG,13,00-0039032,T.Spears,RB,RB,TEN,IND,8.8,12.8,16,75.0,0,0.0,0.0,4.0,0.98925954,0
