season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0033858,J.Smith,TE,TE,ATL,NYJ,1.0,3.0,2,3,10.0,0,0.0,0.0,9.0,5.0,1.0,0.18454094,0,1.1111112,0.12,0.034749035,0.20432432
2023,REG,13,00-0036970,K.Pitts,TE,TE,ATL,NYJ,5.1,9.1,4,8,51.0,0,0.0,0.0,106.0,1.0,4.0,3.3387764,0,0.4811321,0.32,0.4092664,0.76648647
2023,REG,13,00-0038996,T.Kraft,TE,TE,GB,KC,3.7,6.7,3,6,37.0,0,0.0,0.0,21.0,26.0,2.0,1.2363354,0,1.7619047,0.17142858,0.07865169,0.31219903
2023,REG,13,00-0036040,J.Johnson,TE,TE,NO,DET,0.0,0.0,0,3,0.0,0,0.0,0.0,16.0,0.0,0.0,-8.456953,0,0.0,0.10344828,0.062992126,0.1992669
2023,REG,13,00-0038394,W.Mallory,TE,TE,IND,TEN,0.4,2.4,2,4,4.0,0,0.0,0.0,16.0,1.0,0.0,0.3873592,0,0.25,0.09756097,0.052117262,0.18282355
2023,REG,13,00-0036887,L.Farrell,TE,TE,JAX,CIN,0.9,1.9,1,1,9.0,0,0.0,0.0,4.0,5.0,0.0,0.7458128,0,2.25,0.025641026,0.009111618,0.04483967
2023,REG,13,00-0035259,T.Wesco,TE,TE,TEN,IND,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.71102124,0,,0.030303031,0.0,0.045454547
2023,REG,13,00-0034159,W.Dissly,TE,TE,SEA,DAL,0.0,0.0,0,2,0.0,0,0.0,0.0,9.0,0.0,0.0,-1.2719814,0,0.0,0.05263158,0.036885247,0.10476704
2023,REG,13,00-0033110,T.Higbee,TE,TE,LA,CLE,3.5,5.5,2,4,35.0,0,0.0,0.0,13.0,27.0,2.0,1.6695317,0,2.6923077,0.11764706,0.04779412,0.20992647
2023,REG,13,00-0038589,J.Whyle,TE,TE,TEN,IND,1.6,2.6,1,2,16.0,0,0.0,0.0,12.0,13.0,1.0,0.61605585,0,1.3333334,0.060606062,0.040955633,0.11957803
2023,REG,13,00-0038041,J.Ferguson,TE,TE,DAL,SEA,13.7,19.7,6,8,77.0,1,0.0,0.0,21.0,60.0,5.0,8.361645,0,3.6666667,0.2,0.09170306,0.36419213
2023,REG,13,00-0035644,N.Fant,TE,TE,SEA,DAL,4.3,7.3,3,4,43.0,0,0.0,0.0,34.0,12.0,2.0,1.7281574,0,1.2647059,0.10526316,0.13934426,0.25543573
2023,REG,13,00-0037078,C.Turner,TE,TE,WAS,MIA,0.2,1.2,1,1,2.0,0,0.0,0.0,0.0,2.0,0.0,-1.4650614,0,0.0,0.045454547,0.0,0.06818182
2023,REG,13,00-0034981,F.Moreau,TE,TE,NO,DET,2.8,4.8,2,2,28.0,0,0.0,0.0,9.0,19.0,1.0,2.0468142,0,3.1111112,0.06896552,0.035433073,0.12825142
2023,REG,13,00-0039041,E.Higgins,TE,TE,ARI,PIT,2.1,3.1,1,2,21.0,0,0.0,0.0,10.0,16.0,1.0,0.93561226,0,2.1,0.08695652,0.057803467,0.17089722
2023,REG,13,00-0036894,P.Freiermuth,TE,TE,PIT,ARI,2.9,5.9,3,5,29.0,0,0.0,0.0,15.0,15.0,3.0,1.4233799,0,1.9333333,0.18518518,0.06726457,0.324863
2023,REG,13,00-0035631,D.Sample,TE,TE,CIN,JAX,1.1,2.1,1,1,11.0,0,0.0,0.0,11.0,0.0,1.0,1.4968578,0,1.0,0.027027028,0.07692308,0.0943867
2023,REG,13,00-0037292,A.Ogletree,TE,TE,IND,TEN,0.0,0.0,0,1,0.0,0,0.0,0.0,2.0,0.0,0.0,-0.78973037,0,0.0,0.024390243,0.0065146578,0.041145626
2023,REG,13,00-0035329,D.Parham,TE,TE,LAC,NE,1.2,3.2,2,4,12.0,0,0.0,0.0,44.0,2.0,0.0,-1.7000356,0,0.27272728,0.11111111,0.1641791,0.28159204
2023,REG,13,00-0038720,J.Hill,TE,TE,MIA,WAS,2.3,4.3,2,2,23.0,0,0.0,0.0,8.0,15.0,2.0,2.207941,0,2.875,0.08,0.037558686,0.14629108
2023,REG,13,00-0033881,E.Engram,TE,TE,JAX,CIN,14.2,23.2,9,9,82.0,1,0.0,0.0,34.0,48.0,4.0,4.309727,0,2.4117646,0.23076923,0.07744875,0.40036798
2023,REG,13,00-0035771,M.Wilcox,TE,TE,CIN,JAX,1.2,2.2,1,1,12.0,0,0.0,0.0,-1.0,13.0,1.0,0.70085096,0,0.0,0.027027028,-0.006993007,0.035645436
2023,REG,13,00-0034270,T.Conklin,TE,TE,NYJ,ATL,3.5,6.5,3,9,35.0,0,0.0,0.0,118.0,3.0,2.0,-2.8247666,0,0.29661018,0.25,0.37460318,0.63722223
2023,REG,13,00-0031260,L.Thomas,TE,TE,WAS,MIA,2.0,2.0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-0.7455366,1,0.0,0.045454547,0.058479533,0.10911749
2023,REG,13,00-0033090,H.Henry,TE,TE,NE,LAC,1.5,3.5,2,4,15.0,0,0.0,0.0,37.0,2.0,1.0,-1.2445613,0,0.4054054,0.16666667,0.1350365,0.34452555
