season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0039067,R.Rice,WR,WR,KC,GB,6.4,14.4,8,9,64.0,0,0.0,0.0,9.0,62.0,4.0,2.5019155,0,7.111111,0.3,0.039130434,0.4773913
2023,REG,13,00-0034777,D.Chark,WR,WR,CAR,TB,5.6,8.6,3,4,56.0,0,0.0,0.0,74.0,1.0,2.0,4.704858,0,0.7567568,0.15384616,0.25255972,0.40756103
2023,REG,13,00-0038393,D.Wicks,WR,WR,GB,KC,4.3,7.3,3,4,43.0,0,0.0,0.0,38.0,17.0,2.0,3.3858788,0,1.1315789,0.114285715,0.1423221,0.27105403
2023,REG,13,00-0036271,Q.Watkins,WR,WR,PHI,SF,2.8,5.8,3,4,28.0,0,0.0,0.0,67.0,2.0,3.0,1.5400354,0,0.41791046,0.0952381,0.22408026,0.29971334
2023,REG,13,00-0034775,C.Kirk,WR,WR,JAX,CIN,2.6,3.6,1,1,26.0,0,0.0,0.0,24.0,2.0,1.0,1.5545075,0,1.0833334,0.025641026,0.054669704,0.07673033
2023,REG,13,00-0034286,R.James,WR,WR,KC,GB,1.2,2.2,1,2,12.0,0,0.0,0.0,15.0,8.0,1.0,-0.52939373,0,0.8,0.06666667,0.06521739,0.14565217
2023,REG,13,00-0030279,K.Allen,WR,WR,LAC,NE,5.8,10.8,5,9,58.0,0,0.0,0.0,106.0,9.0,2.0,1.8185767,0,0.5471698,0.25,0.3955224,0.65186566
2023,REG,13,00-0033282,C.Samuel,WR,WR,WAS,MIA,6.5,10.5,4,5,65.0,0,0.0,0.0,75.0,13.0,2.0,5.0325856,0,0.8666667,0.22727273,0.4385965,0.6479266
2023,REG,13,00-0030035,A.Thielen,WR,WR,CAR,TB,2.5,5.5,3,6,25.0,0,0.0,0.0,72.0,3.0,2.0,0.40411353,0,0.3472222,0.23076923,0.24573378,0.5181675
2023,REG,13,00-0036849,T.Atwell,WR,WR,LA,CLE,0.9,1.9,1,2,9.0,0,0.0,0.0,34.0,5.0,0.0,0.09681697,0,0.2647059,0.05882353,0.125,0.1757353
2023,REG,13,00-0032398,C.Moore,WR,WR,TEN,IND,1.2,2.2,1,1,12.0,0,0.0,0.0,6.0,6.0,1.0,2.030865,0,2.0,0.030303031,0.020477816,0.059789017
2023,REG,13,00-0032464,K.Raymond,WR,WR,DET,NO,0.9,0.9,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,
2023,REG,13,00-0035659,T.McLaurin,WR,WR,WAS,MIA,0.0,0.0,0,3,0.0,0,0.0,0.0,52.0,0.0,0.0,-2.8294759,0,0.0,0.13636364,0.30409357,0.41741094
2023,REG,13,00-0037614,J.Metchie,WR,WR,HOU,DEN,0.9,1.9,1,3,9.0,0,0.0,0.0,51.0,11.0,0.0,-1.3677864,0,0.1764706,0.11111111,0.17894737,0.2919298
2023,REG,13,00-0031428,A.Robinson,WR,WR,PIT,ARI,1.9,4.9,3,3,19.0,0,0.0,0.0,18.0,1.0,0.0,0.60699594,0,1.0555556,0.11111111,0.08071749,0.22316891
2023,REG,13,00-0036980,E.Moore,WR,WR,CLE,LA,8.3,12.3,4,12,83.0,0,0.0,0.0,255.0,5.0,3.0,-5.0548487,0,0.3254902,0.29268292,0.5029586,0.7910954
2023,REG,13,00-0038104,T.Thornton,WR,WR,NE,LAC,3.9,3.9,0,1,0.0,0,0.0,0.0,42.0,0.0,0.0,-1.1466463,0,0.0,0.041666668,0.15328467,0.16979927
2023,REG,13,00-0036613,J.Waddle,WR,WR,MIA,WAS,5.2,10.2,5,8,52.0,0,0.0,0.0,91.0,29.0,2.0,3.0947022,0,0.5714286,0.32,0.42723006,0.779061
