season,week,player_id,player,dk_position,fd_position,dk_salary,fd_salary
2022,1,BUF,Buffalo Bills,DST,DST,3200,4100
2022,1,josh-allen-4,Josh Allen,QB,QB,7800,8700
2022,1,james-cook-2,James Cook,RB,RB,4000,4800
2022,1,reggie-gilliam,Reggie Gilliam,RB,TE,4000,4000
2022,1,taiwan-jones,Taiwan Jones,RB,RB,4000,4500
2022,1,zack-moss,Zack Moss,RB,RB,4400,4900
2022,1,devin-singletary,Devin Singletary,RB,RB,5800,5700
2022,1,dawson-knox,Dawson Knox,TE,TE,4400,5500
2022,1,tommy-sweeney,Tommy Sweeney,TE,TE,2500,4100
2022,1,jamison-crowder,Jamison Crowder,WR,WR,4400,5300
2022,1,gabe-davis,Gabe Davis,WR,WR,5800,6600
2022,1,stefon-diggs,Stefon Diggs,WR,WR,7200,7600
2022,1,jake-kumerow,Jake Kumerow,WR,WR,3000,4500
2022,1,isaiah-mckenzie,Isaiah McKenzie,WR,WR,4400,5100
2022,1,LA,Los Angeles Rams,DST,DST,3100,4000
2022,1,matthew-stafford,Matthew Stafford,QB,QB,6200,7400
2022,1,cam-akers,Cam Akers,RB,RB,5900,6300
2022,1,jake-funk,Jake Funk,RB,RB,4000,4500
2022,1,darrell-henderson,Darrell Henderson,RB,RB,5300,5400
2022,1,tyler-higbee,Tyler Higbee,TE,TE,3800,5300
2022,1,brycen-hopkins,Brycen Hopkins,TE,TE,2500,4100
2022,1,tutu-atwell,Tutu Atwell,WR,WR,3000,4700
2022,1,cooper-kupp,Cooper Kupp,WR,WR,8500,9500
2022,1,brandon-powell,Brandon Powell,WR,WR,3000,4600
2022,1,allen-robinson,Allen Robinson,WR,WR,6100,5900
2022,1,ben-skowronek,Ben Skowronek,WR,WR,3000,4600
2022,1,NO,New Orleans Saints,DST,DST,3700,4900
2022,1,jameis-winston,Jameis Winston,QB,QB,5300,6700
2022,1,mark-ingram,Mark Ingram,RB,RB,5900,5500
2022,1,tony-jones-5,Tony Jones,RB,RB,4500,5000
2022,1,alvin-kamara,Alvin Kamara,RB,RB,7600,8500
2022,1,adam-prentice,Adam Prentice,RB,RB,4000,4500
2022,1,taysom-hill,Taysom Hill,TE,QB,4600,6200
2022,1,juwan-johnson,Juwan Johnson,TE,TE,2500,4200
2022,1,adam-trautman,Adam Trautman,TE,TE,3100,4700
2022,1,marquez-callaway,Marquez Callaway,WR,WR,3500,4900
2022,1,deonte-harty,Deonte Harty,WR,WR,3000,4700
2022,1,jarvis-landry,Jarvis Landry,WR,WR,5000,5700
2022,1,chris-olave,Chris Olave,WR,WR,4500,5000
2022,1,michael-thomas,Michael Thomas,WR,WR,5700,6200
2022,1,ATL,Atlanta Falcons,DST,DST,2800,3600
2022,1,marcus-mariota,Marcus Mariota,QB,QB,5200,6500
2022,1,cordarrelle-patterson,Cordarrelle Patterson,RB,RB,5800,6600
2022,1,keith-smith,Keith Smith,RB,RB,4000,4500
2022,1,damien-williams,Damien Williams,RB,RB,4700,5300
2022,1,parker-hesse,Parker Hesse,TE,TE,2500,4100
2022,1,kyle-pitts,Kyle Pitts,TE,TE,5700,6000
2022,1,bryan-edwards,Bryan Edwards,WR,WR,4200,5100
2022,1,khadarel-hodge,KhaDarel Hodge,WR,WR,3100,4700
2022,1,drake-london,Drake London,WR,WR,5000,5500
2022,1,olamide-zaccheaus,Olamide Zaccheaus,WR,WR,4000,5000
2022,1,CLE,Cleveland Browns,DST,DST,3800,4300
2022,1,jacoby-brissett,Jacoby Brissett,QB,QB,5200,6300
2022,1,nick-chubb,Nick Chubb,RB,RB,6500,7800
2022,1,demetric-felton,Demetric Felton,RB,WR,4000,4600
2022,1,jerome-ford,Jerome Ford,RB,RB,4000,4800
2022,1,kareem-hunt,Kareem Hunt,RB,RB,5700,6300
2022,1,harrison-bryant,Harrison Bryant,TE,TE,2900,4600
2022,1,david-njoku,David Njoku,TE,TE,3900,5000
2022,1,david-bell,David Bell,WR,WR,3600,5000
2022,1,amari-cooper,Amari Cooper,WR,WR,5900,6400
2022,1,donovan-peoples-jones,Donovan Peoples-Jones,WR,WR,4400,5400
2022,1,anthony-schwartz,Anthony Schwartz,WR,WR,3200,4800
2022,1,CAR,Carolina Panthers,DST,DST,3400,4700
2022,1,baker-mayfield,Baker Mayfield,QB,QB,5300,6600
2022,1,d-onta-foreman,D'Onta Foreman,RB,RB,4400,4900
2022,1,chuba-hubbard,Chuba Hubbard,RB,RB,5400,5500
2022,1,christian-mccaffrey,Christian McCaffrey,RB,RB,8500,9500
2022,1,giovanni-ricci,Giovanni Ricci,TE,TE,4000,4000
2022,1,ian-thomas,Ian Thomas,TE,TE,3000,4200
2022,1,tommy-tremble,Tommy Tremble,TE,TE,3100,4600
2022,1,robbie-anderson,Robbie Anderson,WR,WR,4800,5300
2022,1,d-j-moore,D.J. Moore,WR,WR,6000,6400
2022,1,andre-roberts,Andre Roberts,WR,WR,3000,4500
2022,1,shi-smith,Shi Smith,WR,WR,3000,4600
2022,1,SF,San Francisco 49ers,DST,DST,4100,5000
2022,1,trey-lance-x9749,Trey Lance,QB,QB,6000,7500
2022,1,kyle-juszczyk,Kyle Juszczyk,RB,RB,4100,4500
2022,1,jordan-mason,Jordan Mason,RB,RB,4000,4500
2022,1,jeff-wilson,Jeff Wilson,RB,RB,5100,5500
2022,1,ross-dwelley,Ross Dwelley,TE,TE,2500,4100
2022,1,tyler-kroft,Tyler Kroft,TE,TE,2700,4400
