season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_rat
2018,1,REG,PHI,ATL,Nelson Agholor,AghoNe00,0.0,0.0,0.0,80.4
2018,1,REG,PHI,ATL,Zach Ertz,ErtzZa00,0.0,2.0,0.2,63.7
2018,1,REG,PHI,ATL,Darren Sproles,SproDa00,1.0,1.0,0.143,62.8
2018,1,REG,PHI,ATL,DeAndre Carter,CartDe02,0.0,0.0,0.0,108.3
2018,1,REG,PHI,ATL,Nick Foles,FoleNi00,0.0,0.0,0.0,118.7
2018,1,REG,PHI,ATL,Dallas Goedert,GoedDa00,0.0,1.0,0.333,2.8
2018,1,REG,PHI,ATL,Mike Wallace,WallMi00,0.0,0.0,0.0,39.6
2018,1,REG,ATL,PHI,Julio Jones,JoneJu02,0.0,0.0,0.0,61.1
2018,1,REG,ATL,PHI,Mohamed Sanu,SanuMo00,0.0,0.0,0.0,70.1
2018,1,REG,ATL,PHI,Devonta Freeman,FreeDe00,1.0,1.0,0.2,64.6
2018,1,REG,ATL,PHI,Austin Hooper,HoopAu00,0.0,0.0,0.0,89.6
2018,1,REG,ATL,PHI,Tevin Coleman,ColeTe01,0.0,0.0,0.0,95.8
2018,1,REG,ATL,PHI,Calvin Ridley,RidlCa00,0.0,1.0,0.5,39.6
2018,1,REG,ATL,PHI,Eric Saubert,SaubEr00,0.0,0.0,0.0,39.6
2018,1,REG,BAL,BUF,Javorius Allen,AlleJa01,1.0,0.0,0.0,79.2
2018,1,REG,BAL,BUF,Willie Snead,SneaWi00,0.0,0.0,0.0,131.2
2018,1,REG,BAL,BUF,Maxx Williams,WillMa04,0.0,0.0,0.0,111.1
2018,1,REG,BAL,BUF,Michael Crabtree,CrabMi00,0.0,1.0,0.167,109.7
2018,1,REG,BAL,BUF,John Brown,BrowJo02,0.0,0.0,0.0,150.0
2018,1,REG,BAL,BUF,Nick Boyle,BoylNi00,0.0,1.0,0.167,71.5
2018,1,REG,BAL,BUF,Mark Andrews,AndrMa00,0.0,0.0,0.0,96.9
2018,1,REG,BAL,BUF,Chris Moore,MoorCh00,0.0,0.0,0.0,87.5
2018,1,REG,BAL,BUF,Alex Collins,CollAl00,0.0,0.0,0.0,91.7
2018,1,REG,BUF,BAL,Zay Jones,JoneZa00,0.0,0.0,0.0,61.8
2018,1,REG,BUF,BAL,Jason Croom,CrooJa00,0.0,0.0,0.0,82.6
2018,1,REG,BUF,BAL,Jeremy Kerley,KerlJe00,0.0,1.0,0.25,56.2
2018,1,REG,BUF,BAL,Kelvin Benjamin,BenjKe00,0.0,0.0,0.0,0.0
