name,shortName,id,team_name,team_abbreviation,gameID,year,week,gameDate,gameDateTime,homeAway,nickname,abbr,oppNickname,draftkings_moneyline,draftkings_spread,draftkings_ou,draftkings_score,draftkings_oppScore,fanduel_moneyline,fanduel_spread,fanduel_ou,fanduel_score,fanduel_oppScore,betrivers_moneyline,betrivers_spread,betrivers_ou,betrivers_score,betrivers_oppScore,mgm_moneyline,mgm_spread,mgm_ou,mgm_score,mgm_oppScore
Geno Smith,G. Smith,15864,Seahawks,SEA,2656758.0,2024.0,6.0,2024-10-10 20:15:00,Oct 10 8:15pm,home,Seahawks,SEA,49ers,154.0,3.5,49.0,22.8,26.3,148.0,3.5,48.5,22.5,26.0,145.0,3.5,49.0,22.8,26.3,150.0,3.5,49.0,22.8,26.3
Dak Prescott,D. Prescott,2577417,Cowboys,DAL,2656797.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,home,Cowboys,DAL,Lions,130.0,3.0,52.0,24.5,27.5,146.0,3.0,52.5,24.8,27.8,132.0,3.0,52.5,24.8,27.8,135.0,3.0,52.0,24.5,27.5
C.J. Stroud,C.J. Stroud,4432577,Texans,HOU,2656771.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Texans,HOU,Patriots,-325.0,-7.0,38.0,22.5,15.5,-320.0,-7.0,38.5,22.8,15.8,-315.0,-7.0,38.0,22.5,15.5,-350.0,-7.0,38.0,22.5,15.5
Brock Purdy,B. Purdy,4361741,49ers,SF,2656758.0,2024.0,6.0,2024-10-10 20:15:00,Oct 10 8:15pm,away,49ers,SF,Seahawks,-185.0,-3.5,49.0,26.3,22.8,-176.0,-3.5,48.5,26.0,22.5,-177.0,-3.5,49.0,26.3,22.8,-185.0,-3.5,49.0,26.3,22.8
Kirk Cousins,K. Cousins,14880,Falcons,ATL,2656794.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,away,Falcons,ATL,Panthers,-258.0,-6.0,47.0,26.5,20.5,-260.0,-6.5,46.5,26.5,20.0,-275.0,-6.0,47.0,26.5,20.5,-275.0,-6.0,47.0,26.5,20.5
Joe Burrow,J. Burrow,3915511,Bengals,CIN,2656800.0,2024.0,6.0,2024-10-13 20:20:00,Oct 13 8:20pm,away,Bengals,CIN,Giants,-170.0,-3.5,48.0,25.8,22.3,-168.0,-3.5,48.5,26.0,22.5,-167.0,-3.0,48.0,25.5,22.5,-185.0,-3.5,48.0,25.8,22.3
Matthew Stafford,M. Stafford,12483,Rams,LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes,P. Mahomes,3139477,Chiefs,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,L. Jackson,3916387,Ravens,BAL,2656760.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Ravens,BAL,Commanders,-298.0,-6.5,51.5,29.0,22.5,-290.0,-6.5,51.5,29.0,22.5,-295.0,-6.5,51.5,29.0,22.5,-300.0,-6.5,51.5,29.0,22.5
Baker Mayfield,B. Mayfield,3052587,Buccaneers,TB,2656773.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Buccaneers,TB,Saints,-175.0,-3.5,41.5,22.5,19.0,-186.0,-3.5,41.5,22.5,19.0,-186.0,-3.5,41.5,22.5,19.0,-190.0,-3.5,41.5,22.5,19.0
Daniel Jones,D. Jones,3917792,Giants,NYG,2656800.0,2024.0,6.0,2024-10-13 20:20:00,Oct 13 8:20pm,home,Giants,NYG,Bengals,142.0,3.5,48.0,22.3,25.8,142.0,3.5,48.5,22.5,26.0,138.0,3.0,48.0,22.5,25.5,150.0,3.5,48.0,22.3,25.8
Jayden Daniels,J. Daniels,4426348,Commanders,WSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,S. Darnold,3912547,Vikings,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,T. Lawrence,4360310,Jaguars,JAX,2656572.0,2024.0,6.0,2024-10-13 09:30:00,Oct 13 9:30am,away,Jaguars,JAX,Bears,114.0,2.0,45.0,21.5,23.5,110.0,1.5,44.5,21.5,23.0,100.0,1.5,44.5,21.5,23.0,110.0,2.0,45.0,21.5,23.5
Aaron Rodgers,A. Rodgers,8439,Jets,NYJ,2656805.0,2024.0,6.0,2024-10-14 20:15:00,Oct 14 8:15pm,home,Jets,NYJ,Bills,114.0,2.0,41.0,19.5,21.5,120.0,2.5,40.5,19.0,21.5,118.0,2.5,41.0,19.3,21.8,120.0,2.5,41.0,19.3,21.8
Caleb Williams,C. Williams,4431611,Bears,CHI,2656572.0,2024.0,6.0,2024-10-13 09:30:00,Oct 13 9:30am,home,Bears,CHI,Jaguars,-135.0,-2.0,45.0,23.5,21.5,-130.0,-1.5,44.5,23.0,21.5,-122.0,-1.5,44.5,23.0,21.5,-135.0,-2.0,45.0,23.5,21.5
Jared Goff,J. Goff,3046779,Lions,DET,2656797.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,away,Lions,DET,Cowboys,-155.0,-3.0,52.0,27.5,24.5,-174.0,-3.0,52.5,27.8,24.8,-159.0,-3.0,52.5,27.8,24.8,-160.0,-3.0,52.0,27.5,24.5
Gardner Minshew,G. Minshew,4038524,Raiders,LV,2656791.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,home,Raiders,LV,Steelers,130.0,3.0,36.5,16.8,19.8,128.0,3.0,36.5,16.8,19.8,138.0,3.0,36.5,16.8,19.8,135.0,3.0,36.5,16.8,19.8
Derek Carr,D. Carr,16757,Saints,NO,2656773.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Saints,NO,Buccaneers,145.0,3.5,41.5,19.0,22.5,156.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5
Kyler Murray,K. Murray,3917315,Cardinals,ARI,2656768.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Cardinals,ARI,Packers,185.0,5.0,47.5,21.3,26.3,194.0,5.5,47.5,21.0,26.5,195.0,5.0,47.5,21.3,26.3,180.0,5.0,47.5,21.3,26.3
Justin Fields,J. Fields,4362887,Steelers,PIT,2656791.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,away,Steelers,PIT,Raiders,-162.0,-3.0,36.5,19.8,16.8,-152.0,-3.0,36.5,19.8,16.8,-167.0,-3.0,36.5,19.8,16.8,-160.0,-3.0,36.5,19.8,16.8
Josh Allen,J. Allen,3918298,Bills,BUF,2656805.0,2024.0,6.0,2024-10-14 20:15:00,Oct 14 8:15pm,away,Bills,BUF,Jets,-135.0,-2.0,41.0,21.5,19.5,-142.0,-2.5,40.5,21.5,19.0,-143.0,-2.5,41.0,21.8,19.3,-145.0,-2.5,41.0,21.8,19.3
Jalen Hurts,J. Hurts,4040715,Eagles,PHI,2656778.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Eagles,PHI,Browns,-470.0,-9.0,42.5,25.8,16.8,-480.0,-8.5,42.5,25.5,17.0,-420.0,-9.0,42.5,25.8,16.8,-450.0,-9.0,43.0,26.0,17.0
Jordan Love,J. Love,4036378,Packers,GB,2656768.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Packers,GB,Cardinals,-225.0,-5.0,47.5,26.3,21.3,-240.0,-5.5,47.5,26.5,21.0,-245.0,-5.0,47.5,26.3,21.3,-225.0,-5.0,47.5,26.3,21.3
Bo Nix,B. Nix,4426338,Broncos,DEN,2656789.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,home,Broncos,DEN,Chargers,130.0,3.0,35.5,16.3,19.3,130.0,3.0,35.5,16.3,19.3,133.0,3.0,35.5,16.3,19.3,130.0,3.0,35.5,16.3,19.3
Deshaun Watson,D. Watson,3122840,Browns,CLE,2656778.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Browns,CLE,Eagles,360.0,9.0,42.5,16.8,25.8,360.0,8.5,42.5,17.0,25.5,320.0,9.0,42.5,16.8,25.8,350.0,9.0,43.0,17.0,26.0
Jacoby Brissett,J. Brissett,2578570,Patriots,NE,2656771.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Patriots,NE,Texans,260.0,7.0,38.0,15.5,22.5,260.0,7.0,38.5,15.8,22.8,250.0,7.0,38.0,15.5,22.5,260.0,7.0,38.0,15.5,22.5
Andy Dalton,A. Dalton,14012,Panthers,CAR,2656794.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,home,Panthers,CAR,Falcons,210.0,6.0,47.0,20.5,26.5,215.0,6.5,46.5,20.0,26.5,220.0,6.0,47.0,20.5,26.5,220.0,6.0,47.0,20.5,26.5
Anthony Richardson,A. Richardson,4429084,Colts,IND,2656783.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Colts,IND,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
Will Levis,W. Levis,4361418,Titans,TEN,2656783.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Titans,TEN,Colts,-108.0,1.0,43.0,21.0,22.0,-104.0,1.5,43.5,21.0,22.5,-106.0,1.0,43.0,21.0,22.0,100.0,1.0,43.0,21.0,22.0
Justin Herbert,J. Herbert,4038941,Chargers,LAC,2656789.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,away,Chargers,LAC,Broncos,-155.0,-3.0,35.5,19.3,16.3,-154.0,-3.0,35.5,19.3,16.3,-162.0,-3.0,35.5,19.3,16.3,-155.0,-3.0,35.5,19.3,16.3
Joe Flacco,J. Flacco,11252,Colts,IND,2656783.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Colts,IND,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
Tua Tagovailoa,T. Tagovailoa,4241479,Dolphins,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,M. Willis,4242512,Packers,GB,2656768.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Packers,GB,Cardinals,-225.0,-5.0,47.5,26.3,21.3,-240.0,-5.5,47.5,26.5,21.0,-245.0,-5.0,47.5,26.3,21.3,-225.0,-5.0,47.5,26.3,21.3
Bryce Young,B. Young,4685720,Panthers,CAR,2656794.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,home,Panthers,CAR,Falcons,210.0,6.0,47.0,20.5,26.5,215.0,6.5,46.5,20.0,26.5,220.0,6.0,47.0,20.5,26.5,220.0,6.0,47.0,20.5,26.5
Tyler Huntley,T. Huntley,4035671,Dolphins,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skylar Thompson,S. Thompson,4036419,Dolphins,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan O'Connell,A. O'Connell,4260394,Raiders,LV,2656791.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,home,Raiders,LV,Steelers,130.0,3.0,36.5,16.8,19.8,128.0,3.0,36.5,16.8,19.8,138.0,3.0,36.5,16.8,19.8,135.0,3.0,36.5,16.8,19.8
Mason Rudolph,M. Rudolph,3116407,Titans,TEN,2656783.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Titans,TEN,Colts,-108.0,1.0,43.0,21.0,22.0,-104.0,1.5,43.5,21.0,22.5,-106.0,1.0,43.0,21.0,22.0,100.0,1.0,43.0,21.0,22.0
Tim Boyle,T. Boyle,3045169,Dolphins,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Mills,D. Mills,4242546,Texans,HOU,2656771.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Texans,HOU,Patriots,-325.0,-7.0,38.0,22.5,15.5,-320.0,-7.0,38.5,22.8,15.8,-315.0,-7.0,38.0,22.5,15.5,-350.0,-7.0,38.0,22.5,15.5
Tyrod Taylor,T. Taylor,14163,Jets,NYJ,2656805.0,2024.0,6.0,2024-10-14 20:15:00,Oct 14 8:15pm,home,Jets,NYJ,Bills,114.0,2.0,41.0,19.5,21.5,120.0,2.5,40.5,19.0,21.5,118.0,2.5,41.0,19.3,21.8,120.0,2.5,41.0,19.3,21.8
Taylor Heinicke,T. Heinicke,2565969,Chargers,LAC,2656789.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,away,Chargers,LAC,Broncos,-155.0,-3.0,35.5,19.3,16.3,-154.0,-3.0,35.5,19.3,16.3,-162.0,-3.0,35.5,19.3,16.3,-155.0,-3.0,35.5,19.3,16.3
Nick Mullens,N. Mullens,3059989,Vikings,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,A. Mitchell,4597500,Colts,IND,2656783.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,away,Colts,IND,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
Mac Jones,M. Jones,4241464,Jaguars,JAX,2656572.0,2024.0,6.0,2024-10-13 09:30:00,Oct 13 9:30am,away,Jaguars,JAX,Bears,114.0,2.0,45.0,21.5,23.5,110.0,1.5,44.5,21.5,23.0,100.0,1.5,44.5,21.5,23.0,110.0,2.0,45.0,21.5,23.5
Drake Maye,D. Maye,4431452,Patriots,NE,2656771.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Patriots,NE,Texans,260.0,7.0,38.0,15.5,22.5,260.0,7.0,38.5,15.8,22.8,250.0,7.0,38.0,15.5,22.5,260.0,7.0,38.0,15.5,22.5
Kyle Allen,K. Allen,3115293,Steelers,PIT,2656791.0,2024.0,6.0,2024-10-13 16:05:00,Oct 13 4:05pm,away,Steelers,PIT,Raiders,-162.0,-3.0,36.5,19.8,16.8,-152.0,-3.0,36.5,19.8,16.8,-167.0,-3.0,36.5,19.8,16.8,-160.0,-3.0,36.5,19.8,16.8
Jack Fox,J. Fox,3916370,Lions,DET,2656797.0,2024.0,6.0,2024-10-13 16:25:00,Oct 13 4:25pm,away,Lions,DET,Cowboys,-155.0,-3.0,52.0,27.5,24.5,-174.0,-3.0,52.5,27.8,24.8,-159.0,-3.0,52.5,27.8,24.8,-160.0,-3.0,52.0,27.5,24.5
Jake Haener,J. Haener,4243322,Saints,NO,2656773.0,2024.0,6.0,2024-10-13 13:00:00,Oct 13 1:00pm,home,Saints,NO,Buccaneers,145.0,3.5,41.5,19.0,22.5,156.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5
