year,week,gameID,gameDate,name,team,abbr,homeAway,opponent,draftkings_moneyline,draftkings_spread,draftkings_ou,draftkings_score,draftkings_oppScore,fanduel_moneyline,fanduel_spread,fanduel_ou,fanduel_score,fanduel_oppScore,betrivers_moneyline,betrivers_spread,betrivers_ou,betrivers_score,betrivers_oppScore,mgm_moneyline,mgm_spread,mgm_ou,mgm_score,mgm_oppScore
2024.0,6.0,2656758.0,2024-10-10 20:15:00,Geno Smith,Seahawks,SEA,home,49ers,154.0,3.5,49.0,22.8,26.3,148.0,3.5,48.5,22.5,26.0,145.0,3.5,49.0,22.8,26.3,150.0,3.5,49.0,22.8,26.3
2024.0,6.0,2656797.0,2024-10-13 16:25:00,Dak Prescott,Cowboys,DAL,home,Lions,130.0,3.0,52.0,24.5,27.5,146.0,3.0,52.5,24.8,27.8,132.0,3.0,52.5,24.8,27.8,135.0,3.0,52.0,24.5,27.5
2024.0,6.0,2656771.0,2024-10-13 13:00:00,C.J. Stroud,Texans,HOU,away,Patriots,-325.0,-7.0,38.0,22.5,15.5,-320.0,-7.0,38.5,22.8,15.8,-315.0,-7.0,38.0,22.5,15.5,-350.0,-7.0,38.0,22.5,15.5
2024.0,6.0,2656758.0,2024-10-10 20:15:00,Brock Purdy,49ers,SF,away,Seahawks,-185.0,-3.5,49.0,26.3,22.8,-176.0,-3.5,48.5,26.0,22.5,-177.0,-3.5,49.0,26.3,22.8,-185.0,-3.5,49.0,26.3,22.8
2024.0,6.0,2656794.0,2024-10-13 16:25:00,Kirk Cousins,Falcons,ATL,away,Panthers,-258.0,-6.0,47.0,26.5,20.5,-260.0,-6.5,46.5,26.5,20.0,-275.0,-6.0,47.0,26.5,20.5,-275.0,-6.0,47.0,26.5,20.5
2024.0,6.0,2656800.0,2024-10-13 20:20:00,Joe Burrow,Bengals,CIN,away,Giants,-170.0,-3.5,48.0,25.8,22.3,-168.0,-3.5,48.5,26.0,22.5,-167.0,-3.0,48.0,25.5,22.5,-185.0,-3.5,48.0,25.8,22.3
,,,,Matthew Stafford,Rams,,,,,,,,,,,,,,,,,,,,,,,
,,,,Patrick Mahomes,Chiefs,,,,,,,,,,,,,,,,,,,,,,,
2024.0,6.0,2656760.0,2024-10-13 13:00:00,Lamar Jackson,Ravens,BAL,home,Commanders,-298.0,-6.5,51.5,29.0,22.5,-290.0,-6.5,51.5,29.0,22.5,-295.0,-6.5,51.5,29.0,22.5,-300.0,-6.5,51.5,29.0,22.5
2024.0,6.0,2656773.0,2024-10-13 13:00:00,Baker Mayfield,Buccaneers,TB,away,Saints,-175.0,-3.5,41.5,22.5,19.0,-186.0,-3.5,41.5,22.5,19.0,-186.0,-3.5,41.5,22.5,19.0,-190.0,-3.5,41.5,22.5,19.0
2024.0,6.0,2656800.0,2024-10-13 20:20:00,Daniel Jones,Giants,NYG,home,Bengals,142.0,3.5,48.0,22.3,25.8,142.0,3.5,48.5,22.5,26.0,138.0,3.0,48.0,22.5,25.5,150.0,3.5,48.0,22.3,25.8
,,,,Jayden Daniels,Commanders,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sam Darnold,Vikings,,,,,,,,,,,,,,,,,,,,,,,
2024.0,6.0,2656572.0,2024-10-13 09:30:00,Trevor Lawrence,Jaguars,JAX,away,Bears,114.0,2.0,45.0,21.5,23.5,110.0,1.5,44.5,21.5,23.0,100.0,1.5,44.5,21.5,23.0,110.0,2.0,45.0,21.5,23.5
2024.0,6.0,2656805.0,2024-10-14 20:15:00,Aaron Rodgers,Jets,NYJ,home,Bills,114.0,2.0,41.0,19.5,21.5,120.0,2.5,40.5,19.0,21.5,118.0,2.5,41.0,19.3,21.8,120.0,2.5,41.0,19.3,21.8
2024.0,6.0,2656572.0,2024-10-13 09:30:00,Caleb Williams,Bears,CHI,home,Jaguars,-135.0,-2.0,45.0,23.5,21.5,-130.0,-1.5,44.5,23.0,21.5,-122.0,-1.5,44.5,23.0,21.5,-135.0,-2.0,45.0,23.5,21.5
2024.0,6.0,2656797.0,2024-10-13 16:25:00,Jared Goff,Lions,DET,away,Cowboys,-155.0,-3.0,52.0,27.5,24.5,-174.0,-3.0,52.5,27.8,24.8,-159.0,-3.0,52.5,27.8,24.8,-160.0,-3.0,52.0,27.5,24.5
2024.0,6.0,2656791.0,2024-10-13 16:05:00,Gardner Minshew,Raiders,LV,home,Steelers,130.0,3.0,36.5,16.8,19.8,128.0,3.0,36.5,16.8,19.8,138.0,3.0,36.5,16.8,19.8,135.0,3.0,36.5,16.8,19.8
2024.0,6.0,2656773.0,2024-10-13 13:00:00,Derek Carr,Saints,NO,home,Buccaneers,145.0,3.5,41.5,19.0,22.5,156.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5,155.0,3.5,41.5,19.0,22.5
2024.0,6.0,2656768.0,2024-10-13 13:00:00,Kyler Murray,Cardinals,ARI,away,Packers,185.0,5.0,47.5,21.3,26.3,194.0,5.5,47.5,21.0,26.5,195.0,5.0,47.5,21.3,26.3,180.0,5.0,47.5,21.3,26.3
2024.0,6.0,2656791.0,2024-10-13 16:05:00,Justin Fields,Steelers,PIT,away,Raiders,-162.0,-3.0,36.5,19.8,16.8,-152.0,-3.0,36.5,19.8,16.8,-167.0,-3.0,36.5,19.8,16.8,-160.0,-3.0,36.5,19.8,16.8
2024.0,6.0,2656805.0,2024-10-14 20:15:00,Josh Allen,Bills,BUF,away,Jets,-135.0,-2.0,41.0,21.5,19.5,-142.0,-2.5,40.5,21.5,19.0,-143.0,-2.5,41.0,21.8,19.3,-145.0,-2.5,41.0,21.8,19.3
2024.0,6.0,2656778.0,2024-10-13 13:00:00,Jalen Hurts,Eagles,PHI,home,Browns,-470.0,-9.0,42.5,25.8,16.8,-480.0,-8.5,42.5,25.5,17.0,-420.0,-9.0,42.5,25.8,16.8,-450.0,-9.0,43.0,26.0,17.0
2024.0,6.0,2656768.0,2024-10-13 13:00:00,Jordan Love,Packers,GB,home,Cardinals,-225.0,-5.0,47.5,26.3,21.3,-240.0,-5.5,47.5,26.5,21.0,-245.0,-5.0,47.5,26.3,21.3,-225.0,-5.0,47.5,26.3,21.3
2024.0,6.0,2656789.0,2024-10-13 16:05:00,Bo Nix,Broncos,DEN,home,Chargers,130.0,3.0,35.5,16.3,19.3,130.0,3.0,35.5,16.3,19.3,133.0,3.0,35.5,16.3,19.3,130.0,3.0,35.5,16.3,19.3
2024.0,6.0,2656778.0,2024-10-13 13:00:00,Deshaun Watson,Browns,CLE,away,Eagles,360.0,9.0,42.5,16.8,25.8,360.0,8.5,42.5,17.0,25.5,320.0,9.0,42.5,16.8,25.8,350.0,9.0,43.0,17.0,26.0
2024.0,6.0,2656771.0,2024-10-13 13:00:00,Jacoby Brissett,Patriots,NE,home,Texans,260.0,7.0,38.0,15.5,22.5,260.0,7.0,38.5,15.8,22.8,250.0,7.0,38.0,15.5,22.5,260.0,7.0,38.0,15.5,22.5
2024.0,6.0,2656794.0,2024-10-13 16:25:00,Andy Dalton,Panthers,CAR,home,Falcons,210.0,6.0,47.0,20.5,26.5,215.0,6.5,46.5,20.0,26.5,220.0,6.0,47.0,20.5,26.5,220.0,6.0,47.0,20.5,26.5
2024.0,6.0,2656783.0,2024-10-13 13:00:00,Anthony Richardson,Colts,IND,away,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
2024.0,6.0,2656783.0,2024-10-13 13:00:00,Will Levis,Titans,TEN,home,Colts,-108.0,1.0,43.0,21.0,22.0,-104.0,1.5,43.5,21.0,22.5,-106.0,1.0,43.0,21.0,22.0,100.0,1.0,43.0,21.0,22.0
2024.0,6.0,2656789.0,2024-10-13 16:05:00,Justin Herbert,Chargers,LAC,away,Broncos,-155.0,-3.0,35.5,19.3,16.3,-154.0,-3.0,35.5,19.3,16.3,-162.0,-3.0,35.5,19.3,16.3,-155.0,-3.0,35.5,19.3,16.3
2024.0,6.0,2656783.0,2024-10-13 13:00:00,Joe Flacco,Colts,IND,away,Titans,-112.0,-1.0,43.0,22.0,21.0,-112.0,-1.5,43.5,22.5,21.0,-115.0,-1.0,43.0,22.0,21.0,-120.0,-1.0,43.0,22.0,21.0
