year,week,player_id,player,position,team,points,points_ppr,points_half,passing_attempts,passing_completions,passing_yards,passing_tds
2024,7,15864,Geno Smith,QB,SEA,17.56,17.56,17.56,38.16,26.55,264.24,1.44
2024,7,4361741,Brock Purdy,QB,SF,17.47,17.47,17.47,32.8,21.37,257.37,1.64
2024,7,2577417,Dak Prescott,QB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,14880,Kirk Cousins,QB,ATL,16.92,16.92,16.92,34.42,22.94,261.96,1.73
2024,7,3915511,Joe Burrow,QB,CIN,18.05,18.05,18.05,34.24,23.0,257.16,1.69
2024,7,4432577,C.J. Stroud,QB,HOU,17.81,17.81,17.81,35.27,23.6,269.36,1.58
2024,7,3916387,Lamar Jackson,QB,BAL,21.96,21.96,21.96,30.02,19.75,229.98,1.52
2024,7,3052587,Baker Mayfield,QB,TB,18.6,18.6,18.6,35.09,23.98,266.78,1.77
2024,7,4426348,Jayden Daniels,QB,WSH,23.01,23.01,23.01,31.18,21.64,237.06,1.43
2024,7,8439,Aaron Rodgers,QB,NYJ,15.63,15.63,15.63,33.44,21.98,236.88,1.51
2024,7,3917792,Daniel Jones,QB,NYG,16.22,16.22,16.22,33.78,21.08,224.4,1.18
2024,7,4360310,Trevor Lawrence,QB,JAX,16.37,16.37,16.37,34.76,21.46,234.91,1.49
2024,7,3046779,Jared Goff,QB,DET,15.16,15.16,15.16,32.8,21.86,243.96,1.46
2024,7,4431611,Caleb Williams,QB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,12483,Matthew Stafford,QB,LAR,14.43,14.43,14.43,30.12,20.5,230.33,1.38
2024,7,3139477,Patrick Mahomes,QB,KC,,,,,,,
2024,7,4040715,Jalen Hurts,QB,PHI,20.26,20.26,20.26,30.27,20.03,221.94,1.31
2024,7,3917315,Kyler Murray,QB,ARI,18.12,18.12,18.12,29.88,19.97,209.0,1.26
2024,7,3918298,Josh Allen,QB,BUF,20.64,20.64,20.64,30.4,19.27,220.62,1.54
2024,7,4036378,Jordan Love,QB,GB,18.16,18.16,18.16,34.66,21.79,252.23,1.85
2024,7,3912547,Sam Darnold,QB,MIN,17.03,17.03,17.03,34.6,22.02,250.0,1.6
2024,7,4362887,Justin Fields,QB,PIT,18.13,18.13,18.13,28.1,17.33,174.23,1.02
2024,7,4426338,Bo Nix,QB,DEN,16.01,16.01,16.01,31.82,20.08,212.52,1.11
2024,7,3122840,Deshaun Watson,QB,CLE,13.26,13.26,13.26,30.66,18.65,184.99,0.98
2024,7,4038524,Gardner Minshew,QB,LV,,,,,,,
2024,7,16757,Derek Carr,QB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,14012,Andy Dalton,QB,CAR,15.48,15.48,15.48,36.19,23.38,256.24,1.37
2024,7,4038941,Justin Herbert,QB,LAC,15.23,15.23,15.23,31.42,20.63,221.22,1.42
2024,7,11252,Joe Flacco,QB,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4361418,Will Levis,QB,TEN,12.76,12.76,12.76,31.1,20.23,203.63,1.03
2024,7,2578570,Jacoby Brissett,QB,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4429084,Anthony Richardson,QB,IND,17.43,17.43,17.43,29.33,17.7,207.83,1.19
2024,7,4241479,Tua Tagovailoa,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4260394,Aidan O'Connell,QB,LV,12.57,12.57,12.57,32.9,21.14,225.24,1.02
2024,7,4242512,Malik Willis,QB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4685720,Bryce Young,QB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4035671,Tyler Huntley,QB,MIA,13.9,13.9,13.9,29.26,18.75,191.69,0.93
2024,7,4431452,Drake Maye,QB,NE,15.32,15.32,15.32,31.75,20.28,217.46,1.21
2024,7,4426339,Spencer Rattler,QB,NO,11.8,11.8,11.8,32.09,19.49,199.8,0.93
2024,7,4036419,Skylar Thompson,QB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,3116407,Mason Rudolph,QB,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
