year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,passing_attempts,passing_completions,passing_yards,passing_tds,This Week,Last Week,Difference
2024,7,15864,Geno Smith,Geno,Smith,QB,SEA,17.56,17.56,17.56,38.16,26.55,264.24,1.44,"$7,600","$7,900",-300
2024,7,4361741,Brock Purdy,Brock,Purdy,QB,SF,17.47,17.47,17.47,32.8,21.37,257.37,1.64,"$7,700","$7,800",-100
2024,7,2577417,Dak Prescott,Dak,Prescott,QB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,14880,Kirk Cousins,Kirk,Cousins,QB,ATL,16.92,16.92,16.92,34.42,22.94,261.96,1.73,"$7,200","$7,400",-200
2024,7,3915511,Joe Burrow,Joe,Burrow,QB,CIN,18.05,18.05,18.05,34.24,23.0,257.16,1.69,"$8,200","$8,100",+100
2024,7,4432577,C.J. Stroud,C.J.,Stroud,QB,HOU,17.81,17.81,17.81,35.27,23.6,269.36,1.58,,,
2024,7,3916387,Lamar Jackson,Lamar,Jackson,QB,BAL,21.96,21.96,21.96,30.02,19.75,229.98,1.52,"$9,400","$9,500",-100
2024,7,3052587,Baker Mayfield,Baker,Mayfield,QB,TB,18.6,18.6,18.6,35.09,23.98,266.78,1.77,"$8,300","$7,900",+400
2024,7,4426348,Jayden Daniels,Jayden,Daniels,QB,WSH,23.01,23.01,23.01,31.18,21.64,237.06,1.43,"$9,100","$8,700",+400
2024,7,8439,Aaron Rodgers,Aaron,Rodgers,QB,NYJ,15.63,15.63,15.63,33.44,21.98,236.88,1.51,"$6,900","$7,200",-300
2024,7,3917792,Daniel Jones,Daniel,Jones,QB,NYG,16.22,16.22,16.22,33.78,21.08,224.4,1.18,"$7,000","$6,800",+200
2024,7,4360310,Trevor Lawrence,Trevor,Lawrence,QB,JAX,16.37,16.37,16.37,34.76,21.46,234.91,1.49,"$7,000","$7,300",-300
2024,7,3046779,Jared Goff,Jared,Goff,QB,DET,15.16,15.16,15.16,32.8,21.86,243.96,1.46,"$7,800","$7,700",+100
2024,7,4431611,Caleb Williams,Caleb,Williams,QB,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,12483,Matthew Stafford,Matthew,Stafford,QB,LAR,14.43,14.43,14.43,30.12,20.5,230.33,1.38,"$7,100",-,-
2024,7,3139477,Patrick Mahomes,Patrick,Mahomes,QB,KC,,,,,,,,,,
2024,7,4040715,Jalen Hurts,Jalen,Hurts,QB,PHI,20.26,20.26,20.26,30.27,20.03,221.94,1.31,"$8,500","$8,300",+200
2024,7,3917315,Kyler Murray,Kyler,Murray,QB,ARI,18.12,18.12,18.12,29.88,19.97,209.0,1.26,"$8,100","$7,800",+300
2024,7,3918298,Josh Allen,Josh,Allen,QB,BUF,20.64,20.64,20.64,30.4,19.27,220.62,1.54,"$9,200","$9,300",-100
2024,7,4036378,Jordan Love,Jordan,Love,QB,GB,18.16,18.16,18.16,34.66,21.79,252.23,1.85,"$8,700","$8,500",+200
2024,7,3912547,Sam Darnold,Sam,Darnold,QB,MIN,17.03,17.03,17.03,34.6,22.02,250.0,1.6,"$7,500",-,-
2024,7,4362887,Justin Fields,Justin,Fields,QB,PIT,18.13,18.13,18.13,28.1,17.33,174.23,1.02,"$7,300","$7,600",-300
2024,7,4426338,Bo Nix,Bo,Nix,QB,DEN,16.01,16.01,16.01,31.82,20.08,212.52,1.11,"$6,800","$6,700",+100
2024,7,3122840,Deshaun Watson,Deshaun,Watson,QB,CLE,13.26,13.26,13.26,30.66,18.65,184.99,0.98,"$6,800","$6,600",+200
