FirstName,LastName,Team,Position,This Week,Last Week,Difference
Jayden,Daniels,WAS,QB,"$9,100","$8,700",+400
Kedon,Slovis,HOU,QB,"$6,000","$6,000",0
Bo,Nix,DEN,QB,"$6,800","$6,700",+100
Max,Duggan,LAC,QB,"$6,000","$6,000",0
Easton,Stick,LAC,QB,"$6,000","$6,000",0
Sam,Howell,SEA,QB,"$6,000","$6,000",0
Spencer,Rattler,NO,QB,"$7,100","$6,000","+1,100"
Rhys,Plumlee,JAC,QB,"$6,000","$6,000",0
Gavin,Hardison,MIA,QB,"$6,000",-,-
Bryce,Young,CAR,QB,"$6,000","$6,000",0
Anthony,Richardson,IND,QB,"$7,400","$7,300",+100
Michael,Pratt,TB,QB,"$6,000","$6,000",0
Bailey,Zappe,KC,QB,"$6,000",-,-
Andy,Dalton,CAR,QB,"$7,300","$7,100",+200
Tyrod,Taylor,NYJ,QB,"$6,000","$6,000",0
Drake,Maye,NE,QB,"$6,000","$6,000",0
Dresser,Winn,LAR,QB,"$6,000",-,-
Casey,Bauman,LAC,QB,"$6,000","$6,000",0
Peewee,Jarrett,NYJ,QB,"$6,000","$6,000",0
Russell,Wilson,PIT,QB,"$6,400","$6,000",+400
Kirk,Cousins,ATL,QB,"$7,200","$7,400",-200
Case,Keenum,HOU,QB,"$6,000","$6,000",0
Jameis,Winston,CLE,QB,"$6,000","$6,300",-300
Geno,Smith,SEA,QB,"$7,600","$7,900",-300
Nate,Sudfeld,DET,QB,"$6,000","$6,000",0
Trevor,Siemian,TEN,QB,"$6,000",-,-
Marcus,Mariota,WAS,QB,"$6,000","$6,000",0
Jacoby,Brissett,NE,QB,"$6,400","$6,400",0
Jeff,Driskel,WAS,QB,"$6,000","$6,000",0
Nathan,Peterman,ATL,QB,"$6,000","$6,000",0
Brandon,Allen,SF,QB,"$6,000","$6,000",0
Jared,Goff,DET,QB,"$7,800","$7,700",+100
Mitchell,Trubisky,BUF,QB,"$6,000","$6,000",0
Joshua,Dobbs,SF,QB,"$6,000","$6,000",0
Tim,Boyle,MIA,QB,"$6,000",-,-
Mike,White,BUF,QB,"$6,000","$6,000",0
Baker,Mayfield,TB,QB,"$8,300","$7,900",+400
Nick,Mullens,MIN,QB,"$6,000",-,-
Logan,Woodside,CIN,QB,"$6,000","$6,000",0
Derek,Carr,NO,QB,"$7,100","$7,500",-400
Will,Grier,PHI,QB,"$6,000","$6,000",0
