season,seasonType,firstName,lastName,position,teamName,Rushing Attempts,Rushing Yards,Yards per Rush,Longest Rush,20plus Yard Rushes,Rushing Yards per Game,20plus_pct
2024,2,J.K.,Dobbins,Running Back,Chargers,27,266,9.9,61,3,133.0,0.11
2024,2,Kyler,Murray,Quarterback,Cardinals,10,116,11.6,29,2,58.0,0.2
2024,2,Anthony,Richardson,Quarterback,Colts,10,93,9.3,21,1,46.5,0.1
2024,2,Will,Levis,Quarterback,Titans,8,74,9.3,21,1,37.0,0.12
2024,2,Jayden,Reed,Wide Receiver,Packers,3,70,23.3,33,2,35.0,0.67
2024,2,Bo,Nix,Quarterback,Broncos,9,60,6.7,23,1,30.0,0.11
2024,2,Caleb,Williams,Quarterback,Bears,10,59,5.9,24,1,29.5,0.1
2024,2,Trevor,Lawrence,Quarterback,Jaguars,3,53,17.7,33,1,26.5,0.33
2024,2,Emari,Demercado,Running Back,Cardinals,2,46,23.0,41,1,23.0,0.5
2024,2,Geno,Smith,Quarterback,Seahawks,9,38,4.2,34,1,19.0,0.11
2024,2,Xavier,Worthy,Wide Receiver,Chiefs,2,26,13.0,21,1,13.0,0.5
2023,2,Keaton,Mitchell,Running Back,Ravens,47,396,8.4,60,7,49.5,0.15
2023,2,Jayden,Reed,Wide Receiver,Packers,11,119,10.8,32,3,7.4,0.27
2023,2,KaVontae,Turpin,Wide Receiver,Cowboys,11,110,10.0,46,2,6.9,0.18
2023,2,Chris,Brooks,Running Back,Dolphins,19,106,5.6,52,2,11.8,0.11
2023,2,Wan'Dale,Robinson,Wide Receiver,Giants,9,87,9.7,32,2,5.8,0.22
2023,2,Tre,Tucker,Wide Receiver,Raiders,10,77,7.7,34,1,4.8,0.1
2023,2,Kalif,Raymond,Wide Receiver,Lions,7,75,10.7,40,1,4.4,0.14
2023,2,Ihmir,Smith-Marsette,Wide Receiver,Panthers,8,74,9.3,20,1,4.4,0.12
2023,2,Zay,Flowers,Wide Receiver,Ravens,8,56,7.0,37,1,3.5,0.12
2023,2,Tyquan,Thornton,Wide Receiver,Patriots,3,51,17.0,39,1,5.7,0.33
2023,2,Blaine,Gabbert,Quarterback,Chiefs,7,45,6.4,25,1,22.5,0.14
2023,2,DeMario,Douglas,Wide Receiver,Patriots,8,41,5.1,20,1,2.9,0.12
2023,2,Chris,Moore,Wide Receiver,Titans,2,39,19.5,38,1,2.3,0.5
2023,2,Marquise,Goodwin,Wide Receiver,Browns,4,33,8.3,20,1,2.8,0.25
2023,2,Lynn,Bowden Jr.,Wide Receiver,Saints,5,32,6.4,29,1,2.1,0.2
2023,2,Brandon,Bolden,Running Back,Raiders,4,31,7.8,26,1,1.8,0.25
2023,2,Tutu,Atwell,Wide Receiver,Rams,5,31,6.2,22,1,1.9,0.2
2023,2,Derrick,Gore,Running Back,Commanders,3,26,8.7,23,1,4.3,0.33
2023,2,Demarcus,Robinson,Wide Receiver,Rams,1,23,23.0,23,1,1.4,1.0
2023,2,Hollywood,Brown,Wide Receiver,Cardinals,2,23,11.5,29,1,1.6,0.5
2022,2,Velus,Jones Jr.,Wide Receiver,Bears,9,103,11.4,42,1,8.6,0.11
2022,2,Pierre,Strong Jr.,Running Back,Patriots,10,100,10.0,44,1,6.7,0.1
