season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,rushing_yards,rush_yds_per_game,carries,carries_per_game,avg_yds_per_carry,carries_last3_games_played,avg_carries_last3_games_played,receptions,receptions_per_game,rec_last3_games_played,avg_rec_last3_games_played,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_12_carries_or_receptions_bool,avg_carries_last3_games_played_bool,avg_rec_last3_games_played_bool,avg_15_rec_or_carries_last3_games_bool,avg_4yds_per_carry_bool
2024,10,00-0032764,d,derrick,henry,BAL,9,"$9,500","$9,000",+500,1052,116.9,168,18.7,6.26,49,16.3,9,1.0,3,1.0,31,81,2.6,9,86.1%,3,3,100.0%,22,7.3,2,30.0%,True,True,False,True,True
2024,10,00-0034844,s,saquon,barkley,PHI,8,"$9,600","$9,400",+200,925,115.6,157,19.6,5.89,66,22.0,20,2.5,6,2.0,28,115,4.1,5,73.7%,5,7,71.4%,50,10.0,2,100.0%,True,True,False,True,True
2024,10,00-0035700,j,nan,jacobs,GB,9,,,,762,84.7,158,17.6,4.82,50,16.7,19,2.1,8,2.7,,,,,,,,,,,,,True,True,False,True,True
2024,10,00-0037525,j,jordan,mason,SF,8,"$8,100",-,-,685,85.6,134,16.8,5.11,29,9.7,10,1.2,3,1.0,31,91,2.9,3,70.5%,2,3,66.7%,20,10.0,0,75.0%,True,False,False,False,True
2024,10,00-0036555,c,chuba,hubbard,CAR,9,"$7,100","$6,900",+200,665,73.9,133,14.8,5.0,47,15.7,26,2.9,4,1.3,21,64,3.0,4,84.0%,5,5,100.0%,31,6.2,1,55.6%,True,True,False,True,True
2024,10,00-0033553,j,james,conner,ARI,9,"$7,600","$7,700",-100,664,73.8,147,16.3,4.52,57,19.0,19,2.1,7,2.3,33,97,2.9,4,91.7%,0,0,0%,0,0,0,0.0%,True,True,False,True,True
2024,10,00-0033906,a,alvin,kamara,NO,9,"$8,500","$8,800",-300,660,73.3,150,16.7,4.4,46,15.3,46,5.1,18,6.0,24,73,3.0,6,75.0%,1,4,25.0%,1,1.0,0,80.0%,True,True,False,True,True
2024,10,00-0039139,j,jahmyr,gibbs,DET,8,"$8,400","$8,600",-200,656,82.0,103,12.9,6.37,37,12.3,20,2.5,6,2.0,23,77,3.3,5,45.1%,5,7,71.4%,8,1.6,0,87.5%,True,False,False,False,True
2024,10,00-0038542,b,bijan,robinson,ATL,9,"$8,800","$8,500",+300,632,70.2,135,15.0,4.68,53,17.7,38,4.2,17,5.7,23,42,1.8,4,56.1%,4,4,100.0%,24,6.0,1,80.0%,True,True,False,True,True
2024,10,00-0035261,t,tony,pollard,TEN,8,"$7,200","$7,300",-100,622,77.8,142,17.8,4.38,64,21.3,24,3.0,8,2.7,19,56,2.9,1,76.0%,1,2,50.0%,11,11.0,0,100.0%,True,True,False,True,True
2024,10,00-0036158,j,j.k.,dobbins,LAC,8,"$7,300","$7,100",+200,620,77.5,126,15.8,4.92,45,15.0,21,2.6,9,3.0,15,51,3.4,5,62.5%,3,3,100.0%,13,4.3,0,100.0%,True,True,False,True,True
2024,10,00-0033897,j,joe,mixon,HOU,6,"$9,000","$9,200",-200,609,101.5,126,21.0,4.83,74,24.7,14,2.3,6,2.0,29,77,2.7,6,69.0%,1,2,50.0%,10,10.0,1,28.6%,True,True,False,True,True
2024,10,00-0037840,k,nan,williams,LA,8,,,,602,75.2,161,20.1,3.74,66,22.0,20,2.5,6,2.0,,,,,,,,,,,,,True,True,False,True,False
2024,10,00-0036893,n,najee,harris,PIT,8,"$7,100",-,-,592,74.0,136,17.0,4.35,54,18.0,17,2.1,5,1.7,26,62,2.4,1,78.8%,1,1,100.0%,11,11.0,0,20.0%,True,True,False,True,True
