year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,6,3043078,Derrick Henry,RB,BAL,15.48,16.98,16.23,17.96,86.06,0.88,1.5,12.74,0.08
2024,6,4360569,Jordan Mason,RB,SF,13.59,15.25,14.42,17.81,83.06,0.62,1.66,12.95,0.07
2024,6,3929630,Saquon Barkley,RB,PHI,14.76,17.46,16.11,19.32,87.77,0.58,2.69,18.85,0.13
2024,6,4047365,Josh Jacobs,RB,GB,12.15,14.43,13.29,16.6,69.93,0.5,2.29,16.95,0.1
2024,6,4241416,Chuba Hubbard,RB,CAR,11.68,14.58,13.13,16.42,66.76,0.45,2.91,19.7,0.08
2024,6,3054850,Alvin Kamara,RB,NO,13.27,17.07,15.17,16.65,71.4,0.46,3.8,27.24,0.13
2024,6,3045147,James Conner,RB,ARI,11.95,13.67,12.81,17.49,74.58,0.51,1.72,12.13,0.06
2024,6,3916387,Lamar Jackson,RB,BAL,23.06,23.06,23.06,,,,,,
2024,6,4430737,Kyren Williams,RB,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4569173,Rhamondre Stevenson,RB,NE,8.25,10.35,9.3,10.67,50.39,0.28,2.1,13.87,0.06
2024,6,3042519,Aaron Jones,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4242335,Jonathan Taylor,RB,IND,14.06,16.16,15.11,19.51,83.09,0.65,2.1,16.65,0.07
2024,6,4241985,J.K. Dobbins,RB,LAC,10.46,12.68,11.57,15.52,66.09,0.34,2.21,14.53,0.09
2024,6,4241474,Brian Robinson Jr.,RB,WSH,10.34,12.35,11.35,13.39,54.61,0.5,2.01,15.84,0.07
2024,6,4379399,James Cook,RB,BUF,11.65,13.9,12.77,16.3,69.19,0.39,2.25,18.29,0.11
2024,6,4426348,Jayden Daniels,RB,WSH,21.63,21.63,21.63,,,,,,
2024,6,4429795,Jahmyr Gibbs,RB,DET,12.7,15.97,14.33,13.14,59.9,0.58,3.27,24.06,0.16
2024,6,4430807,Bijan Robinson,RB,ATL,13.59,17.32,15.46,16.43,67.86,0.47,3.73,29.85,0.2
2024,6,4429013,Tank Bigsby,RB,JAX,6.57,7.17,6.87,10.31,41.83,0.33,0.6,4.3,0.01
2024,6,4035538,David Montgomery,RB,DET,11.52,13.03,12.27,14.4,60.51,0.68,1.5,11.51,0.06
2024,6,4241457,Najee Harris,RB,PIT,11.15,13.23,12.19,18.71,68.22,0.42,2.08,13.68,0.1
2024,6,4372019,Jerome Ford,RB,CLE,8.43,10.89,9.66,12.93,50.09,0.26,2.47,15.79,0.06
2024,6,3917315,Kyler Murray,RB,ARI,18.42,18.42,18.42,,,,,,
2024,6,4596448,Bucky Irving,RB,TB,8.03,9.72,8.88,10.9,45.02,0.33,1.69,12.6,0.07
2024,6,3916148,Tony Pollard,RB,TEN,11.61,14.14,12.87,15.52,66.93,0.44,2.53,19.23,0.08
2024,6,4259545,D'Andre Swift,RB,CHI,11.95,14.46,13.21,16.03,65.15,0.52,2.51,19.19,0.09
2024,6,4239996,Travis Etienne Jr.,RB,JAX,9.34,12.41,10.87,10.47,46.94,0.31,3.07,23.74,0.1
2024,6,4362238,Chase Brown,RB,CIN,9.12,11.31,10.21,10.64,49.67,0.34,2.19,16.29,0.09
2024,6,4038815,Rico Dowdle,RB,DAL,9.64,11.64,10.64,13.84,56.14,0.34,1.99,15.18,0.09
2024,6,4040761,Devin Singletary,RB,NYG,8.13,9.82,8.98,10.25,47.95,0.34,1.69,11.35,0.05
2024,6,4035676,Zack Moss,RB,CIN,9.16,11.7,10.43,11.05,45.36,0.37,2.54,18.66,0.1
2024,6,4360294,Antonio Gibson,RB,NE,5.9,7.59,6.74,8.92,33.35,0.19,1.69,12.35,0.05
2024,6,4567048,Kenneth Walker III,RB,SEA,11.82,14.51,13.17,13.26,61.31,0.54,2.69,20.2,0.09
2024,6,4427366,Breece Hall,RB,NYJ,12.05,15.93,13.99,13.75,61.63,0.37,3.88,29.9,0.15
