season,season_type,player_id,player_name,position,recent_team,carries,receptions,carries_or_receptions_per_game,targets,rushing_yards,rushing_tds
2024,REG,00-0033906,A.Kamara,RB,NO,91,23,22.8,28,388.0,5
2024,REG,00-0033897,J.Mixon,RB,HOU,39,6,22.5,8,184.0,1
2024,REG,00-0037525,J.Mason,RB,SF,105,7,22.4,8,536.0,3
2024,REG,00-0033923,K.Hunt,RB,KC,41,3,22.0,4,171.0,1
2024,REG,00-0037840,K.Williams,RB,LA,95,14,21.8,15,360.0,6
2024,REG,00-0034844,S.Barkley,RB,PHI,73,12,21.2,15,435.0,4
2024,REG,00-0037197,I.Pacheco,RB,KC,34,7,20.5,8,135.0,1
2024,REG,00-0032764,D.Henry,RB,BAL,95,6,20.2,8,572.0,6
2024,REG,00-0035700,J.Jacobs,RB,GB,90,8,19.6,11,402.0,1
2024,REG,00-0036223,J.Taylor,RB,IND,72,6,19.5,10,349.0,4
2024,REG,00-0036893,N.Harris,RB,PIT,82,12,18.8,17,270.0,0
2024,REG,00-0035261,T.Pollard,RB,TEN,61,13,18.5,16,246.0,2
2024,REG,00-0033553,J.Conner,RB,ARI,83,8,18.2,10,379.0,3
2024,REG,00-0035685,D.Montgomery,RB,DET,63,9,18.0,9,271.0,4
2024,REG,00-0036875,R.Stevenson,RB,NE,77,13,18.0,17,356.0,3
2024,REG,00-0036275,D.Swift,RB,CHI,74,15,17.8,19,234.0,2
2024,REG,00-0033293,A.Jones,RB,MIN,71,17,17.6,20,350.0,1
2024,REG,00-0038120,B.Hall,RB,NYJ,65,21,17.2,28,197.0,2
2024,REG,00-0036555,C.Hubbard,RB,CAR,68,17,17.0,18,393.0,2
2024,REG,00-0038542,B.Robinson,RB,ATL,67,18,17.0,19,285.0,1
2024,REG,00-0038134,K.Walker,RB,SEA,37,13,16.7,16,202.0,4
2024,REG,00-0035250,D.Singletary,RB,NYG,56,10,16.5,11,221.0,2
2024,REG,00-0036158,J.Dobbins,RB,LAC,56,10,16.5,11,342.0,2
2024,REG,00-0039139,J.Gibbs,RB,DET,54,11,16.2,13,285.0,3
2024,REG,00-0037248,J.Cook,RB,BUF,70,11,16.2,13,309.0,4
2024,REG,00-0037746,B.Robinson,RB,WAS,73,8,16.2,11,325.0,5
2024,REG,00-0039040,D.Achane,RB,MIA,56,21,15.4,23,183.0,1
2024,REG,00-0031687,R.Mostert,RB,MIA,25,4,14.5,5,89.0,0
2024,REG,00-0036251,Z.Moss,RB,CIN,57,15,14.4,19,211.0,2
2024,REG,00-0036997,J.Williams,RB,DEN,53,17,14.0,20,190.0,0
2024,REG,00-0036973,T.Etienne,RB,JAX,53,16,13.8,22,231.0,2
2024,REG,00-0037256,R.White,RB,TB,51,17,13.6,19,187.0,0
2024,REG,00-0037267,J.Ford,RB,CLE,48,20,13.6,23,250.0,1
2024,REG,00-0038040,Z.White,RB,LV,49,5,13.5,7,152.0,0
2024,REG,00-0036139,R.Dowdle,RB,DAL,54,11,13.0,14,221.0,0
2024,REG,00-0039165,Z.Charbonnet,RB,SEA,44,18,12.4,22,167.0,3
2023,POST,00-0033280,C.McCaffrey,RB,SF,59,19,26.0,25,268.0,4
2023,POST,00-0037197,I.Pacheco,RB,KC,81,12,23.2,12,313.0,3
2023,POST,00-0035261,T.Pollard,RB,DAL,15,7,22.0,9,56.0,1
2023,POST,00-0037248,J.Cook,RB,BUF,36,8,22.0,9,140.0,0
2023,REG,00-0036414,C.Akers,RB,LA,22,0,22.0,0,29.0,1
2023,REG,00-0037840,K.Williams,RB,LA,228,32,21.7,48,1144.0,12
2023,POST,00-0033293,A.Jones,RB,GB,39,4,21.5,7,226.0,3
2023,REG,00-0033280,C.McCaffrey,RB,SF,272,67,21.2,83,1459.0,14
2023,REG,00-0035700,J.Jacobs,RB,LV,233,37,20.8,54,805.0,6
2023,REG,00-0034844,S.Barkley,RB,NYG,247,41,20.6,60,962.0,6
2023,REG,00-0037256,R.White,RB,TB,272,64,19.8,70,990.0,6
2023,REG,00-0033906,A.Kamara,RB,NO,180,75,19.6,86,694.0,5
2023,REG,00-0036973,T.Etienne,RB,JAX,267,58,19.1,73,1008.0,11
2023,REG,00-0036223,J.Taylor,RB,IND,169,19,18.8,23,741.0,7
2023,REG,00-0033897,J.Mixon,RB,CIN,257,52,18.2,64,1034.0,9
2023,REG,00-0032764,D.Henry,RB,TEN,280,28,18.1,36,1167.0,12
2023,REG,00-0033553,J.Conner,RB,ARI,208,27,18.1,33,1040.0,7
2023,REG,00-0035261,T.Pollard,RB,DAL,252,55,18.1,67,1005.0,6
2023,REG,00-0036493,D.Jackson,RB,IND,13,5,18.0,6,14.0,0
2023,REG,00-0037197,I.Pacheco,RB,KC,205,44,17.8,49,935.0,7
2023,REG,00-0038120,B.Hall,RB,NYJ,223,76,17.6,95,994.0,5
2023,REG,00-0035685,D.Montgomery,RB,DET,219,16,16.8,24,1015.0,13
2023,REG,00-0036275,D.Swift,RB,PHI,229,39,16.8,49,1049.0,5
2023,REG,00-0036893,N.Harris,RB,PIT,255,29,16.7,38,1035.0,8
2023,REG,00-0038134,K.Walker,RB,SEA,219,29,16.5,37,905.0,8
2023,REG,00-0037248,J.Cook,RB,BUF,237,44,16.5,54,1122.0,2
2023,REG,00-0036997,J.Williams,RB,DEN,217,47,16.5,58,774.0,3
2023,REG,00-0033699,A.Ekeler,RB,LAC,179,51,16.4,74,628.0,5
2023,REG,00-0036555,C.Hubbard,RB,CAR,238,39,16.3,44,902.0,5
2023,REG,00-0036875,R.Stevenson,RB,NE,156,38,16.2,51,619.0,4
2023,POST,00-0037256,R.White,RB,TB,27,5,16.0,8,127.0,0
2023,REG,00-0034791,N.Chubb,RB,CLE,28,4,16.0,4,170.0,0
2023,REG,00-0038542,B.Robinson,RB,ATL,214,58,16.0,86,976.0,4
2023,REG,00-0033293,A.Jones,RB,GB,142,30,15.6,43,656.0,2
2023,REG,00-0031687,R.Mostert,RB,MIA,209,25,15.6,32,1012.0,18
2023,REG,00-0039139,J.Gibbs,RB,DET,182,52,15.6,71,945.0,10
2023,POST,00-0035250,D.Singletary,RB,HOU,22,8,15.0,9,88.0,1
2023,POST,00-0035685,D.Montgomery,RB,DET,39,6,15.0,7,183.0,2
2023,REG,00-0036251,Z.Moss,RB,IND,183,27,15.0,37,794.0,5
2023,REG,00-0037267,J.Ford,RB,CLE,204,44,14.6,63,813.0,4
2023,REG,00-0035250,D.Singletary,RB,HOU,216,30,14.5,38,898.0,4
2023,REG,00-0037746,B.Robinson,RB,WAS,178,36,14.3,43,733.0,5
2023,POST,00-0036275,D.Swift,RB,PHI,10,4,14.0,4,34.0,0
2023,POST,00-0036893,N.Harris,RB,PIT,12,2,14.0,3,37.0,0
2023,POST,00-0037840,K.Williams,RB,LA,13,1,14.0,1,61.0,0
2023,REG,00-0035664,D.Henderson,RB,LA,46,10,14.0,14,112.0,2
2023,REG,00-0033045,E.Elliott,RB,NE,184,51,13.8,65,642.0,3
2023,POST,00-0039139,J.Gibbs,RB,DET,29,11,13.3,14,144.0,3
2023,REG,00-0033925,D.Foreman,RB,CHI,109,11,13.3,16,425.0,4
2023,REG,00-0036265,A.Dillon,RB,GB,178,22,13.3,28,613.0,2
2023,REG,00-0034972,A.Mattison,RB,MIN,180,30,13.1,44,700.0,0
