season,season_type,player_id,player_name,position,recent_team,carries,carries_per_game,targets,receptions,rushing_yards,rushing_tds
2024,REG,00-0033923,K.Hunt,RB,KC,41,20.5,4,3,171.0,1
2024,REG,00-0032764,D.Henry,RB,BAL,119,19.8,8,6,704.0,8
2024,REG,00-0037525,J.Mason,RB,SF,114,19.0,10,8,609.0,3
2024,REG,00-0037840,K.Williams,RB,LA,95,19.0,15,14,360.0,6
2024,REG,00-0034844,S.Barkley,RB,PHI,91,18.2,17,14,482.0,4
2024,REG,00-0035700,J.Jacobs,RB,GB,108,18.0,14,11,464.0,1
2024,REG,00-0036223,J.Taylor,RB,IND,72,18.0,10,6,349.0,4
2024,REG,00-0033897,J.Mixon,RB,HOU,52,17.3,11,8,286.0,2
2024,REG,00-0033906,A.Kamara,RB,NO,104,17.3,36,28,428.0,6
2024,REG,00-0037197,I.Pacheco,RB,KC,34,17.0,8,7,135.0,1
2024,REG,00-0036158,J.Dobbins,RB,LAC,81,16.2,13,12,438.0,3
2024,REG,00-0036893,N.Harris,RB,PIT,96,16.0,19,14,376.0,1
2024,REG,00-0035261,T.Pollard,RB,TEN,78,15.6,19,16,339.0,3
2024,REG,00-0036875,R.Stevenson,RB,NE,77,15.4,17,13,356.0,3
2024,REG,00-0036275,D.Swift,RB,CHI,91,15.2,23,19,325.0,3
2024,REG,00-0033553,J.Conner,RB,ARI,90,15.0,15,12,403.0,3
2024,REG,00-0035685,D.Montgomery,RB,DET,75,15.0,10,10,351.0,6
2024,REG,00-0037746,B.Robinson,RB,WAS,73,14.6,11,8,325.0,5
2024,REG,00-0036555,C.Hubbard,RB,CAR,86,14.3,24,22,485.0,2
2024,REG,00-0033293,A.Jones,RB,MIN,71,14.2,20,17,350.0,1
2024,REG,00-0035250,D.Singletary,RB,NYG,56,14.0,11,10,221.0,2
2024,REG,00-0037248,J.Cook,RB,BUF,70,14.0,13,11,309.0,4
2024,REG,00-0038120,B.Hall,RB,NYJ,83,13.8,34,26,310.0,2
2024,REG,00-0038542,B.Robinson,RB,ATL,82,13.7,23,21,380.0,3
2024,REG,00-0039139,J.Gibbs,RB,DET,66,13.2,18,14,348.0,3
2024,REG,00-0038134,K.Walker,RB,SEA,51,12.8,24,21,234.0,5
2024,REG,00-0031687,R.Mostert,RB,MIA,25,12.5,5,4,89.0,0
2024,REG,00-0038040,Z.White,RB,LV,49,12.2,7,5,152.0,0
2023,REG,00-0036414,C.Akers,RB,LA,22,22.0,0,0,29.0,1
2023,POST,00-0037197,I.Pacheco,RB,KC,81,20.2,12,12,313.0,3
2023,POST,00-0033280,C.McCaffrey,RB,SF,59,19.7,25,19,268.0,4
2023,POST,00-0033293,A.Jones,RB,GB,39,19.5,7,4,226.0,3
2023,REG,00-0037840,K.Williams,RB,LA,228,19.0,48,32,1144.0,12
2023,POST,00-0037248,J.Cook,RB,BUF,36,18.0,9,8,140.0,0
2023,REG,00-0035700,J.Jacobs,RB,LV,233,17.9,54,37,805.0,6
2023,REG,00-0034844,S.Barkley,RB,NYG,247,17.6,60,41,962.0,6
2023,REG,00-0033280,C.McCaffrey,RB,SF,272,17.0,83,67,1459.0,14
2023,REG,00-0036223,J.Taylor,RB,IND,169,16.9,23,19,741.0,7
2023,REG,00-0032764,D.Henry,RB,TEN,280,16.5,36,28,1167.0,12
