season,season_type,player_id,player_name,position,recent_team,carries,carries_per_game,receptions,receptions_per_game,targets,rushing_yards,rushing_tds
2024,REG,00-0033923,K.Hunt,RB,KC,41,20.5,3,1.5,4,171.0,1
2024,REG,00-0032764,D.Henry,RB,BAL,119,19.8,6,1.0,8,704.0,8
2024,REG,00-0037525,J.Mason,RB,SF,114,19.0,8,1.3,10,609.0,3
2024,REG,00-0037840,K.Williams,RB,LA,95,19.0,14,2.8,15,360.0,6
2024,REG,00-0034844,S.Barkley,RB,PHI,91,18.2,14,2.8,17,482.0,4
2024,REG,00-0035700,J.Jacobs,RB,GB,108,18.0,11,1.8,14,464.0,1
2024,REG,00-0036223,J.Taylor,RB,IND,72,18.0,6,1.5,10,349.0,4
2024,REG,00-0033897,J.Mixon,RB,HOU,52,17.3,8,2.7,11,286.0,2
2024,REG,00-0033906,A.Kamara,RB,NO,104,17.3,28,4.7,36,428.0,6
2024,REG,00-0037197,I.Pacheco,RB,KC,34,17.0,7,3.5,8,135.0,1
2024,REG,00-0036158,J.Dobbins,RB,LAC,81,16.2,12,2.4,13,438.0,3
2024,REG,00-0036893,N.Harris,RB,PIT,96,16.0,14,2.3,19,376.0,1
2024,REG,00-0035261,T.Pollard,RB,TEN,78,15.6,16,3.2,19,339.0,3
2024,REG,00-0036875,R.Stevenson,RB,NE,77,15.4,13,2.6,17,356.0,3
2024,REG,00-0036275,D.Swift,RB,CHI,91,15.2,19,3.2,23,325.0,3
2024,REG,00-0033553,J.Conner,RB,ARI,90,15.0,12,2.0,15,403.0,3
2024,REG,00-0035685,D.Montgomery,RB,DET,75,15.0,10,2.0,10,351.0,6
2024,REG,00-0037746,B.Robinson,RB,WAS,73,14.6,8,1.6,11,325.0,5
2024,REG,00-0036555,C.Hubbard,RB,CAR,86,14.3,22,3.7,24,485.0,2
2024,REG,00-0033293,A.Jones,RB,MIN,71,14.2,17,3.4,20,350.0,1
2024,REG,00-0035250,D.Singletary,RB,NYG,56,14.0,10,2.5,11,221.0,2
2024,REG,00-0037248,J.Cook,RB,BUF,70,14.0,11,2.2,13,309.0,4
2024,REG,00-0038120,B.Hall,RB,NYJ,83,13.8,26,4.3,34,310.0,2
2024,REG,00-0038542,B.Robinson,RB,ATL,82,13.7,21,3.5,23,380.0,3
2024,REG,00-0039139,J.Gibbs,RB,DET,66,13.2,14,2.8,18,348.0,3
2024,REG,00-0038134,K.Walker,RB,SEA,51,12.8,21,5.2,24,234.0,5
2024,REG,00-0031687,R.Mostert,RB,MIA,25,12.5,4,2.0,5,89.0,0
2024,REG,00-0038040,Z.White,RB,LV,49,12.2,5,1.2,7,152.0,0
2024,REG,00-0039040,D.Achane,RB,MIA,56,11.2,21,4.2,23,183.0,1
2024,REG,00-0036251,Z.Moss,RB,CIN,63,10.5,16,2.7,20,224.0,2
2024,REG,00-0037256,R.White,RB,TB,51,10.2,17,3.4,19,187.0,0
2024,REG,00-0036139,R.Dowdle,RB,DAL,59,9.8,16,2.7,20,246.0,0
2024,REG,00-0036997,J.Williams,RB,DEN,59,9.8,20,3.3,26,213.0,0
2024,REG,00-0039361,B.Irving,RB,TB,58,9.7,10,1.7,12,328.0,2
2024,REG,00-0034184,G.Edwards,RB,LAC,38,9.5,1,0.2,1,113.0,0
2024,REG,00-0036973,T.Etienne,RB,JAX,56,9.3,16,2.7,23,230.0,2
2024,REG,00-0037263,T.Allgeier,RB,ATL,51,8.5,7,1.2,7,283.0,1
2024,REG,00-0038597,C.Brown,RB,CIN,51,8.5,12,2.0,15,283.0,3
2024,REG,00-0037276,T.Chandler,RB,MIN,42,8.4,6,1.2,6,147.0,0
2024,REG,00-0037267,J.Ford,RB,CLE,50,8.3,20,3.3,23,264.0,1
2024,REG,00-0038555,T.Bigsby,RB,JAX,41,8.2,1,0.2,1,297.0,2
2024,REG,00-0039165,Z.Charbonnet,RB,SEA,49,8.2,19,3.2,23,187.0,3
2024,REG,00-0036328,A.Gibson,RB,NE,48,8.0,11,1.8,13,226.0,0
2024,REG,00-0036414,C.Akers,RB,HOU,40,8.0,4,0.8,7,147.0,1
2024,REG,00-0039384,T.Tracy,RB,NYG,47,7.8,11,1.8,14,208.0,1
2024,REG,00-0033925,D.Foreman,RB,CLE,39,7.8,5,1.0,5,124.0,0
2024,REG,00-0034972,A.Mattison,RB,LV,46,7.7,14,2.3,18,158.0,3
2024,REG,00-0039875,R.Davis,RB,BUF,46,7.7,7,1.2,8,172.0,1
2024,REG,00-0039021,R.Johnson,RB,CHI,30,7.5,6,1.5,8,89.0,3
2024,REG,00-0036984,T.Sermon,RB,IND,37,7.4,7,1.4,7,91.0,2
2024,REG,00-0039874,J.Wright,RB,MIA,29,7.2,0,0.0,1,139.0,0
2024,REG,00-0038797,E.Wilson,RB,GB,42,7.0,6,1.0,9,210.0,0
2024,REG,00-0039032,T.Spears,RB,TEN,33,6.6,12,2.4,12,114.0,1
2024,REG,00-0039325,C.Steele,RB,KC,33,6.6,2,0.4,5,117.0,0
2024,REG,00-0039738,B.Corum,RB,LA,13,6.5,1,0.5,1,53.0,0
2024,REG,00-0033045,E.Elliott,RB,DAL,38,6.3,6,1.0,9,115.0,1
2024,REG,00-0035567,C.Reynolds,RB,DET,6,6.0,0,0.0,0,21.0,0
2024,REG,00-0038794,J.McLaughlin,RB,DEN,36,6.0,12,2.0,13,116.0,1
2024,REG,00-0039811,M.Lloyd,RB,GB,6,6.0,1,1.0,1,15.0,0
2024,REG,00-0039921,T.Benson,RB,ARI,30,6.0,2,0.4,2,107.0,0
2024,REG,00-0039794,B.Allen,RB,NYJ,35,5.8,8,1.3,13,151.0,1
2024,REG,00-0033699,A.Ekeler,RB,WAS,28,5.6,15,3.0,16,171.0,1
2024,REG,00-0037258,D.Pierce,RB,HOU,11,5.5,1,0.5,1,92.0,1
2024,REG,00-0038951,S.Tucker,RB,TB,16,5.3,4,1.3,4,143.0,1
2024,REG,00-0035243,M.Sanders,RB,CAR,30,5.0,11,1.8,15,98.0,1
2024,REG,00-0035973,P.Taylor,RB,SF,5,5.0,1,1.0,1,16.0,0
2024,REG,00-0037228,J.Warren,RB,PIT,20,5.0,8,2.0,8,61.0,0
2024,REG,00-0039757,T.Jennings,RB,NE,5,5.0,0,0.0,0,13.0,0
2024,REG,00-0033948,J.Williams,RB,NO,27,4.5,4,0.7,6,103.0,1
2024,REG,00-0033955,J.McNichols,RB,WAS,18,4.5,1,0.2,1,122.0,3
2024,REG,00-0039363,I.Guerendo,RB,SF,22,4.4,0,0.0,0,140.0,0
2024,REG,00-0037120,T.Goodson,RB,IND,13,4.3,8,2.7,9,77.0,0
2024,REG,00-0030578,C.Patterson,RB,PIT,16,4.0,5,1.2,7,92.0,0
2024,REG,00-0034208,M.Boone,RB,CAR,4,4.0,0,0.0,0,7.0,0
2024,REG,00-0039391,K.Vidal,RB,LAC,4,4.0,2,2.0,2,11.0,0
2024,REG,00-0037085,T.Badie,RB,DEN,11,3.7,3,1.0,3,86.0,0
2024,REG,00-0033854,D.Ogunbowale,RB,HOU,21,3.5,15,2.5,16,48.0,0
2024,REG,00-0036096,J.Taylor,RB,HOU,7,3.5,2,1.0,3,21.0,0
2024,REG,00-0038685,C.Brooks,RB,GB,7,3.5,0,0.0,0,24.0,0
