Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
San Francisco 49ers(SF),94.7,94.7,94.7,94.7,94.7,94.7,94.7
Pittsburgh Steelers(PIT),92.2,92.2,92.2,92.2,92.2,92.2,92.2
New York Jets(NYJ),87.3,87.3,87.3,87.3,87.3,87.3,87.3
Denver Broncos(DEN),76.5,76.5,76.5,76.5,76.5,76.5,76.5
Baltimore Ravens(BAL),74.0,74.0,74.0,74.0,74.0,74.0,74.0
Houston Texans(HOU),70.5,70.5,70.5,70.5,70.5,70.5,70.5
Philadelphia Eagles(PHI),63.5,63.5,63.5,63.5,63.5,63.5,63.5
Minnesota Vikings(MIN),62.5,62.5,62.5,62.5,62.5,62.5,62.5
Chicago Bears(CHI),60.9,60.9,60.9,60.9,60.9,60.9,60.9
Buffalo Bills(BUF),59.3,59.3,59.3,59.3,59.3,59.3,59.3
Cleveland Browns(CLE),57.0,57.0,57.0,57.0,57.0,57.0,57.0
Dallas Cowboys(DAL),50.6,50.6,50.6,50.6,50.6,50.6,50.6
Kansas City Chiefs(KC),42.4,42.4,42.4,42.4,42.4,42.4,42.4
Green Bay Packers(GB),41.0,41.0,41.0,41.0,41.0,41.0,41.0
Tampa Bay Buccaneers(TB),39.6,39.6,39.6,39.6,39.6,39.6,39.6
Los Angeles Chargers(LAC),38.9,38.9,38.9,38.9,38.9,38.9,38.9
Miami Dolphins(MIA),36.6,36.6,36.6,36.6,36.6,36.6,36.6
New Orleans Saints(NO),34.1,34.1,34.1,34.1,34.1,34.1,34.1
Seattle Seahawks(SEA),31.4,31.4,31.4,31.4,31.4,31.4,31.4
Cincinnati Bengals(CIN),23.0,23.0,23.0,23.0,23.0,23.0,23.0
Indianapolis Colts(IND),21.1,21.1,21.1,21.1,21.1,21.1,21.1
Detroit Lions(DET),18.8,18.8,18.8,18.8,18.8,18.8,18.8
Las Vegas Raiders(LV),13.9,13.9,13.9,13.9,13.9,13.9,13.9
Atlanta Falcons(ATL),13.5,13.5,13.5,13.5,13.5,13.5,13.5
Washington Commanders(WAS),11.7,11.7,11.7,11.7,11.7,11.7,11.7
Jacksonville Jaguars(JAC),8.2,8.2,8.2,8.2,8.2,8.2,8.2
New England Patriots(NE),6.7,6.7,6.7,6.7,6.7,6.7,6.7
Tennessee Titans(TEN),3.6,3.6,3.6,3.6,3.6,3.6,3.6
New York Giants(NYG),3.1,3.1,3.1,3.1,3.1,3.1,3.1
Los Angeles Rams(LAR),2.2,2.2,2.2,2.2,2.2,2.2,2.2
Arizona Cardinals(ARI),1.1,1.1,1.1,1.1,1.1,1.1,1.1
Carolina Panthers(CAR),0.9,0.9,0.9,0.9,0.9,0.9,0.9
