Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Lamar Jackson(BAL),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Josh Allen(BUF),99.7,99.7,99.7,99.7,99.7,99.7,99.7
Jalen Hurts(PHI),99.6,99.6,99.6,99.6,99.6,99.6,99.6
C.J. Stroud(HOU),98.0,98.0,98.0,98.0,98.0,98.0,98.0
Patrick Mahomes II(KC),97.7,97.7,97.7,97.7,97.7,97.7,97.7
Jayden Daniels(WAS),97.2,97.2,97.2,97.2,97.2,97.2,97.2
Joe Burrow(CIN),96.6,96.6,96.6,96.6,96.6,96.6,96.6
Kyler Murray(ARI),94.1,94.1,94.1,94.1,94.1,94.1,94.1
Dak Prescott(DAL),93.3,93.3,93.3,93.3,93.3,93.3,93.3
Brock Purdy(SF),90.6,90.6,90.6,90.6,90.6,90.6,90.6
Jordan Love(GB),90.4,90.4,90.4,90.4,90.4,90.4,90.4
Anthony Richardson(IND),83.5,83.5,83.5,83.5,83.5,83.5,83.5
Baker Mayfield(TB),79.2,79.2,79.2,79.2,79.2,79.2,79.2
Kirk Cousins(ATL),72.0,72.0,72.0,72.0,72.0,72.0,72.0
Jared Goff(DET),69.8,69.8,69.8,69.8,69.8,69.8,69.8
Justin Fields(PIT),63.4,63.4,63.4,63.4,63.4,63.4,63.4
Caleb Williams(CHI),62.6,62.6,62.6,62.6,62.6,62.6,62.6
Geno Smith(SEA),58.3,58.3,58.3,58.3,58.3,58.3,58.3
Sam Darnold(MIN),51.9,51.9,51.9,51.9,51.9,51.9,51.9
Aaron Rodgers(NYJ),47.7,47.7,47.7,47.7,47.7,47.7,47.7
Justin Herbert(LAC),44.8,44.8,44.8,44.8,44.8,44.8,44.8
Trevor Lawrence(JAC),42.8,42.8,42.8,42.8,42.8,42.8,42.8
Tua Tagovailoa(MIA),41.8,41.8,41.8,41.8,41.8,41.8,41.8
Derek Carr(NO),31.0,31.0,31.0,31.0,31.0,31.0,31.0
Matthew Stafford(LAR),29.7,29.7,29.7,29.7,29.7,29.7,29.7
Taysom Hill(NO),28.3,28.3,28.3,28.3,28.3,28.3,28.3
Deshaun Watson(CLE),19.4,19.4,19.4,19.4,19.4,19.4,19.4
Daniel Jones(NYG),19.3,19.3,19.3,19.3,19.3,19.3,19.3
Bo Nix(DEN),14.1,14.1,14.1,14.1,14.1,14.1,14.1
Andy Dalton(CAR),10.2,10.2,10.2,10.2,10.2,10.2,10.2
Drake Maye(NE),9.3,9.3,9.3,9.3,9.3,9.3,9.3
Will Levis(TEN),8.7,8.7,8.7,8.7,8.7,8.7,8.7
Joe Flacco(IND),7.9,7.9,7.9,7.9,7.9,7.9,7.9
Spencer Rattler(NO),4.9,4.9,4.9,4.9,4.9,4.9,4.9
Russell Wilson(PIT),4.2,4.2,4.2,4.2,4.2,4.2,4.2
Bryce Young(CAR),4.2,4.2,4.2,4.2,4.2,4.2,4.2
Gardner Minshew II(LV),3.8,3.8,3.8,3.8,3.8,3.8,3.8
Jacoby Brissett(NE),2.5,2.5,2.5,2.5,2.5,2.5,2.5
Aidan O'Connell(LV),2.2,2.2,2.2,2.2,2.2,2.2,2.2
Malik Willis(GB),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Michael Penix Jr.(ATL),2.1,2.1,2.1,2.1,2.1,2.1,2.1
Skylar Thompson(MIA),2.0,2.0,2.0,2.0,2.0,2.0,2.0
J.J. McCarthy(MIN),2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sam Howell(SEA),1.4,1.4,1.4,1.4,1.4,1.4,1.4
Tyler Huntley(MIA),1.4,1.4,1.4,1.4,1.4,1.4,1.4
Jameis Winston(CLE),1.2,1.2,1.2,1.2,1.2,1.2,1.2
