Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Jahmyr Gibbs(DET),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Saquon Barkley(PHI),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Bijan Robinson(ATL),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Derrick Henry(BAL),99.7,99.7,99.7,99.7,99.7,99.7,99.7
Jonathan Taylor(IND),99.7,99.7,99.7,99.7,99.7,99.7,99.7
Breece Hall(NYJ),99.7,99.7,99.7,99.7,99.7,99.7,99.7
Kyren Williams(LAR),99.5,99.5,99.5,99.5,99.5,99.5,99.5
Alvin Kamara(NO),99.3,99.3,99.3,99.3,99.3,99.3,99.3
Josh Jacobs(GB),98.8,98.8,98.8,98.8,98.8,98.8,98.8
Christian McCaffrey(SF),98.8,98.8,98.8,98.8,98.8,98.8,98.8
James Cook(BUF),98.4,98.4,98.4,98.4,98.4,98.4,98.4
De'Von Achane(MIA),98.3,98.3,98.3,98.3,98.3,98.3,98.3
Joe Mixon(HOU),97.4,97.4,97.4,97.4,97.4,97.4,97.4
Kenneth Walker III(SEA),96.9,96.9,96.9,96.9,96.9,96.9,96.9
Travis Etienne Jr.(JAC),96.2,96.2,96.2,96.2,96.2,96.2,96.2
Aaron Jones(MIN),95.9,95.9,95.9,95.9,95.9,95.9,95.9
David Montgomery(DET),95.4,95.4,95.4,95.4,95.4,95.4,95.4
James Conner(ARI),95.3,95.3,95.3,95.3,95.3,95.3,95.3
Jordan Mason(SF),93.7,93.7,93.7,93.7,93.7,93.7,93.7
D'Andre Swift(CHI),92.7,92.7,92.7,92.7,92.7,92.7,92.7
Tony Pollard(TEN),92.6,92.6,92.6,92.6,92.6,92.6,92.6
Isiah Pacheco(KC),91.4,91.4,91.4,91.4,91.4,91.4,91.4
Rachaad White(TB),91.1,91.1,91.1,91.1,91.1,91.1,91.1
Najee Harris(PIT),90.9,90.9,90.9,90.9,90.9,90.9,90.9
Brian Robinson Jr.(WAS),90.8,90.8,90.8,90.8,90.8,90.8,90.8
Rhamondre Stevenson(NE),90.7,90.7,90.7,90.7,90.7,90.7,90.7
