Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Travis Kelce(KC),99.0,99.0,99.0,99.0,99.0,99.0,99.0
George Kittle(SF),98.8,98.8,98.8,98.8,98.8,98.8,98.8
Trey McBride(ARI),97.9,97.9,97.9,97.9,97.9,97.9,97.9
Sam LaPorta(DET),97.7,97.7,97.7,97.7,97.7,97.7,97.7
Brock Bowers(LV),96.5,96.5,96.5,96.5,96.5,96.5,96.5
Dalton Kincaid(BUF),94.6,94.6,94.6,94.6,94.6,94.6,94.6
Kyle Pitts(ATL),93.6,93.6,93.6,93.6,93.6,93.6,93.6
Jake Ferguson(DAL),92.4,92.4,92.4,92.4,92.4,92.4,92.4
Dallas Goedert(PHI),91.3,91.3,91.3,91.3,91.3,91.3,91.3
Mark Andrews(BAL),80.7,80.7,80.7,80.7,80.7,80.7,80.7
Evan Engram(JAC),78.5,78.5,78.5,78.5,78.5,78.5,78.5
Pat Freiermuth(PIT),71.4,71.4,71.4,71.4,71.4,71.4,71.4
T.J. Hockenson(MIN),69.1,69.1,69.1,69.1,69.1,69.1,69.1
David Njoku(CLE),68.8,68.8,68.8,68.8,68.8,68.8,68.8
Cole Kmet(CHI),64.9,64.9,64.9,64.9,64.9,64.9,64.9
Isaiah Likely(BAL),64.5,64.5,64.5,64.5,64.5,64.5,64.5
Dalton Schultz(HOU),64.0,64.0,64.0,64.0,64.0,64.0,64.0
Tucker Kraft(GB),53.6,53.6,53.6,53.6,53.6,53.6,53.6
Zach Ertz(WAS),37.8,37.8,37.8,37.8,37.8,37.8,37.8
Tyler Conklin(NYJ),33.4,33.4,33.4,33.4,33.4,33.4,33.4
Hunter Henry(NE),30.5,30.5,30.5,30.5,30.5,30.5,30.5
Taysom Hill(NO),28.3,28.3,28.3,28.3,28.3,28.3,28.3
Cade Otton(TB),26.7,26.7,26.7,26.7,26.7,26.7,26.7
Colby Parkinson(LAR),25.9,25.9,25.9,25.9,25.9,25.9,25.9
Noah Fant(SEA),17.9,17.9,17.9,17.9,17.9,17.9,17.9
Mike Gesicki(CIN),17.5,17.5,17.5,17.5,17.5,17.5,17.5
Luke Musgrave(GB),15.0,15.0,15.0,15.0,15.0,15.0,15.0
Brenton Strange(JAC),12.3,12.3,12.3,12.3,12.3,12.3,12.3
Chig Okonkwo(TEN),8.0,8.0,8.0,8.0,8.0,8.0,8.0
Jonnu Smith(MIA),5.6,5.6,5.6,5.6,5.6,5.6,5.6
Juwan Johnson(NO),5.0,5.0,5.0,5.0,5.0,5.0,5.0
Ben Sinnott(WAS),3.9,3.9,3.9,3.9,3.9,3.9,3.9
Theo Johnson(NYG),3.4,3.4,3.4,3.4,3.4,3.4,3.4
Hayden Hurst(LAC),3.0,3.0,3.0,3.0,3.0,3.0,3.0
Erick All Jr.(CIN),2.9,2.9,2.9,2.9,2.9,2.9,2.9
Dawson Knox(BUF),2.4,2.4,2.4,2.4,2.4,2.4,2.4
Greg Dulcich(DEN),2.4,2.4,2.4,2.4,2.4,2.4,2.4
Ja'Tavion Sanders(CAR),2.2,2.2,2.2,2.2,2.2,2.2,2.2
Michael Mayer(LV),1.8,1.8,1.8,1.8,1.8,1.8,1.8
Johnny Mundt(MIN),1.5,1.5,1.5,1.5,1.5,1.5,1.5
Noah Gray(KC),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Daniel Bellinger(NYG),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Tyler Higbee(LAR),1.2,1.2,1.2,1.2,1.2,1.2,1.2
Jelani Woods(IND),1.1,1.1,1.1,1.1,1.1,1.1,1.1
Elijah Higgins(ARI),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerald Everett(CHI),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Foster Moreau(NO),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luke Schoonmaker(DAL),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jordan Akins(CLE),0.8,0.8,0.8,0.8,0.8,0.8,0.8
Brock Wright(DET),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Cade Stover(HOU),0.7,0.7,0.7,0.7,0.7,0.7,0.7
Austin Hooper(NE),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Eric Saubert(SF),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Will Dissly(LAC),0.3,0.3,0.3,0.3,0.3,0.3,0.3
Tommy Tremble(CAR),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Darnell Washington(PIT),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Kylen Granson(IND),0.2,0.2,0.2,0.2,0.2,0.2,0.2
Grant Calcaterra(PHI),0.2,0.2,0.2,0.2,0.2,0.2,0.2
