Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Justin Jefferson(MIN),99.8,99.8,99.8,99.8,99.8,99.8,99.8
CeeDee Lamb(DAL),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Ja'Marr Chase(CIN),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Amon-Ra St. Brown(DET),99.8,99.8,99.8,99.8,99.8,99.8,99.8
Tyreek Hill(MIA),99.6,99.6,99.6,99.6,99.6,99.6,99.6
A.J. Brown(PHI),99.6,99.6,99.6,99.6,99.6,99.6,99.6
Garrett Wilson(NYJ),99.4,99.4,99.4,99.4,99.4,99.4,99.4
Marvin Harrison Jr.(ARI),99.2,99.2,99.2,99.2,99.2,99.2,99.2
Stefon Diggs(HOU),98.7,98.7,98.7,98.7,98.7,98.7,98.7
Drake London(ATL),98.7,98.7,98.7,98.7,98.7,98.7,98.7
Mike Evans(TB),98.7,98.7,98.7,98.7,98.7,98.7,98.7
Nico Collins(HOU),98.6,98.6,98.6,98.6,98.6,98.6,98.6
Deebo Samuel Sr.(SF),98.5,98.5,98.5,98.5,98.5,98.5,98.5
Davante Adams(NYJ),98.4,98.4,98.4,98.4,98.4,98.4,98.4
DK Metcalf(SEA),98.3,98.3,98.3,98.3,98.3,98.3,98.3
Brandon Aiyuk(SF),98.1,98.1,98.1,98.1,98.1,98.1,98.1
Malik Nabers(NYG),97.8,97.8,97.8,97.8,97.8,97.8,97.8
Chris Olave(NO),97.4,97.4,97.4,97.4,97.4,97.4,97.4
DJ Moore(CHI),97.0,97.0,97.0,97.0,97.0,97.0,97.0
DeVonta Smith(PHI),96.8,96.8,96.8,96.8,96.8,96.8,96.8
Chris Godwin(TB),96.1,96.1,96.1,96.1,96.1,96.1,96.1
Cooper Kupp(LAR),96.0,96.0,96.0,96.0,96.0,96.0,96.0
Zay Flowers(BAL),95.8,95.8,95.8,95.8,95.8,95.8,95.8
Jayden Reed(GB),94.7,94.7,94.7,94.7,94.7,94.7,94.7
