ECR,Player,Kickoff,Opp,This Week,Last Week,Difference
-,Riley Sharp (BAL - TE),Mon 8:15PM,@TB,"$4,000","$4,000",0
269,John Metchie III (HOU - WR),Sun 1:00PM,@GB,"$4,400","$4,300",+100
-,Trey Knox (MIN - TE),Sun 1:00PM,DET,"$4,000",-,-
393,Kevin Harris (NE - RB),Sun 9:30AM,@JAC,"$4,000","$4,000",0
2,Jayden Daniels (WAS - QB),Sun 4:05PM,CAR,"$9,100","$8,700",+400
355,Ricky Pearsall (SF - WR),Sun 4:25PM,KC,"$4,800","$4,000",+800
358,Davis Allen (LAR - TE),Sun 4:05PM,LV,"$4,000",-,-
-,Joseph Ngata (PHI - WR),Sun 1:00PM,@NYG,"$4,000","$4,000",0
-,Anthony Gould (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,Tyrion Davis-Price (PHI - RB),Sun 1:00PM,@NYG,"$4,000","$4,000",0
340,Trey Palmer (TB - WR),Mon 8:15PM,BAL,"$4,100","$4,200",-100
-,Ramel Keyton (LV - WR),Sun 4:05PM,@LAR,"$4,000","$4,000",0
244,Eric Gray (NYG - RB),Sun 1:00PM,PHI,"$5,000","$4,700",+300
-,Kedon Slovis (HOU - QB),Sun 1:00PM,@GB,"$6,000","$6,000",0
379,D.J. Williams (TB - RB),Mon 8:15PM,BAL,"$4,000","$4,000",0
25,Bo Nix (DEN - QB),Thu 8:15PM,@NO,"$6,800","$6,700",+100
-,Austin Jones (WAS - RB),Sun 4:05PM,CAR,"$4,000","$4,000",0
283,Elijah Higgins (ARI - TE),Mon 9:00PM,LAC,"$4,500","$4,900",-400
-,Puka Nacua (LAR - WR),Sun 4:05PM,LV,"$4,000",-,-
39,Breece Hall (NYJ - RB),Sun 8:20PM,@PIT,"$7,600","$8,000",-400
-,Austin Stogner (ATL - TE),Sun 1:00PM,SEA,"$4,000","$4,000",0
-,Max Duggan (LAC - QB),Mon 9:00PM,@ARI,"$6,000","$6,000",0
-,Baylor Cupp (KC - TE),Sun 4:25PM,@SF,"$4,000",-,-
320,Jared Wiley (KC - TE),Sun 4:25PM,@SF,"$4,200",-,-
133,Jordan Whittington (LAR - WR),Sun 4:05PM,LV,"$5,300",-,-
-,Aidan Robbins (CLE - RB),Sun 1:00PM,CIN,"$4,000","$4,000",0
-,Zonovan Knight (DET - RB),Sun 1:00PM,@MIN,"$4,000","$4,000",0
-,Ahmarean Brown (BUF - WR),Sun 1:00PM,TEN,"$4,000","$4,000",0
-,Jawhar Jordan (HOU - RB),Sun 1:00PM,@GB,"$4,000","$4,000",0
28,Kenneth Walker III (SEA - RB),Sun 1:00PM,@ATL,"$7,500","$7,300",+200
140,Zach Charbonnet (SEA - RB),Sun 1:00PM,@ATL,"$5,300","$5,600",-300
207,Erick All Jr. (CIN - TE),Sun 1:00PM,@CLE,"$4,700","$4,500",+200
-,Tre Mosley (CIN - WR),Sun 1:00PM,@CLE,"$4,000","$4,000",0
181,Devaughn Vele (DEN - WR),Thu 8:15PM,@NO,"$4,700","$4,000",+700
98,Wan'Dale Robinson (NYG - WR),Sun 1:00PM,PHI,"$6,600","$6,300",+300
184,Luke McCaffrey (WAS - WR),Sun 4:05PM,CAR,"$4,300","$4,500",-200
65,Garrett Wilson (NYJ - WR),Sun 8:20PM,@PIT,"$7,400","$7,800",-400
-,Noah Cain (CIN - RB),Sun 1:00PM,@CLE,"$4,000","$4,000",0
271,Brenton Strange (JAC - TE),Sun 9:30AM,NE,"$5,100","$5,300",-200
134,Tre Tucker (LV - WR),Sun 4:05PM,@LAR,"$5,500","$5,400",+100
-,Re'Mahn Davis (BUF - RB),Sun 1:00PM,TEN,"$5,400","$5,700",-300
-,Easton Stick (LAC - QB),Mon 9:00PM,@ARI,"$6,000","$6,000",0
-,Kairee Robinson (SEA - RB),Sun 1:00PM,@ATL,"$4,000","$4,000",0
-,Davion Davis (WAS - WR),Sun 4:05PM,CAR,"$4,000","$4,000",0
378,Stone Smartt (LAC - TE),Mon 9:00PM,@ARI,"$4,000","$4,000",0
316,Ashton Dulin (IND - WR),Sun 1:00PM,MIA,"$4,200","$4,300",-100
-,Matt Orzech (GB - TE),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Sincere McCormick (LV - RB),Sun 4:05PM,@LAR,"$4,000","$4,000",0
-,Leroy Watson IV (TEN - TE),Sun 1:00PM,@BUF,"$4,000","$4,000",0
-,Lew Nichols III (PHI - RB),Sun 1:00PM,@NYG,"$4,000","$4,000",0
402,Deonte Harty (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,Donald Parham Jr. (DEN - TE),Thu 8:15PM,@NO,"$4,000","$4,000",0
-,Malik Taylor (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Jeff Foreman (LV - WR),Sun 4:05PM,@LAR,"$4,000","$4,000",0
-,Tom Kennedy (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
-,Jesper Horsted (CAR - TE),Sun 4:05PM,@WAS,"$4,000","$4,000",0
367,Craig Reynolds (DET - RB),Sun 1:00PM,@MIN,"$4,200","$4,300",-100
20,Kyren Williams (LAR - RB),Sun 4:05PM,LV,"$8,600",-,-
399,Jody Fortson Jr. (KC - TE),Sun 4:25PM,@SF,"$4,000",-,-
