gameID,year,week,gameDate,gameDateTime,homeAway,nickname,abbr,oppNickname,draftkings_moneyline,draftkings_spread,draftkings_ou,draftkings_score,draftkings_oppScore,fanduel_moneyline,fanduel_spread,fanduel_ou,fanduel_score,fanduel_oppScore,betrivers_moneyline,betrivers_spread,betrivers_ou,betrivers_score,betrivers_oppScore,mgm_moneyline,mgm_spread,mgm_ou,mgm_score,mgm_oppScore
2656699,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Saints,NO,Falcons,124,2.5,41.0,19.3,21.8,126,3.0,40.5,18.8,21.8,125,3.0,41.0,19.0,22.0,130,3.0,41.0,19.0,22.0
2656699,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Falcons,ATL,Saints,-148,-2.5,41.0,21.8,19.3,-148,-3.0,40.5,21.8,18.8,-150,-3.0,41.0,22.0,19.0,-155,-3.0,41.0,22.0,19.0
2656706,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Bengals,CIN,Panthers,-218,-4.5,47.0,25.8,21.3,-240,-5.5,47.5,26.5,21.0,-210,-4.5,47.5,26.0,21.5,-225,-4.5,47.5,26.0,21.5
2656706,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Panthers,CAR,Bengals,180,4.5,47.0,21.3,25.8,198,5.5,47.5,21.0,26.5,170,4.5,47.5,21.5,26.0,180,4.5,47.5,21.5,26.0
2656709,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Rams,LAR,Bears,124,3.0,40.5,18.8,21.8,138,3.0,40.5,18.8,21.8,132,3.0,40.5,18.8,21.8,130,3.0,40.5,18.8,21.8
2656709,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Bears,CHI,Rams,-148,-3.0,40.5,21.8,18.8,-164,-3.0,40.5,21.8,18.8,-159,-3.0,40.5,21.8,18.8,-155,-3.0,40.5,21.8,18.8
2656713,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Vikings,MIN,Packers,124,3.0,44.0,20.5,23.5,128,3.0,44.5,20.8,23.8,118,3.0,44.0,20.5,23.5,130,3.0,44.5,20.8,23.8
2656713,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Packers,GB,Vikings,-148,-3.0,44.0,23.5,20.5,-152,-3.0,44.5,23.8,20.8,-143,-3.0,44.0,23.5,20.5,-155,-3.0,44.5,23.8,20.8
2656718,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Jaguars,JAX,Texans,195,6.0,44.5,19.3,25.3,198,5.5,44.5,19.5,25.0,215,6.0,44.5,19.3,25.3,220,6.0,44.5,19.3,25.3
2656718,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Texans,HOU,Jaguars,-238,-6.0,44.5,25.3,19.3,-240,-5.5,44.5,25.0,19.5,-275,-6.0,44.5,25.3,19.3,-275,-6.0,44.5,25.3,19.3
2656721,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Steelers,PIT,Colts,-130,-2.0,40.0,21.0,19.0,-132,-2.5,40.5,21.5,19.0,-136,-2.0,40.0,21.0,19.0,-130,-2.0,40.0,21.0,19.0
2656721,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Colts,IND,Steelers,110,2.0,40.0,19.0,21.0,112,2.5,40.5,19.0,21.5,112,2.0,40.0,19.0,21.0,110,2.0,40.0,19.0,21.0
2656725,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Broncos,DEN,Jets,320,8.0,39.0,15.5,23.5,330,7.5,39.5,16.0,23.5,320,8.0,39.5,15.8,23.8,320,8.0,39.5,15.8,23.8
2656725,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Jets,NYJ,Broncos,-410,-8.0,39.0,23.5,15.5,-420,-7.5,39.5,23.5,16.0,-420,-8.0,39.5,23.8,15.8,-400,-8.0,39.5,23.8,15.8
2656727,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,away,Eagles,PHI,Buccaneers,-120,-1.0,42.0,21.5,20.5,-120,-1.0,41.5,21.3,20.3,-114,-1.0,42.0,21.5,20.5,-120,-1.5,42.5,22.0,20.5
2656727,2024,4,2024-09-29 13:00:00,Sep 29 1:00pm,home,Buccaneers,TB,Eagles,100,1.0,42.0,20.5,21.5,102,1.0,41.5,20.3,21.3,-106,1.0,42.0,20.5,21.5,100,1.5,42.5,20.5,22.0
2656730,2024,4,2024-09-29 16:05:00,Sep 29 4:05pm,away,Commanders,WAS,Cardinals,145,3.5,49.0,22.8,26.3,156,3.5,49.5,23.0,26.5,150,3.5,49.0,22.8,26.3,150,3.5,49.0,22.8,26.3
2656730,2024,4,2024-09-29 16:05:00,Sep 29 4:05pm,home,Cardinals,ARI,Commanders,-175,-3.5,49.0,26.3,22.8,-186,-3.5,49.5,26.5,23.0,-182,-3.5,49.0,26.3,22.8,-185,-3.5,49.0,26.3,22.8
2656734,2024,4,2024-09-29 16:05:00,Sep 29 4:05pm,away,Patriots,NE,49ers,400,10.5,40.5,15.0,25.5,440,10.5,40.5,15.0,25.5,430,10.5,40.5,15.0,25.5,400,10.0,40.5,15.3,25.3
2656734,2024,4,2024-09-29 16:05:00,Sep 29 4:05pm,home,49ers,SF,Patriots,-535,-10.5,40.5,25.5,15.0,-590,-10.5,40.5,25.5,15.0,-590,-10.5,40.5,25.5,15.0,-550,-10.0,40.5,25.3,15.3
2656739,2024,4,2024-09-29 16:25:00,Sep 29 4:25pm,away,Chiefs,KC,Chargers,-325,-7.0,41.5,24.3,17.3,-340,-7.0,41.5,24.3,17.3,-315,-6.5,42.0,24.3,17.8,-350,-7.0,41.5,24.3,17.3
2656739,2024,4,2024-09-29 16:25:00,Sep 29 4:25pm,home,Chargers,LAC,Chiefs,260,7.0,41.5,17.3,24.3,275,7.0,41.5,17.3,24.3,250,6.5,42.0,17.8,24.3,275,7.0,41.5,17.3,24.3
2656742,2024,4,2024-09-29 16:25:00,Sep 29 4:25pm,away,Browns,CLE,Raiders,-130,-2.5,36.5,19.5,17.0,-136,-1.5,36.5,19.0,17.5,-130,-2.5,36.5,19.5,17.0,-135,-2.5,36.0,19.3,16.8
2656742,2024,4,2024-09-29 16:25:00,Sep 29 4:25pm,home,Raiders,LV,Browns,110,2.5,36.5,17.0,19.5,116,1.5,36.5,17.5,19.0,108,2.5,36.5,17.0,19.5,115,2.5,36.0,16.8,19.3
2656744,2024,4,2024-09-29 20:20:00,Sep 29 8:20pm,away,Bills,BUF,Ravens,120,2.5,46.5,22.0,24.5,116,2.5,46.5,22.0,24.5,116,2.5,46.5,22.0,24.5,120,2.5,46.5,22.0,24.5
2656744,2024,4,2024-09-29 20:20:00,Sep 29 8:20pm,home,Ravens,BAL,Bills,-142,-2.5,46.5,24.5,22.0,-136,-2.5,46.5,24.5,22.0,-139,-2.5,46.5,24.5,22.0,-145,-2.5,46.5,24.5,22.0
2656748,2024,4,2024-09-30 19:30:00,Sep 30 7:30pm,away,Titans,TEN,Dolphins,114,2.5,37.0,17.3,19.8,110,2.5,37.5,17.5,20.0,108,2.5,37.0,17.3,19.8,110,2.5,37.0,17.3,19.8
2656748,2024,4,2024-09-30 19:30:00,Sep 30 7:30pm,home,Dolphins,MIA,Titans,-135,-2.5,37.0,19.8,17.3,-130,-2.5,37.5,20.0,17.5,-130,-2.5,37.0,19.8,17.3,-135,-2.5,37.0,19.8,17.3
2656753,2024,4,2024-09-30 20:15:00,Sep 30 8:15pm,away,Seahawks,SEA,Lions,154,3.5,46.0,21.3,24.8,152,3.5,46.5,21.5,25.0,155,3.5,46.0,21.3,24.8,155,3.5,46.5,21.5,25.0
2656753,2024,4,2024-09-30 20:15:00,Sep 30 8:15pm,home,Lions,DET,Seahawks,-185,-3.5,46.0,24.8,21.3,-180,-3.5,46.5,25.0,21.5,-190,-3.5,46.0,24.8,21.3,-190,-3.5,46.5,25.0,21.5
