season,week,team_abbr,opponent_abbr,home,role,result,score,spread,over_under
2017,1,NE,KC,False,Favorite,L,27-42,-8.0,O 47.5
2017,1,KC,NE,True,Underdog,,,-8.0,O 47.5
2017,1,BUF,NYJ,False,Favorite,W,21-12,-7.0,U 42
2017,1,NYJ,BUF,True,Underdog,,,-7.0,U 42
2017,1,ATL,CHI,True,Favorite,W,23-17,-6.5,U 48
2017,1,CHI,ATL,False,Underdog,,,-6.5,U 48
2017,1,CIN,BAL,False,Favorite,L,0-20,-2.5,U 41.5
2017,1,BAL,CIN,True,Underdog,,,-2.5,U 41.5
2017,1,PIT,CLE,True,Favorite,W,21-18,-10.0,U 47
2017,1,CLE,PIT,False,Underdog,,,-10.0,U 47
2017,1,ARI,DET,True,Favorite,L,23-35,-2.5,O 48.5
2017,1,DET,ARI,False,Underdog,,,-2.5,O 48.5
2017,1,HOU,JAX,False,Favorite,L,7-29,-5.5,U 38
2017,1,JAX,HOU,True,Underdog,,,-5.5,U 38
2017,1,TEN,LV,False,Favorite,L,16-26,-2.5,U 49.5
2017,1,LV,TEN,True,Underdog,,,-2.5,U 49.5
2017,1,PHI,WAS,True,Favorite,W,30-17,-2.0,U 49.5
2017,1,WAS,PHI,False,Underdog,,,-2.0,U 49.5
2017,1,LA,IND,False,Favorite,W,46-9,-3.5,O 41.5
2017,1,IND,LA,True,Underdog,,,-3.5,O 41.5
2017,1,GB,SEA,False,Favorite,W,17-9,-2.5,U 49.5
2017,1,SEA,GB,True,Underdog,,,-2.5,U 49.5
2017,1,CAR,SF,True,Favorite,W,23-3,-4.5,U 45.5
2017,1,SF,CAR,False,Underdog,,,-4.5,U 45.5
2017,1,DAL,NYG,False,Favorite,W,19-3,-6.0,U 46.5
2017,1,NYG,DAL,True,Underdog,,,-6.0,U 46.5
2017,1,MIN,NO,False,Favorite,W,29-19,-3.0,O 47.5
2017,1,NO,MIN,True,Underdog,,,-3.0,O 47.5
2017,1,DEN,LAC,False,Favorite,W,24-21,0.0,O 41.5
2017,1,LAC,DEN,True,Underdog,,,0.0,O 41.5
2017,2,CIN,HOU,False,Favorite,L,9-13,-5.0,U 38
2017,2,HOU,CIN,True,Underdog,,,-5.0,U 38
2017,2,BAL,CLE,False,Favorite,W,24-10,-7.5,U 39.5
2017,2,CLE,BAL,True,Underdog,,,-7.5,U 39.5
2017,2,CAR,BUF,False,Favorite,W,9-3,-6.5,U 43
2017,2,BUF,CAR,True,Underdog,,,-6.5,U 43
2017,2,ARI,IND,True,Favorite,W,16-13,-7.0,U 44
2017,2,IND,ARI,False,Underdog,,,-7.0,U 44
2017,2,TEN,JAX,True,Favorite,W,37-16,-1.0,O 42
2017,2,JAX,TEN,False,Underdog,,,-1.0,O 42
2017,2,KC,PHI,False,Favorite,W,27-20,-4.0,O 46.5
2017,2,PHI,KC,True,Underdog,,,-4.0,O 46.5
2017,2,NE,NO,True,Favorite,W,36-20,-5.5,O 55
2017,2,NO,NE,False,Underdog,,,-5.5,O 55
2017,2,PIT,MIN,False,Favorite,W,26-9,-8.5,U 43
2017,2,MIN,PIT,True,Underdog,,,-8.5,U 43
2017,2,TB,CHI,False,Favorite,W,29-7,-7.0,U 44
2017,2,CHI,TB,True,Underdog,,,-7.0,U 44
2017,2,LAC,MIA,False,Favorite,L,17-19,-3.5,U 46
2017,2,MIA,LAC,True,Underdog,,,-3.5,U 46
2017,2,LV,NYJ,False,Favorite,W,45-20,-14.0,O 44
2017,2,NYJ,LV,True,Underdog,,,-14.0,O 44
2017,2,DAL,DEN,True,Favorite,L,17-42,-2.5,O 44
2017,2,DEN,DAL,False,Underdog,,,-2.5,O 44
2017,2,LA,WAS,False,Favorite,L,20-27,-3.0,O 46.5
2017,2,WAS,LA,True,Underdog,,,-3.0,O 46.5
2017,2,SEA,SF,False,Favorite,W,12-9,-13.5,U 42
2017,2,SF,SEA,True,Underdog,,,-13.5,U 42
2017,2,ATL,GB,False,Favorite,W,34-23,-3.0,O 55
2017,2,GB,ATL,True,Underdog,,,-3.0,O 55
2017,2,NYG,DET,False,Favorite,L,10-24,-3.0,U 42
2017,2,DET,NYG,True,Underdog,,,-3.0,U 42
2017,3,LA,SF,True,Favorite,W,41-39,-3.0,O 40.5
2017,3,SF,LA,False,Underdog,,,-3.0,O 40.5
2017,3,DEN,BUF,True,Favorite,L,16-26,-3.5,O 40
2017,3,BUF,DEN,False,Underdog,,,-3.5,O 40
2017,3,CAR,NO,False,Favorite,L,13-34,-5.0,O 46.5
2017,3,NO,CAR,True,Underdog,,,-5.0,O 46.5
2017,3,PIT,CHI,True,Favorite,L,17-23,-7.0,U 43.5
2017,3,CHI,PIT,False,Underdog,,,-7.0,U 43.5
2017,3,ATL,DET,True,Favorite,W,30-26,-3.0,O 51
