season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,targets,targets_per_game,target_share,receptions,receptions_per_game,receiving_yards,receiving_yards_per_game,yds_per_reception,total_targets_last_3_games,avg_7tgs_last3_games,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_7tgs_per_game_bool,season_avg_10yds_per_reception_bool,avg_7tgs_last3_games_bool
2024,11,00-0036900,j,jamarr,chase,CIN,10,"$9,600","$9,100",+500,87,8.7,0.247,66,6.6,981,98.1,14.86,39,13.0,9,14,64.3%,69,7.7,3,40.0%,True,True,True
2024,11,00-0036322,j,justin,jefferson,MIN,9,"$9,000","$9,500",-500,78,8.7,0.32,53,5.9,831,92.3,15.68,27,9.0,6,11,54.5%,38,6.3,3,50.0%,True,True,True
2024,11,00-0035659,t,terry,mclaurin,WAS,10,"$7,900","$7,800",+100,66,6.6,0.237,47,4.7,711,71.1,15.13,17,5.7,7,8,87.5%,61,8.7,5,38.1%,False,True,True
2024,11,00-0037740,g,garrett,wilson,NYJ,10,"$8,100","$7,900",+200,99,9.9,0.282,65,6.5,704,70.4,10.83,24,8.0,9,17,52.9%,47,5.2,3,53.1%,True,True,True
2024,11,00-0039064,z,zay,flowers,BAL,10,"$7,600","$7,700",-100,73,7.3,0.253,50,5.0,688,68.8,13.76,24,8.0,2,5,40.0%,15,7.5,2,41.7%,True,True,True
2024,11,00-0036309,d,darnell,mooney,ATL,10,"$7,000","$7,500",-500,77,7.7,0.237,46,4.6,684,68.4,14.87,24,8.0,2,5,40.0%,16,8.0,1,20.8%,True,True,True
2024,11,00-0036358,c,ceedee,lamb,DAL,9,"$8,500","$9,200",-700,94,10.4,0.282,59,6.6,681,75.7,11.54,39,13.0,7,12,58.3%,61,8.7,2,44.4%,True,True,True
2024,11,00-0037238,d,drake,london,ATL,10,"$7,800","$7,800",0,83,8.3,0.251,58,5.8,649,64.9,11.19,21,7.0,12,16,75.0%,99,8.3,6,66.7%,True,True,True
2024,11,00-0037247,g,george,pickens,PIT,9,"$7,500","$7,000",+500,65,7.2,0.279,40,4.4,639,71.0,15.98,21,7.0,4,12,33.3%,46,11.5,2,60.0%,True,True,True
2024,11,00-0039146,j,jayden,reed,GB,9,"$7,700",-,-,47,5.2,0.181,36,4.0,620,68.9,17.22,13,4.3,3,4,75.0%,22,7.3,2,17.4%,False,True,True
2024,11,00-0039893,b,nan,thomas,JAX,10,,,,56,5.6,0.191,37,3.7,607,60.7,16.41,11,3.7,,,,,,,,False,True,True
2024,11,00-0039337,m,nan,nabers,NYG,8,,,,94,11.8,0.374,61,7.6,607,75.9,9.95,34,11.3,,,,,,,,True,False,True
2024,11,00-0033921,c,nan,godwin,TB,7,,,,62,8.9,0.282,50,7.1,576,82.3,11.52,28,9.3,,,,,,,,True,True,True
2024,11,00-0034348,c,courtland,sutton,DEN,9,"$6,800","$6,600",+200,77,8.6,0.265,42,4.7,569,63.2,13.55,30,10.0,6,13,46.2%,56,9.3,2,46.4%,True,True,True
2024,11,00-0035640,d,dk,metcalf,SEA,7,"$8,000",-,-,61,8.7,0.222,35,5.0,568,81.1,16.23,25,8.3,2,6,33.3%,11,5.5,0,25.0%,True,True,True
2024,11,00-0038543,j,jaxon,smith-njigba,SEA,9,"$7,300",-,-,75,8.3,0.221,50,5.6,568,63.1,11.36,26,8.7,4,10,40.0%,37,9.3,2,41.7%,True,True,True
2024,11,00-0036554,n,nico,collins,HOU,5,"$8,700","$8,800",-100,45,9.0,0.245,32,6.4,567,113.4,17.72,27,9.0,1,7,14.3%,3,3.0,1,25.9%,True,True,True
2024,11,00-0035676,a,a.j.,brown,PHI,6,"$8,600","$8,900",-300,41,6.8,0.319,28,4.7,553,92.2,19.75,17,5.7,1,2,50.0%,3,3.0,0,15.4%,False,True,True
2024,11,00-0037261,k,khalil,shakir,BUF,9,"$6,500","$6,200",+300,54,6.0,0.207,48,5.3,529,58.8,11.02,26,8.7,6,6,100.0%,46,7.7,1,26.1%,False,True,True
2024,11,00-0036963,a,amon-ra,st. brown,DET,9,"$9,200","$9,000",+200,67,7.4,0.277,54,6.0,524,58.2,9.7,17,5.7,11,12,91.7%,70,6.4,6,60.0%,True,False,True
2024,11,00-0037664,a,alec,pierce,IND,10,"$5,400","$5,300",+100,40,4.0,0.141,23,2.3,516,51.6,22.43,14,4.7,2,3,66.7%,14,7.0,2,12.5%,False,True,True
2024,11,00-0036550,r,rashod,bateman,BAL,10,"$5,400","$5,400",0,47,4.7,0.173,31,3.1,501,50.1,16.16,17,5.7,4,5,80.0%,37,9.3,3,41.7%,False,True,True
2024,11,00-0039849,m,nan,harrison,ARI,10,,,,60,6.0,0.229,33,3.3,499,49.9,15.12,17,5.7,,,,,,,,False,True,True
2024,11,00-0036259,j,jauan,jennings,SF,7,"$6,200","$5,800",+400,47,6.7,0.221,32,4.6,497,71.0,15.53,20,6.7,3,9,33.3%,25,8.3,2,30.0%,False,True,True
2024,11,00-0031588,s,stefon,diggs,HOU,8,"$4,000","$4,000",0,64,8.0,0.244,47,5.9,496,62.0,10.55,23,7.7,5,5,100.0%,34,6.8,3,18.5%,True,True,True
2024,11,00-0039915,l,ladd,mcconkey,LAC,9,"$6,300","$6,300",0,54,6.0,0.233,37,4.1,492,54.7,13.3,15,5.0,5,6,83.3%,41,8.2,3,37.5%,False,True,True
2024,11,00-0036912,d,devonta,smith,PHI,8,"$8,400","$8,500",-100,50,6.2,0.248,37,4.6,487,60.9,13.16,16,5.3,3,5,60.0%,16,5.3,1,38.5%,False,True,True
2024,11,00-0034837,c,calvin,ridley,TEN,9,"$6,400","$5,800",+600,68,7.6,0.261,32,3.6,483,53.7,15.09,32,10.7,2,3,66.7%,21,10.5,1,20.0%,True,True,True
2024,11,00-0038997,j,josh,downs,IND,8,"$6,900","$7,100",-200,66,8.2,0.27,45,5.6,483,60.4,10.73,28,9.3,5,10,50.0%,27,5.4,1,41.7%,True,True,True
2024,11,00-0035535,d,nan,slayton,NYG,9,,,,50,5.6,0.169,32,3.6,469,52.1,14.66,13,4.3,,,,,,,,False,True,True
2024,11,00-0035719,d,nan,samuel,SF,7,,,,45,6.4,0.217,29,4.1,468,66.9,16.14,18,6.0,,,,,,,,False,True,True
