Year,Week,Player,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,FPTS,ROST,REC_rz,TGT_rz,REC PCT_rz,Y/R_rz,TGT PCT_rz
2017,1,Stefon Diggs (HOU),1,7,93,76,0,17,6,0,8,7,0,2,5,2,1,0,0,20.7,37.5%,3.0,3.0,100.0%,7.3,60.0%
2017,1,Brandin Cooks (DAL),1,3,88,71,0,17,4,0,7,4,1,0,3,1,1,1,1,8.8,25.4%,,,,,
2017,1,Nelson Agholor (BAL),1,6,86,51,0,35,18,0,8,6,0,1,3,1,1,1,1,14.6,0.4%,1.0,1.0,100.0%,5.0,100.0%
2017,1,Randall Cobb (FA),1,9,85,19,0,66,9,0,13,9,0,0,4,1,0,0,0,8.5,0.0%,,,,,
2017,1,Michael Crabtree (FA),1,6,83,50,0,33,31,2,7,7,1,0,4,1,0,0,0,8.3,0.0%,,,,,
2017,1,Pierre Garcon (FA),1,6,81,38,0,43,38,1,10,6,0,0,5,2,0,0,0,8.1,0.0%,,,,,
2017,1,Chris Hogan (FA),1,1,8,2,0,6,1,0,5,1,0,0,0,0,0,0,0,2.5,0.0%,,,,,
2017,1,Mike Wallace (FA),1,1,8,6,0,2,0,0,1,1,0,0,0,0,0,0,0,0.8,0.0%,,,,,
2017,1,Trent Taylor (SF),1,1,8,6,0,2,1,0,1,1,0,0,0,0,0,0,0,0.8,0.0%,,,,,
2017,1,Tyler Lockett (SEA),1,1,8,8,0,0,0,0,3,1,0,1,0,0,0,0,0,0.8,46.2%,1.0,2.0,50.0%,8.0,50.0%
2017,1,Jordy Nelson (FA),1,7,79,73,0,6,1,0,8,7,0,0,3,1,1,0,0,13.9,0.1%,,,,,
2017,1,Cooper Kupp (LAR),1,4,76,63,0,13,7,0,6,5,1,1,3,2,0,0,0,13.6,96.0%,1.0,1.0,100.0%,18.0,100.0%
2017,1,A.J. Green (FA),1,5,74,54,0,20,13,1,10,5,0,0,4,1,0,0,0,7.4,0.6%,1.0,2.0,50.0%,6.0,50.0%
2017,1,Larry Fitzgerald (FA),1,6,74,30,0,44,8,0,13,7,1,1,2,1,1,0,0,7.4,0.2%,1.0,3.0,33.3%,5.0,60.0%
2017,1,Rishard Matthews (FA),1,5,71,57,0,14,9,0,9,5,0,0,3,1,0,0,0,7.1,0.0%,0.0,1.0,0.0%,0.0,20.0%
2017,1,Aldrick Robinson (FA),1,1,7,4,0,3,2,0,2,1,0,0,0,0,0,0,0,0.7,0.0%,,,,,
2017,1,Laquon Treadwell (IND),1,1,7,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0.7,0.0%,,,,,
