Year,Week,FantasyPros_ID,Player,Player,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank_rz,REC_rz,TGT_rz,REC PCT_rz,YDS_rz,Y/R_rz,TD_rz,TGT PCT_rz,ATT_rz,YDS_rz,TD_rz,PCT_rz,FL_rz,G_rz,FPTS_rz,FPTS/G_rz,ROST %_rz
2017,1,13981,Stefon Diggs,Stefon Diggs (NE),1,7,93,76,0,17,6,0,8,7,0,2,5,2,1,0,0,1,3,3,100.0%,22,7.3,2,60.0%,0,0,0,0%,0,1,14.2,14.2,85.4%
2017,1,16488,Kenny Golladay,Kenny Golladay (FA),1,4,69,64,0,5,0,0,7,5,1,1,2,1,1,1,0,6,1,1,100.0%,10,10.0,1,33.3%,0,0,0,0%,0,1,7.0,7.0,4.0%
2017,1,13081,Bennie Fowler III,Bennie Fowler III (FA),1,3,21,21,0,0,0,0,4,3,0,2,1,0,0,0,0,2,2,2,100.0%,11,5.5,2,66.7%,0,0,0,0%,0,1,13.1,13.1,0.0%
2017,2,9460,Michael Crabtree,Michael Crabtree (FA),1,6,80,50,0,30,0,0,6,6,0,0,3,3,0,0,0,2,2,2,100.0%,3,1.5,2,66.7%,0,0,0,0%,0,1,12.3,12.3,0.0%
2017,2,9707,Emmanuel Sanders,Emmanuel Sanders (FA),1,6,62,39,0,23,19,0,8,6,0,3,2,1,0,0,0,1,3,3,100.0%,21,7.0,2,75.0%,0,0,0,0%,0,1,14.1,14.1,0.0%
2017,2,12119,Mike Evans,Mike Evans (TB),1,7,93,74,0,19,6,0,9,8,1,1,6,0,0,0,0,7,1,2,50.0%,13,13.0,1,50.0%,0,0,0,0%,0,1,7.3,7.3,97.3%
2017,2,11199,Alshon Jeffery,Alshon Jeffery (FA),1,7,92,75,0,17,4,0,13,7,0,2,7,0,0,0,0,5,1,2,50.0%,16,16.0,1,50.0%,0,0,0,0%,0,1,7.6,7.6,0.0%
2017,3,13981,Stefon Diggs,Stefon Diggs (NE),1,8,173,116,0,57,30,0,11,10,2,1,5,2,2,2,1,5,2,2,100.0%,23,11.5,1,50.0%,0,0,0,0%,0,1,8.3,8.3,85.4%
2017,3,12118,Sammy Watkins,Sammy Watkins (FA),1,6,106,80,0,26,3,0,7,6,0,1,4,2,1,1,0,3,2,2,100.0%,14,7.0,2,50.0%,0,0,0,0.0%,0,1,13.4,13.4,0.0%
2017,3,9383,Larry Fitzgerald,Larry Fitzgerald (FA),1,13,149,104,0,45,16,0,15,13,0,1,5,3,1,0,0,4,3,4,75.0%,23,7.7,1,50.0%,0,0,0,0%,0,1,8.3,8.3,0.8%
2017,3,12127,Odell Beckham Jr.,Odell Beckham Jr. (FA),1,9,79,72,0,7,5,0,13,10,1,2,4,0,0,0,0,1,3,3,100.0%,22,7.3,2,42.9%,0,0,0,0%,0,1,14.2,14.2,1.1%
2017,4,9320,Jordy Nelson,Jordy Nelson (FA),1,4,75,55,0,20,0,0,7,6,1,2,1,1,1,1,1,3,2,2,100.0%,12,6.0,2,33.3%,0,0,0,0%,0,1,13.2,13.2,0.1%
