player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,4.026,4,5,0.15913516267626085,0.0,1.0
A.J. Brown,2020,9,5.656,4,8,0.6779852505770314,0.0,1.0
A.J. Brown,2021,7,4.122,3,5,0.4371681598652857,0.0,1.0
A.J. Brown,2022,13,8.848,6,11,0.9893917323285051,0.0,1.0
A.J. Brown,2023,13,8.757,6,11,0.9153966353444828,0.0,1.0
A.J. Brown,2024,8,5.03,3,7,0.8432674546073742,0.0,0.978
A.J. Green,2017,11,5.117,3,7,0.7663621859147278,0.0,0.792
A.J. Green,2018,5,3.873,2,5,0.7395072683888915,0.185,1.0
A.J. Green,2020,8,2.331,1,4,0.6598780190307902,0.0,0.012
A.J. Green,2021,7,1.016,0,2,0.1405133445620024,0.0,0.0
A.J. Green,2022,3,1.0,1,1,0.0,0.0,1.0
Adam Humphries,2017,5,1.947,1,2,0.22403347964087866,0.0,0.947
Adam Humphries,2018,11,3.937,2,5,0.33620083283656516,0.0,0.026
Adam Humphries,2019,3,0.0,0,0,0.0,0.0,0.0
Adam Humphries,2020,1,0.992,0,1,0.08908422980528034,0.992,1.0
Adam Humphries,2021,3,0.015,0,1,0.12155245781143219,0.0,0.015
Adam Thielen,2017,12,4.597,4,7,0.6607503310631028,0.0,0.094
Adam Thielen,2018,11,7.702,6,10,0.9493134361210737,0.0,1.0
Adam Thielen,2019,3,1.828,1,2,0.3773804446443933,0.0,1.0
Adam Thielen,2020,8,6.665,5,7,0.49877349568717055,0.0,1.0
Adam Thielen,2021,5,2.992,2,4,0.15471263684650974,0.0,1.0
Adam Thielen,2022,10,2.678,0,4,0.5516484387723761,0.0,0.0
Adam Thielen,2023,13,2.194,1,4,0.42937629184667386,0.0,0.0
Adam Thielen,2024,6,2.697,2,4,0.674678441926226,0.0,0.575
Adonai Mitchell,2024,2,0.006,0,1,0.07722693830523131,0.0,0.006
Albert Wilson,2017,5,1.749,1,3,0.449442988598109,0.0,0.742
Albert Wilson,2018,3,1.0,1,1,0.0,0.0,1.0
Albert Wilson,2019,6,0.076,0,1,0.2649981132008302,0.0,0.0
Albert Wilson,2021,2,0.982,0,1,0.132951118836962,0.0,0.982
Aldrick Robinson,2017,2,1.0,1,1,0.0,0.0,1.0
Aldrick Robinson,2018,1,0.0,0,0,0.0,0.0,1.0
Alec Pierce,2022,6,1.796,1,3,0.44089000895915065,0.0,0.016
Alec Pierce,2023,6,1.0,1,1,0.0,0.0,0.0
Alec Pierce,2024,4,2.005,1,3,0.10476163419878483,0.0,0.997
Alex Erickson,2018,2,0.0,0,0,0.0,0.0,0.0
Alex Erickson,2019,8,1.56,1,2,0.4963869458396342,0.0,0.0
Alex Erickson,2020,1,0.678,0,1,0.4672429774753174,0.678,1.0
Alex Erickson,2023,3,0.936,0,1,0.2447529366524537,0.0,0.936
Allen Hurns,2017,4,0.529,0,2,0.50314908327453,0.0,0.002
Allen Hurns,2018,3,0.013,0,1,0.11327400407860577,0.0,0.013
Allen Hurns,2019,3,0.958,0,2,0.21962695645116062,0.0,0.954
Allen Lazard,2019,3,0.998,0,1,0.044676615807377355,0.0,0.998
Allen Lazard,2020,2,0.011,0,1,0.10430244484191155,0.0,0.011
Allen Lazard,2021,6,4.159,3,5,0.4262851158555738,0.0,1.0
Allen Lazard,2022,8,2.246,1,4,0.49948373346886876,0.0,0.013
Allen Lazard,2023,4,0.0,0,0,0.0,0.0,0.0
Allen Lazard,2024,4,1.124,1,2,0.3295815528818323,0.0,0.124
Allen Robinson,2018,8,1.856,1,3,0.3965652531425314,0.0,0.0
Allen Robinson,2019,13,5.993,5,7,0.38852413052473334,0.0,0.921
Allen Robinson,2020,11,4.897,3,8,0.6696200415160825,0.0,0.738
Allen Robinson,2021,4,0.002,0,1,0.044676615807377355,0.0,0.0
Allen Robinson,2022,7,1.194,0,2,0.5462270590148386,0.0,0.0
Allen Robinson,2023,1,0.0,0,0,0.0,0.0,1.0
Alshon Jeffery,2017,10,4.65,3,7,0.9162423260251624,0.0,0.558
Alshon Jeffery,2018,9,3.205,2,5,0.693523611710517,0.0,0.346
Alshon Jeffery,2019,5,1.983,1,2,0.12927103310486848,0.0,0.983
Amari Cooper,2017,7,2.056,2,4,0.23423065555131764,0.0,0.055
Amari Cooper,2018,10,3.934,3,5,0.27503454328502086,0.0,0.007
Amari Cooper,2019,10,4.628,3,7,0.65697488536473,0.0,0.553
Amari Cooper,2020,9,4.367,3,6,0.725472949185564,0.0,0.887
Amari Cooper,2021,8,2.836,1,4,0.4208372607077468,0.0,0.019
Amari Cooper,2022,9,3.53,2,6,0.6396092557178953,0.0,0.461
Amari Cooper,2023,12,3.74,3,6,0.7045565981523414,0.0,0.009
Amari Cooper,2024,4,0.164,0,1,0.3702755730533679,0.0,0.0
Amari Rodgers,2022,1,0.999,0,1,0.03160696125855822,0.999,1.0
Andrei Iosivas,2023,2,1.0,1,1,0.0,0.0,1.0
Andrei Iosivas,2024,1,0.0,0,0,0.0,0.0,1.0
Andy Isabella,2020,2,0.0,0,0,0.0,0.0,0.0
Andy Jones,2018,2,0.0,0,0,0.0,0.0,0.0
Anthony Miller,2018,4,1.961,1,3,0.1986932308862081,0.0,0.96
Anthony Miller,2019,6,2.038,2,3,0.19119623427254,0.0,0.038
Anthony Miller,2020,7,0.003,0,1,0.054690035655501276,0.0,0.0
Antoine Wesley,2021,1,0.0,0,0,0.0,0.0,1.0
Antonio Brown,2017,10,7.383,6,9,0.5641905706408075,0.0,1.0
Antonio Brown,2018,12,9.725,7,12,0.7038288144144144,0.001,1.0
Antonio Brown,2020,3,1.069,0,2,0.2612259558313454,0.0,0.998
Antonio Brown,2021,4,2.4,2,3,0.4898979485566357,0.0,1.0
Antonio Callaway,2018,9,2.727,1,4,0.6844494137626242,0.0,0.134
Antonio Callaway,2019,1,0.0,0,0,0.0,0.0,1.0
Auden Tate,2019,7,0.254,0,2,0.4555041163370535,0.0,0.0
Auden Tate,2020,1,0.002,0,1,0.044676615807377355,0.002,1.0
Ben Skowronek,2021,1,0.0,0,0,0.0,0.0,1.0
Ben Skowronek,2022,4,1.307,0,2,0.5317433591498817,0.0,0.342
Bennie Fowler,2017,4,0.0,0,0,0.0,0.0,0.0
Bennie Fowler,2019,1,0.0,0,0,0.0,0.0,1.0
Bo Melton,2023,1,0.019,0,1,0.13652472303579302,0.019,1.0
Brandin Cooks,2017,11,5.06,3,7,0.6406246951218787,0.0,0.841
Brandin Cooks,2018,11,5.736,4,7,0.5985849981414503,0.0,0.98
Brandin Cooks,2019,5,0.293,0,2,0.45951169734839187,0.0,0.002
Brandin Cooks,2020,10,3.977,3,5,0.24590851957587806,0.0,0.019
Brandin Cooks,2021,9,3.278,1,5,0.5938989813091111,0.0,0.321
Brandin Cooks,2022,10,1.763,1,3,0.5803714327911049,0.0,0.0
Brandin Cooks,2023,7,4.099,2,5,0.5943054770065643,0.0,0.994
Brandin Cooks,2024,4,0.006,0,1,0.0772269383052313,0.0,0.0
Brandon Aiyuk,2020,7,5.778,4,6,0.4633745784999431,0.0,1.0
Brandon Aiyuk,2021,7,3.219,1,5,0.610769187173027,0.0,0.93
Brandon Aiyuk,2022,9,3.039,2,5,0.251950391942541,0.0,0.05
Brandon Aiyuk,2023,11,5.635,3,8,0.9908455984662796,0.0,0.874
Brandon Aiyuk,2024,3,0.992,0,1,0.08908422980528034,0.0,0.992
Brandon Coleman,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Johnson,2023,4,1.291,1,2,0.4542235132619182,0.0,0.291
Brandon LaFell,2017,10,1.526,1,3,0.6027636352667602,0.0,0.0
Brandon Marshall,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Powell,2018,1,0.988,0,1,0.1088852607105296,0.988,1.0
Brandon Powell,2022,1,0.0,0,0,0.0,0.0,1.0
