player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,4.002,4,5,0.044676615807377355,0.0,1.0
A.J. Brown,2020,9,4.872,4,7,0.6808935305905028,0.0,1.0
A.J. Brown,2021,7,3.719,3,5,0.5329530936208177,0.0,1.0
A.J. Brown,2022,13,7.507,4,11,1.0420897274227399,0.0,0.978
A.J. Brown,2023,13,7.906,5,11,0.9721954535997378,0.0,0.991
A.J. Brown,2024,8,4.378,3,7,0.7636203245068848,0.0,0.909
A.J. Green,2017,11,4.258,3,6,0.7289965706366526,0.0,0.328
A.J. Green,2018,5,3.133,1,5,0.7793016104179434,0.021,0.981
A.J. Green,2020,8,1.195,1,3,0.41106568818134165,0.0,0.0
A.J. Green,2021,7,0.911,0,2,0.29168304715906956,0.0,0.0
A.J. Green,2022,3,1.0,1,1,0.0,0.0,1.0
Adam Humphries,2017,5,1.329,0,2,0.5279763252268042,0.0,0.358
Adam Humphries,2018,11,2.769,1,4,0.7871715187937126,0.0,0.0
Adam Humphries,2019,3,0.0,0,0,0.0,0.0,0.0
Adam Humphries,2020,1,0.833,0,1,0.37297587053320225,0.833,1.0
Adam Humphries,2021,3,0.001,0,1,0.03160696125855822,0.0,0.001
Adam Thielen,2017,12,4.144,2,6,0.4114170633311166,0.0,0.006
Adam Thielen,2018,11,6.636,5,10,0.7317813881207965,0.0,1.0
Adam Thielen,2019,3,1.336,1,2,0.4723388614120164,0.0,1.0
Adam Thielen,2020,8,6.133,4,7,0.6044096293078064,0.0,1.0
Adam Thielen,2021,5,2.836,2,3,0.37027557305336795,0.0,1.0
Adam Thielen,2022,10,1.177,0,4,0.8134316197444011,0.0,0.0
Adam Thielen,2023,13,2.044,2,4,0.21462525480474104,0.0,0.0
Adam Thielen,2024,6,2.119,1,4,0.33887903446510237,0.0,0.12
Adonai Mitchell,2024,2,0.001,0,1,0.03160696125855822,0.0,0.001
Albert Wilson,2017,5,1.06,1,2,0.23748684174075838,0.0,0.06
Albert Wilson,2018,3,1.0,1,1,0.0,0.0,1.0
Albert Wilson,2019,6,0.003,0,1,0.054690035655501276,0.0,0.0
Albert Wilson,2021,2,0.784,0,1,0.41151427678757396,0.0,0.784
Aldrick Robinson,2017,2,0.998,0,1,0.044676615807377355,0.0,0.998
Aldrick Robinson,2018,1,0.0,0,0,0.0,0.0,1.0
Alec Pierce,2022,6,1.157,1,2,0.3638007696528417,0.0,0.0
Alec Pierce,2023,6,1.0,1,1,0.0,0.0,0.0
Alec Pierce,2024,4,1.957,1,3,0.20772818778394037,0.0,0.956
Alex Erickson,2018,2,0.0,0,0,0.0,0.0,0.0
Alex Erickson,2019,8,1.09,1,2,0.2861817604250837,0.0,0.0
Alex Erickson,2020,1,0.107,0,1,0.3091132478558627,0.107,1.0
Alex Erickson,2023,3,0.339,0,1,0.4733698342733723,0.0,0.339
Allen Hurns,2017,4,0.095,0,1,0.293214938227915,0.0,0.0
Allen Hurns,2018,3,0.001,0,1,0.03160696125855822,0.0,0.001
Allen Hurns,2019,3,0.34,0,1,0.4737087712930804,0.0,0.34
Allen Lazard,2019,3,0.965,0,1,0.1837797594948911,0.0,0.965
Allen Lazard,2020,2,0.0,0,0,0.0,0.0,0.0
Allen Lazard,2021,6,3.503,1,5,0.6511459129872506,0.0,0.93
Allen Lazard,2022,8,1.813,0,3,0.4939949392453327,0.0,0.0
Allen Lazard,2023,4,0.0,0,0,0.0,0.0,0.0
Allen Lazard,2024,4,1.014,1,2,0.11749042514179613,0.0,0.014
Allen Robinson,2018,8,1.357,1,3,0.4811974646649751,0.0,0.0
Allen Robinson,2019,13,5.563,3,7,0.6213139303122054,0.0,0.605
Allen Robinson,2020,11,4.281,2,7,0.605011570137299,0.0,0.308
Allen Robinson,2021,4,0.002,0,1,0.044676615807377355,0.0,0.0
Allen Robinson,2022,7,0.489,0,2,0.553063287517803,0.0,0.0
Allen Robinson,2023,1,0.0,0,0,0.0,0.0,1.0
Alshon Jeffery,2017,10,3.182,1,6,0.6876597996102433,0.0,0.036
Alshon Jeffery,2018,9,2.229,1,4,0.5554808727580095,0.0,0.018
Alshon Jeffery,2019,5,1.702,1,2,0.45737949232557423,0.0,0.702
Amari Cooper,2017,7,2.005,1,3,0.08351646544245034,0.0,0.006
Amari Cooper,2018,10,3.415,3,4,0.49272203116970525,0.0,0.0
Amari Cooper,2019,10,4.128,2,6,0.6539235429314348,0.0,0.246
Amari Cooper,2020,9,3.373,2,5,0.7347591442098561,0.0,0.414
Amari Cooper,2021,8,2.325,1,4,0.5304479239284475,0.0,0.001
Amari Cooper,2022,9,2.93,2,4,0.5050742519669756,0.0,0.095
Amari Cooper,2023,12,3.197,2,5,0.41736195322525504,0.0,0.0
Amari Cooper,2024,4,0.04,0,1,0.19595917942265428,0.0,0.0
Amari Rodgers,2022,1,0.995,0,1,0.07053367989832944,0.995,1.0
Andrei Iosivas,2023,2,1.0,1,1,0.0,0.0,1.0
Andrei Iosivas,2024,1,0.0,0,0,0.0,0.0,1.0
Andy Isabella,2020,2,0.0,0,0,0.0,0.0,0.0
Andy Jones,2018,2,0.0,0,0,0.0,0.0,0.0
Anthony Miller,2018,4,1.395,1,2,0.48885069295235745,0.0,0.395
Anthony Miller,2019,6,1.999,1,3,0.07070360669725413,0.0,0.002
Anthony Miller,2020,7,0.0,0,0,0.0,0.0,0.0
Antoine Wesley,2021,1,0.0,0,0,0.0,0.0,1.0
Antonio Brown,2017,10,7.154,6,9,0.4672087327950966,0.0,1.0
Antonio Brown,2018,12,8.876,7,11,0.8016383224372446,0.0,1.0
Antonio Brown,2020,3,0.993,0,2,0.16416759729008643,0.0,0.983
Antonio Brown,2021,4,2.028,1,3,0.22184679398179274,0.0,0.989
Antonio Callaway,2018,9,1.935,1,4,0.3643830402200409,0.0,0.001
Antonio Callaway,2019,1,0.0,0,0,0.0,0.0,1.0
Auden Tate,2019,7,0.016,0,1,0.125475097130865,0.0,0.0
Auden Tate,2020,1,0.0,0,0,0.0,0.0,1.0
