player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
A.J. Brown,2019,6,5.974,5,6,0.15913516267626085,0.974,1.0
A.J. Brown,2020,9,5.853,4,9,0.7958586557925973,0.001,1.0
A.J. Brown,2021,7,5.139,3,7,0.5811015401803715,0.02,1.0
A.J. Brown,2022,13,9.316,7,13,1.1073138669771998,0.001,1.0
A.J. Brown,2023,13,8.852,6,12,0.9757540673755861,0.0,1.0
A.J. Brown,2024,8,6.008,3,8,0.8555325826641554,0.021,0.998
A.J. Green,2017,11,5.501,3,9,1.0677073569101228,0.0,0.823
A.J. Green,2018,5,4.534,2,5,0.6283661353064787,0.603,1.0
A.J. Green,2020,8,4.742,3,6,0.5843252518931558,0.0,0.986
A.J. Green,2021,7,4.666,2,6,0.6437732520072575,0.0,0.998
A.J. Green,2022,3,1.974,1,3,0.5131510498868729,0.119,1.0
Adam Humphries,2017,5,3.871,1,5,0.7499059941085949,0.19,0.997
Adam Humphries,2018,11,8.673,5,11,1.0315381718579297,0.014,1.0
Adam Humphries,2019,3,1.529,0,3,0.7397019670110389,0.085,0.936
Adam Humphries,2020,1,0.982,0,1,0.132951118836962,0.982,1.0
Adam Humphries,2021,3,1.254,0,3,0.4684911952214257,0.009,0.994
Adam Thielen,2017,12,7.7,5,11,0.9154233993076646,0.0,0.997
Adam Thielen,2018,11,7.998,6,10,0.8074626926366321,0.0,1.0
Adam Thielen,2019,3,1.637,1,3,0.49318454963634045,0.006,1.0
Adam Thielen,2020,8,5.59,3,8,0.8519976525789258,0.012,0.996
Adam Thielen,2021,5,3.812,2,5,0.7420619920195347,0.171,1.0
Adam Thielen,2022,10,5.7,2,9,0.9633275663033837,0.0,0.9
Adam Thielen,2023,13,7.923,5,12,1.0691449854907424,0.0,0.997
Adam Thielen,2024,6,4.655,3,6,0.8449704136832249,0.166,1.0
Adonai Mitchell,2024,2,1.613,0,2,0.4952080370914834,0.617,0.996
Albert Wilson,2017,5,3.534,2,5,0.8583961789290537,0.128,1.0
Albert Wilson,2018,3,2.071,1,3,0.6228635484598534,0.232,1.0
Albert Wilson,2019,6,4.388,2,6,0.8896381286792963,0.101,0.988
Albert Wilson,2021,2,1.3,1,2,0.45825756949558394,0.3,1.0
Aldrick Robinson,2017,2,1.066,0,2,0.31881656167771466,0.086,0.98
Aldrick Robinson,2018,1,0.73,0,1,0.4439594576084623,0.73,1.0
Alec Pierce,2022,6,3.985,2,6,0.6861304540683207,0.004,0.99
Alec Pierce,2023,6,3.041,1,6,0.960894895396994,0.003,0.704
Alec Pierce,2024,4,2.074,1,4,0.3263801464550195,0.002,0.983
Alex Erickson,2018,2,1.357,0,2,0.5074948275598481,0.371,0.986
Alex Erickson,2019,8,5.316,3,8,0.761671845350739,0.001,0.986
Alex Erickson,2020,1,0.998,0,1,0.044676615807377355,0.998,1.0
Alex Erickson,2023,3,1.406,0,3,0.5432899778203165,0.026,0.999
Allen Hurns,2017,4,2.982,1,4,0.6969045845738139,0.232,0.998
Allen Hurns,2018,3,1.469,0,3,0.5320140975575741,0.016,0.999
Allen Hurns,2019,3,2.662,0,3,0.5057232444727057,0.677,0.999
Allen Lazard,2019,3,2.106,0,3,0.6251111901094077,0.25,0.996
Allen Lazard,2020,2,1.081,0,2,0.4758560706768382,0.157,0.924
Allen Lazard,2021,6,4.151,2,6,0.752461959171359,0.025,0.992
Allen Lazard,2022,8,5.49,1,8,1.0420652570736633,0.015,0.971
Allen Lazard,2023,4,1.332,0,4,0.7744520643655098,0.005,0.378
Allen Lazard,2024,4,2.385,1,4,0.6471282716741713,0.038,0.947
Allen Robinson,2018,8,5.066,3,7,0.9174115761205545,0.0,0.968
Allen Robinson,2019,13,9.432,6,12,0.9577974733731552,0.0,1.0
Allen Robinson,2020,11,9.177,7,11,0.8518632519366004,0.047,1.0
Allen Robinson,2021,4,2.102,0,4,0.667529774616833,0.012,0.839
Allen Robinson,2022,7,2.967,0,5,0.9622426928795043,0.0,0.698
Allen Robinson,2023,1,0.475,0,1,0.4993746088859544,0.475,1.0
Alshon Jeffery,2017,10,5.522,2,10,1.302119810155732,0.001,0.79
Alshon Jeffery,2018,9,5.421,3,9,1.0834015875934464,0.002,0.975
Alshon Jeffery,2019,5,3.365,1,5,0.6969756093293366,0.043,0.998
Amari Cooper,2017,7,3.307,2,6,0.8858617273592985,0.0,0.814
Amari Cooper,2018,10,6.191,4,10,0.6903035564155816,0.001,0.996
Amari Cooper,2019,10,7.215,5,9,0.6639088792899218,0.0,1.0
Amari Cooper,2020,9,7.269,5,8,0.6816443354125375,0.0,1.0
Amari Cooper,2021,8,4.49,2,7,0.7986864215698173,0.0,0.902
Amari Cooper,2022,9,6.263,3,9,0.9369263578318202,0.007,0.999
Amari Cooper,2023,12,7.284,5,9,0.628763866646295,0.0,0.999
Amari Cooper,2024,4,2.147,1,4,0.7357927697388715,0.024,0.816
Amari Rodgers,2022,1,0.963,0,1,0.18876175460087244,0.963,1.0
Andrei Iosivas,2023,2,1.444,0,2,0.6283820493935198,0.518,0.926
Andrei Iosivas,2024,1,0.735,0,1,0.4413332074521472,0.735,1.0
Andy Isabella,2020,2,0.745,0,2,0.5310131825105663,0.046,0.699
Andy Jones,2018,2,1.046,0,2,0.392280511878936,0.101,0.945
Anthony Miller,2018,4,3.084,1,4,0.7436020441069269,0.305,0.983
Anthony Miller,2019,6,5.736,4,6,0.48816390690013123,0.758,1.0
Anthony Miller,2020,7,3.894,1,7,0.9070633935949571,0.001,0.951
Antoine Wesley,2021,1,0.229,0,1,0.4201892430798294,0.229,1.0
Antonio Brown,2017,10,6.673,5,9,0.7376116864583965,0.0,1.0
Antonio Brown,2018,12,7.389,4,11,0.9745147510427945,0.0,0.979
Antonio Brown,2020,3,1.907,0,3,0.6784917096029988,0.187,0.999
Antonio Brown,2021,4,3.099,2,4,0.3085433518972658,0.102,1.0
Antonio Callaway,2018,9,6.004,3,8,0.9643567804500573,0.0,0.996
Antonio Callaway,2019,1,0.945,0,1,0.22798026230356,0.945,1.0
Auden Tate,2019,7,5.584,3,7,0.8642592203731472,0.137,1.0
Auden Tate,2020,1,0.99,0,1,0.09949874371066199,0.99,1.0
Ben Skowronek,2021,1,0.838,0,1,0.368450810828257,0.838,1.0
Ben Skowronek,2022,4,2.517,0,4,0.7054863570615665,0.045,0.923
Bennie Fowler,2017,4,2.469,0,4,0.7791270756429917,0.082,0.913
Bennie Fowler,2019,1,0.318,0,1,0.4656994739099455,0.318,1.0
Bo Melton,2023,1,0.97,0,1,0.17058722109231983,0.97,1.0
Brandin Cooks,2017,11,6.138,3,9,0.892723921489729,0.0,0.966
Brandin Cooks,2018,11,7.646,4,10,1.164767788016135,0.0,0.999
Brandin Cooks,2019,5,3.434,0,5,0.9703834293721221,0.125,0.971
Brandin Cooks,2020,10,8.843,6,10,0.8284630347818785,0.218,1.0
Brandin Cooks,2021,9,5.398,2,9,1.0562177805736845,0.001,0.97
Brandin Cooks,2022,10,5.767,2,9,1.1272581780586024,0.0,0.887
Brandin Cooks,2023,7,4.562,2,7,0.8210700335537767,0.002,0.996
Brandin Cooks,2024,4,1.22,0,4,0.6982836100038435,0.001,0.319
Brandon Aiyuk,2020,7,6.402,4,7,0.6280095540674522,0.475,1.0
Brandon Aiyuk,2021,7,5.616,3,7,0.8593858272045217,0.148,1.0
Brandon Aiyuk,2022,9,7.742,5,9,0.8633863561581222,0.183,1.0
Brandon Aiyuk,2023,11,8.587,6,11,0.9275942000681119,0.013,1.0
Brandon Aiyuk,2024,3,1.362,1,3,0.5029473133440521,0.011,1.0
Brandon Coleman,2017,1,0.22,0,1,0.41424630354415964,0.22,1.0
