season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name
2017,REG,1,Ryan Grant,WR,WAS,9.936666666666667,2.8945922425900754,4.410000000000001,7.154638617743289,4,6,66.66666666666666,61.0,0,11.232499999999998,10.072361000666746,1.1601389993332525,00-0031068,Ryan,Grant,R.Grant
2017,REG,1,Martavis Bryant,WR,PIT,8.299999999999999,4.12205401217424,12.688333333333333,33.32749638839032,2,6,33.33333333333333,14.0,0,0.15499999999999758,4.098277903712187,-3.9432779037121897,00-0031373,Martavis,Bryant,M.Bryant
2017,REG,1,Jamison Crowder,WR,WAS,7.655,3.1777934239558685,10.540000000000001,19.949706621961443,3,7,42.857142857142854,14.0,0,1.4499999999999982,1.631896865407067,-0.18189686540706873,00-0031941,Jamison,Crowder,J.Crowder
2017,REG,1,Nelson Agholor,WR,PHI,7.423749999999999,2.4626201011901485,10.463750000000001,20.274656074404188,6,8,75.0,86.0,1,5.611666666666667,3.262469526774334,2.349197139892333,00-0031549,Nelson,Agholor,N.Agholor
2017,REG,1,John Brown,WR,ARI,7.360000000000001,2.75152560431618,13.422222222222222,28.208481225481037,4,9,44.44444444444444,32.0,0,-0.3774999999999995,0.961993447435046,-1.3394934474350455,00-0031051,John,Brown,J.Brown
2017,REG,1,Terrance Williams,WR,DAL,7.288571428571428,3.182878106819142,5.245714285714285,11.876576751406946,6,7,85.71428571428571,68.0,0,7.830000000000002,8.685806056338834,-0.8558060563388317,00-0030542,Terrance,Williams,T.Williams
2017,REG,1,Terrelle Pryor,WR,WAS,7.1409090909090915,2.3358401732000145,15.639090909090912,46.515966795554725,6,11,54.54545454545454,66.0,0,4.776666666666666,4.041780759325874,0.7348859073407921,00-0028825,Terrelle,Pryor,T.Pryor
2017,REG,1,Tyreek Hill,WR,KC,7.078571428571429,5.210155794796404,11.551250000000001,35.72505508949627,7,8,87.5,133.0,1,7.945714285714286,10.144181742355029,-2.198467456640743,00-0033040,Tyreek,Hill,T.Hill
2017,REG,1,Robert Woods,WR,LAR,6.909999999999999,2.826737890631622,11.943999999999999,25.579303550777404,3,5,60.0,53.0,0,3.473333333333334,7.02407043901826,-3.550737105684926,00-0030431,Robert,Woods,R.Woods
2017,REG,1,Kelvin Benjamin,WR,CAR,6.717999999999999,1.0752775178931928,16.298000000000002,37.07967420485052,1,5,20.0,25.0,0,4.700000000000003,2.747970960008388,1.952029039991615,00-0031359,Kelvin,Benjamin,K.Benjamin
2017,REG,1,T.Y. Hilton,WR,IND,6.605714285714285,1.8808591166251993,14.495714285714286,46.46700554105417,3,7,42.857142857142854,57.0,0,3.6400000000000006,4.325789757719576,-0.6857897577195757,00-0029608,Eugene,Hilton,T.Hilton
2017,REG,1,J.J. Nelson,WR,ARI,6.583333333333333,1.7633474658923622,10.686666666666667,14.97291238557818,5,6,83.33333333333334,43.0,1,-0.8860000000000007,0.4110738685400975,-1.2970738685400982,00-0032112,Jamarcus,Nelson,J.Nelson
2017,REG,1,Keenan Allen,WR,LAC,6.5470000000000015,2.4004030382954933,6.367999999999999,31.13784167033397,5,10,50.0,35.0,1,1.162000000000002,2.0746716714292006,-0.9126716714291987,00-0030279,Keenan,Allen,K.Allen
2017,REG,1,Albert Wilson,WR,KC,6.540000000000001,4.775309973616251,3.253999999999999,6.2898673986159945,5,5,100.0,37.0,0,4.146000000000001,4.389586794807019,-0.24358679480701806,00-0030669,Albert,Wilson,A.Wilson
2017,REG,1,Ted Ginn,WR,NO,6.444,3.4080957689372866,9.198000000000002,17.76430144076635,4,5,80.0,53.0,0,3.504999999999999,3.9419514173320582,-0.4369514173320592,00-0025396,Ted,Ginn,T.Ginn
2017,REG,1,Cooper Kupp,WR,LAR,6.409999999999999,3.1936894026245106,12.47,32.04694393283935,4,6,66.66666666666666,76.0,1,4.15,4.006364553554022,0.1436354464459786,00-0033908,Cooper,Kupp,C.Kupp
2017,REG,1,Corey Coleman,WR,CLE,6.131666666666667,3.443320398749792,12.35,22.052915091812743,5,6,83.33333333333334,53.0,1,0.7080000000000005,3.978916945296794,-3.2709169452967934,00-0032966,Corey,Coleman,C.Coleman
2017,REG,1,Corey Davis,WR,TEN,6.079000000000001,3.767430876280674,10.148000000000001,27.585082091986525,6,10,60.0,69.0,0,4.026666666666666,4.433453198307499,-0.406786531640833,00-0033871,Corey,Davis,C.Davis
