year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds,This Week,Last Week,Difference
2024,7,4258173,Nico Collins,Nico,Collins,WR,HOU,,,,,,,"$4,000","$8,900","-4,900"
2024,7,4362628,Ja'Marr Chase,Ja'Marr,Chase,WR,CIN,11.46,17.46,14.46,6.01,82.08,0.56,,,
2024,7,3116165,Chris Godwin,Chris,Godwin,WR,TB,10.59,17.16,13.87,6.57,77.91,0.46,"$7,900","$7,500",+400
2024,7,4047650,DK Metcalf,DK,Metcalf,WR,SEA,9.95,15.24,12.6,5.29,72.57,0.47,"$8,100","$8,300",-200
2024,7,4241389,CeeDee Lamb,CeeDee,Lamb,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024,7,4262921,Justin Jefferson,Justin,Jefferson,WR,MIN,12.51,19.07,15.79,6.56,90.3,0.6,"$9,400",-,-
2024,7,4362249,Jayden Reed,Jayden,Reed,WR,GB,10.0,14.99,12.49,4.99,63.79,0.43,"$7,600","$7,700",-100
2024,7,4426502,Drake London,Drake,London,WR,ATL,11.14,17.46,14.3,6.32,78.06,0.58,"$7,500","$7,400",+100
2024,7,4432773,Brian Thomas Jr.,Brian,Thomas Jr.,WR,JAX,8.14,12.54,10.34,4.4,58.33,0.38,,,
2024,7,3886598,Jauan Jennings,Jauan,Jennings,WR,SF,6.18,9.71,7.94,3.53,45.35,0.28,"$5,300","$5,500",-200
2024,7,4429615,Zay Flowers,Zay,Flowers,WR,BAL,9.12,14.42,11.77,5.3,64.21,0.37,"$7,300","$7,200",+100
2024,7,4569618,Garrett Wilson,Garrett,Wilson,WR,NYJ,8.96,14.05,11.5,5.1,64.89,0.43,"$7,400","$7,800",-400
2024,7,2976212,Stefon Diggs,Stefon,Diggs,WR,HOU,9.91,15.92,12.92,6.02,73.53,0.43,"$8,600","$8,000",+600
2024,7,4595348,Malik Nabers,Malik,Nabers,WR,NYG,9.42,14.92,12.17,5.5,67.56,0.41,"$8,300","$8,000",+300
2024,7,4432665,Brock Bowers,Brock,Bowers,WR,LV,,,,,,,,,
2024,7,4040655,Darnell Mooney,Darnell,Mooney,WR,ATL,8.06,12.24,10.15,4.18,57.48,0.39,"$6,300","$6,500",-200
2024,7,4360078,Alec Pierce,Alec,Pierce,WR,IND,4.02,5.92,4.97,1.9,30.24,0.17,"$5,700","$5,800",-100
2024,7,4426388,Jameson Williams,Jameson,Williams,WR,DET,7.68,11.04,9.36,3.35,54.23,0.33,"$6,500","$6,300",+200
2024,7,4426354,George Pickens,George,Pickens,WR,PIT,8.18,12.58,10.38,4.4,61.1,0.36,"$6,000","$6,200",-200
2024,7,3121422,Terry McLaurin,Terry,McLaurin,WR,WSH,9.71,15.27,12.49,5.56,70.01,0.44,"$7,200","$6,800",+400
2024,7,3128390,Allen Lazard,Allen,Lazard,WR,NYJ,4.85,7.46,6.15,2.62,33.67,0.25,"$5,700","$5,800",-100
2024,7,4360438,Brandon Aiyuk,Brandon,Aiyuk,WR,SF,8.4,12.71,10.55,4.31,62.26,0.38,"$6,800","$7,000",-200
2024,7,4032473,Rashid Shaheed,Rashid,Shaheed,WR,NO,,,,,,,"$6,800","$6,400",+400
