year,week,player_id,player,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds
2024,5,4258173,Nico Collins,WR,HOU,11.57,17.57,14.57,6.0,85.69,0.52
2024,5,3116165,Chris Godwin,WR,TB,9.35,15.35,12.35,6.01,69.01,0.41
2024,5,4595348,Malik Nabers,WR,NYG,,,,,,
2024,5,4047650,DK Metcalf,WR,SEA,10.12,15.38,12.75,5.26,73.54,0.48
2024,5,3886598,Jauan Jennings,WR,SF,6.34,9.99,8.16,3.64,46.06,0.29
2024,5,4262921,Justin Jefferson,WR,MIN,11.34,17.33,14.33,5.99,81.87,0.54
2024,5,4426502,Drake London,WR,ATL,9.07,14.29,11.68,5.22,64.78,0.45
2024,5,4362249,Jayden Reed,WR,GB,11.24,16.69,13.96,5.45,71.82,0.5
2024,5,4040655,Darnell Mooney,WR,ATL,6.98,10.81,8.89,3.83,50.42,0.33
2024,5,4241389,CeeDee Lamb,WR,DAL,12.21,18.7,15.46,6.49,86.05,0.52
2024,5,3121023,Dallas Goedert,WR,PHI,,,,,,
2024,5,4362628,Ja'Marr Chase,WR,CIN,11.01,16.94,13.97,5.93,78.19,0.54
2024,5,4426388,Jameson Williams,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4428331,Rashee Rice,WR,KC,,,,,,
2024,5,4426354,George Pickens,WR,PIT,9.14,13.82,11.48,4.68,67.4,0.41
2024,5,16737,Mike Evans,WR,TB,9.96,14.9,12.43,4.94,69.76,0.51
2024,5,4432773,Brian Thomas Jr.,WR,JAX,7.91,12.63,10.27,4.71,60.56,0.31
2024,5,4361370,Chris Olave,WR,NO,8.35,13.29,10.82,4.94,63.35,0.34
2024,5,4032473,Rashid Shaheed,WR,NO,7.93,11.73,9.83,3.79,56.05,0.33
2024,5,4374302,Amon-Ra St. Brown,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4432708,Marvin Harrison Jr.,WR,ARI,10.0,15.41,12.71,5.41,71.33,0.5
2024,5,3932905,Diontae Johnson,WR,CAR,9.15,14.48,11.81,5.34,68.64,0.4
2024,5,4241478,DeVonta Smith,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4360078,Alec Pierce,WR,IND,3.82,5.74,4.78,1.92,28.44,0.16
2024,5,2976212,Stefon Diggs,WR,HOU,8.91,14.16,11.53,5.24,63.12,0.42
2024,5,4373678,Khalil Shakir,WR,BUF,,,,,,
2024,5,3728262,Ray-Ray McCloud III,WR,ATL,5.64,9.08,7.36,3.44,36.25,0.27
2024,5,4430878,Jaxon Smith-Njigba,WR,SEA,7.43,12.55,9.99,5.12,56.23,0.32
2024,5,4360797,Tutu Atwell,WR,LAR,6.84,10.33,8.59,3.49,53.9,0.23
2024,5,3126486,Deebo Samuel Sr.,WR,SF,10.73,15.36,13.05,4.63,63.13,0.4
2024,5,3116406,Tyreek Hill,WR,MIA,8.61,13.32,10.96,4.7,62.22,0.34
2024,5,4432665,Brock Bowers,WR,LV,,,,,,
2024,5,4372016,Jaylen Waddle,WR,MIA,5.88,9.58,7.73,3.71,44.31,0.22
2024,5,16800,Davante Adams,WR,LV,,,,,,
2024,5,3128390,Allen Lazard,WR,NYJ,5.35,8.42,6.88,3.07,38.37,0.25
2024,5,3916433,Jakobi Meyers,WR,LV,6.6,11.59,9.1,4.99,52.57,0.23
2024,5,4035687,Michael Pittman Jr.,WR,IND,8.26,13.83,11.05,5.57,64.45,0.33
2024,5,2577327,Tyler Lockett,WR,SEA,6.18,10.15,8.17,3.98,45.18,0.29
2024,5,4241463,Jerry Jeudy,WR,CLE,6.56,10.73,8.64,4.17,49.82,0.28
2024,5,4569587,Wan'Dale Robinson,WR,NYG,7.39,13.34,10.36,5.95,56.35,0.25
2024,5,4360248,Kyle Pitts,WR,ATL,,,,,,
2024,5,3128429,Courtland Sutton,WR,DEN,7.2,11.28,9.24,4.08,54.25,0.31
2024,5,3121422,Terry McLaurin,WR,WSH,8.13,13.27,10.7,5.14,62.11,0.34
2024,5,4569618,Garrett Wilson,WR,NYJ,8.74,13.76,11.25,5.02,63.31,0.4
2024,5,3915416,DJ Moore,WR,CHI,8.39,13.24,10.81,4.85,61.5,0.34
2024,5,4429160,De'Von Achane,WR,MIA,11.94,15.14,13.54,3.19,24.15,0.16
2024,5,4612826,Ladd McConkey,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3054850,Alvin Kamara,WR,NO,13.97,18.17,16.07,4.2,31.29,0.17
2024,5,3115306,Josh Reynolds,WR,DEN,4.08,6.53,5.31,2.45,30.4,0.18
2024,5,4428718,Tre Tucker,WR,LV,5.9,9.72,7.81,3.82,45.5,0.19
2024,5,3895856,Christian Kirk,WR,JAX,7.94,12.84,10.39,4.9,62.14,0.31
2024,5,4361432,Romeo Doubs,WR,GB,,,,,,
2024,5,4360438,Brandon Aiyuk,WR,SF,9.03,13.65,11.34,4.62,65.54,0.43
2024,5,4361050,Isaiah Likely,WR,BAL,,,,,,
2024,5,4431299,Rome Odunze,WR,CHI,5.72,8.87,7.3,3.16,41.29,0.26
2024,5,4258595,Cole Kmet,WR,CHI,,,,,,
2024,5,3040151,George Kittle,WR,SF,,,,,,
2024,5,3043116,Demarcus Robinson,WR,LAR,6.15,9.72,7.94,3.57,46.76,0.25
2024,5,4038441,Justice Hill,WR,BAL,5.03,7.95,6.49,2.92,23.84,0.15
2024,5,4249417,Jalen Tolbert,WR,DAL,5.52,8.72,7.12,3.2,41.61,0.23
2024,5,4242355,Jake Ferguson,WR,DAL,,,,,,
2024,5,15847,Travis Kelce,WR,KC,,,,,,
2024,5,4429615,Zay Flowers,WR,BAL,8.33,13.07,10.7,4.74,57.03,0.38
2024,5,4361411,Pat Freiermuth,WR,PIT,,,,,,
2024,5,4683062,Xavier Worthy,WR,KC,7.76,11.43,9.59,3.67,51.74,0.33
2024,5,4430807,Bijan Robinson,WR,ATL,13.22,17.1,15.16,3.88,28.96,0.2
2024,5,15835,Zach Ertz,WR,WSH,,,,,,
2024,5,2976499,Amari Cooper,WR,CLE,8.72,13.35,11.03,4.64,63.15,0.42
2024,5,3046439,Hunter Henry,WR,NE,,,,,,
2024,5,4243331,Cade Otton,WR,TB,,,,,,
2024,5,2977187,Cooper Kupp,WR,LAR,0.25,0.25,0.25,0.0,0.0,0.0
2024,5,3116164,Mike Gesicki,WR,CIN,,,,,,
2024,5,4430027,Sam LaPorta,WR,DET,,,,,,
2024,5,4360939,Rashod Bateman,WR,BAL,4.73,7.31,6.02,2.58,34.82,0.21
2024,5,3042519,Aaron Jones,WR,MIN,12.64,16.17,14.4,3.53,25.38,0.16
2024,5,4430034,Xavier Legette,WR,CAR,6.66,10.51,8.59,3.86,48.73,0.24
2024,5,4429025,Quentin Johnston,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3925357,Calvin Ridley,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4360761,Michael Wilson,WR,ARI,5.56,8.71,7.13,3.15,41.2,0.25
2024,5,4382466,Jalen Nailor,WR,MIN,2.27,3.57,2.92,1.3,15.61,0.09
2024,5,4427366,Breece Hall,WR,NYJ,12.47,16.59,14.53,4.12,30.69,0.17
2024,5,4385690,Dalton Kincaid,WR,BUF,,,,,,
2024,5,4037235,Greg Dortch,WR,ARI,4.46,7.73,6.1,3.28,32.83,0.18
2024,5,4572680,Tucker Kraft,WR,GB,,,,,,
2024,5,4697815,Rachaad White,WR,TB,8.29,11.49,9.89,3.2,23.3,0.13
2024,5,3915486,Tyler Conklin,WR,NYJ,,,,,,
2024,5,4635008,Keon Coleman,WR,BUF,6.69,10.54,8.62,3.85,50.47,0.29
2024,5,4243389,Calvin Austin III,WR,PIT,3.25,5.06,4.16,1.81,22.43,0.13
2024,5,3916945,Darius Slayton,WR,NYG,6.33,9.88,8.1,3.55,48.53,0.25
2024,5,4361307,Trey McBride,WR,ARI,,,,,,
2024,5,15795,DeAndre Hopkins,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3068267,Austin Ekeler,WR,WSH,7.25,10.16,8.71,2.91,22.82,0.13
2024,5,4243537,Gabe Davis,WR,JAX,5.95,9.22,7.58,3.28,41.95,0.31
2024,5,3045138,Mike Williams,WR,NYJ,4.82,7.54,6.18,2.72,36.22,0.21
2024,5,2310331,Tyler Johnson,WR,LAR,2.98,4.83,3.9,1.85,22.59,0.12
2024,5,4047646,A.J. Brown,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4259545,D'Andre Swift,WR,CHI,9.96,12.73,11.34,2.77,19.18,0.09
2024,5,4426385,Zach Charbonnet,WR,SEA,5.56,7.63,6.59,2.08,14.72,0.08
2024,5,3917914,Olamide Zaccheaus,WR,WSH,3.51,5.62,4.57,2.12,26.16,0.15
2024,5,4368003,Andrei Iosivas,WR,CIN,4.17,6.65,5.41,2.48,29.49,0.2
2024,5,4242557,Colby Parkinson,WR,LAR,,,,,,
2024,5,4569382,Jordan Whittington,WR,LAR,6.61,10.86,8.73,4.25,50.35,0.26
2024,5,3121409,Noah Brown,WR,WSH,,,,,,
2024,5,4036131,Noah Fant,WR,SEA,,,,,,
2024,5,16460,Adam Thielen,WR,CAR,,,,,,
2024,5,3045144,Tyler Boyd,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4429205,Jordan Addison,WR,MIN,7.0,10.87,8.94,3.87,49.03,0.33
2024,5,4379399,James Cook,WR,BUF,11.87,14.62,13.24,2.75,22.4,0.15
2024,5,4428850,Dontayvion Wicks,WR,GB,8.75,13.18,10.97,4.43,61.04,0.44
