season,seasonType,firstName,lastName,position,teamName,Receptions,Receiving Targets,Receiving Yards,Yards Per Reception,Receiving Touchdowns,Long Reception,20+ Yard Receiving Plays,Receiving Yards Per Game,Receiving Fumbles,Receiving Fumbles Lost,Receiving Yards After Catch,Receiving First Downs,20+ Yard Play Percentage
2024,2,Nico,Collins,Wide Receiver,Texans,32,45,567,17.7,3,67,8,113.4,0,0,195,27,0.25
2024,2,A.J.,Brown,Wide Receiver,Eagles,5,10,119,23.8,1,67,2,119.0,0,0,65,5,0.4
2024,2,David,Njoku,Tight End,Browns,5,8,58,11.6,0,29,1,29.0,0,0,42,2,0.2
2024,2,Jalen,McMillan,Wide Receiver,Buccaneers,3,6,59,19.7,1,32,2,19.7,0,0,8,3,0.67
2024,2,Mo,Alie-Cox,Tight End,Colts,3,7,59,19.7,1,22,1,11.8,0,0,18,3,0.33
2024,2,Ty,Johnson,Running Back,Bills,4,6,61,15.3,1,33,1,12.2,0,0,7,3,0.25
2024,2,Jalen,Brooks,Wide Receiver,Cowboys,4,8,62,15.5,0,24,1,12.4,0,0,24,3,0.25
2024,2,Ashton,Dulin,Wide Receiver,Colts,2,4,67,33.5,1,54,1,13.4,0,0,43,2,0.5
2024,2,KhaDarel,Hodge,Wide Receiver,Falcons,2,2,67,33.5,1,45,2,13.4,0,0,45,2,1.0
2024,2,Eric,Saubert,Tight End,49ers,4,5,67,16.8,0,20,1,13.4,0,0,31,2,0.25
2024,2,Jalen,Coker,Wide Receiver,Panthers,4,5,68,17.0,0,31,1,34.0,0,0,31,4,0.25
2024,2,Tim,Patrick,Wide Receiver,Lions,5,7,72,14.4,0,29,2,24.0,0,0,40,3,0.4
2024,2,Christian,Watson,Wide Receiver,Packers,5,8,80,16.0,1,37,2,20.0,0,0,23,3,0.4
2024,2,Charlie,Kolar,Tight End,Ravens,5,6,98,19.6,1,55,2,19.6,0,0,61,3,0.4
2024,2,Alexander,Mattison,Running Back,Raiders,9,13,103,11.4,1,31,2,20.6,0,0,106,6,0.22
2024,2,KaVontae,Turpin,Wide Receiver,Cowboys,9,13,105,11.7,1,34,2,21.0,0,0,46,4,0.22
2024,2,Tyler,Boyd,Wide Receiver,Titans,10,16,108,10.8,0,27,2,27.0,0,0,43,6,0.2
2024,2,Grant,Calcaterra,Tight End,Eagles,4,5,56,14.0,0,26,1,14.0,0,0,21,4,0.25
2024,2,Sterling,Shepard,Wide Receiver,Buccaneers,4,7,55,13.8,1,30,1,18.3,0,0,8,3,0.25
2024,2,Cade,Stover,Tight End,Texans,4,4,51,12.8,0,27,1,10.2,0,0,33,2,0.25
2024,2,Dee,Eskridge,Wide Receiver,Dolphins,1,1,30,30.0,0,30,1,15.0,0,0,17,1,1.0
2024,2,Ja'Marr,Chase,Wide Receiver,Bengals,29,36,493,17.0,5,70,7,98.6,0,0,233,20,0.24
2024,2,Emari,Demercado,Running Back,Cardinals,4,4,26,6.5,0,24,1,5.2,0,0,28,1,0.25
2024,2,Emanuel,Wilson,Running Back,Packers,5,7,28,5.6,1,30,1,5.6,0,0,50,2,0.2
2024,2,Tank,Bigsby,Running Back,Jaguars,1,1,28,28.0,0,28,1,5.6,0,0,31,1,1.0
2024,2,Troy,Franklin,Wide Receiver,Broncos,5,12,29,5.8,0,20,1,7.3,0,0,20,1,0.2
2024,2,Pierre,Strong Jr.,Running Back,Browns,3,6,30,10.0,0,20,1,10.0,0,0,29,1,0.33
