FirstName,LastName,Team,Position,This Week,Last Week,Difference
Metchie,III,HOU,WR,"$4,400","$4,300",+100
Ricky,Pearsall,SF,WR,"$4,800","$4,000",+800
Joseph,Ngata,PHI,WR,"$4,000","$4,000",0
Anthony,Gould,IND,WR,"$4,000","$4,000",0
Trey,Palmer,TB,WR,"$4,100","$4,200",-100
Ramel,Keyton,LV,WR,"$4,000","$4,000",0
Puka,Nacua,LAR,WR,"$4,000",-,-
Jordan,Whittington,LAR,WR,"$5,300",-,-
Ahmarean,Brown,BUF,WR,"$4,000","$4,000",0
Tre,Mosley,CIN,WR,"$4,000","$4,000",0
Devaughn,Vele,DEN,WR,"$4,700","$4,000",+700
Dale,Robinson,NYG,WR,"$6,600","$6,300",+300
Luke,McCaffrey,WAS,WR,"$4,300","$4,500",-200
Garrett,Wilson,NYJ,WR,"$7,400","$7,800",-400
Tre,Tucker,LV,WR,"$5,500","$5,400",+100
Davion,Davis,WAS,WR,"$4,000","$4,000",0
Ashton,Dulin,IND,WR,"$4,200","$4,300",-100
Deonte,Harty,BAL,WR,"$4,000","$4,000",0
Malik,Taylor,NYJ,WR,"$4,000","$4,000",0
Jeff,Foreman,LV,WR,"$4,000","$4,000",0
Tom,Kennedy,DET,WR,"$4,000","$4,000",0
Gunner,Olszewski,NYG,WR,"$4,000","$4,000",0
Quan,Jackson,TEN,WR,"$4,000","$4,000",0
George,Pickens,PIT,WR,"$6,000","$6,200",-200
Treylon,Burks,TEN,WR,"$4,600","$4,500",+100
Dontayvion,Wicks,GB,WR,"$5,600","$6,000",-400
Dayton,Wade,BAL,WR,"$4,000","$4,000",0
Tahj,Washington,MIA,WR,"$4,000",-,-
Jalon,Calhoun,DET,WR,"$4,000","$4,000",0
Malik,Washington,MIA,WR,"$4,100",-,-
Terique,Owens,SF,WR,"$4,000","$4,000",0
Rashee,Rice,KC,WR,"$4,000",-,-
Jameson,Williams,DET,WR,"$6,500","$6,300",+200
DeMario,Douglas,NE,WR,"$5,000","$5,000",0
Tayvion,Robinson,CAR,WR,"$4,000","$4,000",0
Casey,Washington,ATL,WR,"$4,000","$4,000",0
Isaiah,Williams,DET,WR,"$4,000","$4,000",0
Skyy,Moore,KC,WR,"$4,300",-,-
Jared,Wayne,HOU,WR,"$4,000","$4,000",0
Jonathan,Mingo,CAR,WR,"$5,200","$5,300",-100
Zay,Flowers,BAL,WR,"$7,300","$7,200",+100
Xavier,Gipson,NYJ,WR,"$4,200","$4,200",0
Lincoln,Victor,DEN,WR,"$4,000","$4,000",0
Xavier,White,IND,WR,"$4,000","$4,000",0
Joshua,Cephus,JAC,WR,"$4,000","$4,000",0
Isaiah,Washington,BAL,WR,"$4,000","$4,000",0
Drake,London,ATL,WR,"$7,500","$7,400",+100
Jamari,Thrash,CLE,WR,"$4,000","$4,000",0
Xavier,Smith,LAR,WR,"$4,100",-,-
Ainias,Smith,PHI,WR,"$4,000","$4,000",0
David,Bell,CLE,WR,"$4,000","$4,000",0
Xavier,Legette,CAR,WR,"$5,900","$5,900",0
Xavier,Weaver,ARI,WR,"$4,000","$4,000",0
Jacob,Cowing,SF,WR,"$4,000","$4,000",0
Cornelius,Johnson,GB,WR,"$4,000","$4,000",0
Ty,James,MIN,WR,"$4,000",-,-
Shaquan,Davis,PIT,WR,"$4,000","$4,000",0
Isaiah,Wooden,LAC,WR,"$4,000","$4,000",0
Isaiah,Winstead,NYJ,WR,"$4,000","$4,000",0
Kayshon,Boutte,NE,WR,"$4,600","$4,600",0
Johnny,Wilson,PHI,WR,"$4,600","$4,800",-200
Xavier,Hutchinson,HOU,WR,"$5,300","$4,900",+400
Jalen,McMillan,TB,WR,"$4,900","$4,500",+400
Quentin,Johnston,LAC,WR,"$5,800","$5,800",0
Lynn,Polk,NE,WR,"$4,700","$4,700",0
Mitchell,Tinsley,WAS,WR,"$4,000","$4,000",0
Malachi,Corley,NYJ,WR,"$4,000","$4,000",0
Jordan,Addison,MIN,WR,"$6,300",-,-
Tank,Dell,HOU,WR,"$7,000","$6,700",+300
Josh,Downs,IND,WR,"$6,400","$6,100",+300
Kristian,Wilkerson,LV,WR,"$4,000","$4,000",0
Mason,Kinsey,TEN,WR,"$4,000","$4,000",0
Ladd,McConkey,LAC,WR,"$5,900","$5,800",+100
Marcus,Rosemy,PHI,WR,"$4,000","$4,000",0
Jermaine,Burton,CIN,WR,"$4,700","$4,400",+300
Brenden,Rice,LAC,WR,"$4,000","$4,100",-100
Rakim,Jarrett,TB,WR,"$4,000","$4,000",0
Danny,Gray,PHI,WR,"$4,000","$4,000",0
Parker,Washington,JAC,WR,"$4,600","$4,500",+100
Roman,Wilson,PIT,WR,"$4,100","$4,200",-100
Jason,Brownlee,NYJ,WR,"$4,000","$4,000",0
