season,season_type,week,player_name,position,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,targets,target_share,receptions,receiving_yards
2024,REG,1,C.Kupp,WR,LA,DET,18.00,32.00,21,0.44,14,110.0
2024,REG,1,T.Hill,WR,MIA,JAX,19.00,26.00,12,0.33,7,130.0
2024,REG,1,C.Sutton,WR,DEN,SEA,3.80,7.80,12,0.29,4,38.0
2024,REG,1,W.Robinson,WR,NYG,MIN,5.80,11.80,12,0.32,6,44.0
2024,REG,1,K.Allen,WR,CHI,TEN,2.90,6.90,11,0.38,4,29.0
2024,REG,1,G.Wilson,WR,NYJ,SF,6.00,12.00,11,0.38,6,60.0
2024,REG,1,A.Brown,WR,PHI,GB,17.90,22.90,10,0.34,5,119.0
2024,REG,1,C.Lamb,WR,DAL,CLE,8.60,13.60,10,0.32,5,61.0
2024,REG,1,Z.Flowers,WR,BAL,KC,5.10,11.10,10,0.25,6,37.0
2024,REG,1,A.Cooper,WR,CLE,DAL,1.60,3.60,9,0.21,2,16.0
2024,REG,1,A.Lazard,WR,NYJ,SF,20.90,26.90,9,0.31,6,89.0
2024,REG,1,D.Samuel,WR,SF,NYJ,13.70,18.70,9,0.31,5,54.0
2024,REG,1,J.Williams,WR,DET,LA,19.40,24.40,9,0.32,5,121.0
2024,REG,1,R.Rice,WR,KC,BAL,10.30,17.30,9,0.33,7,103.0
2024,REG,1,C.Godwin,WR,TB,WAS,14.30,22.30,8,0.27,8,83.0
2024,REG,1,J.Reynolds,WR,DEN,SEA,4.50,9.50,8,0.19,5,45.0
2024,REG,1,D.Moore,WR,CHI,TEN,5.00,10.00,8,0.28,5,36.0
2024,REG,1,G.Dortch,WR,ARI,BUF,5.10,11.10,8,0.26,6,47.0
2024,REG,1,M.Pittman,WR,IND,HOU,3.10,7.10,8,0.42,4,31.0
2024,REG,1,J.Jeudy,WR,CLE,DAL,8.50,11.50,8,0.19,3,25.0
2024,REG,1,N.Collins,WR,HOU,IND,11.70,17.70,8,0.26,6,117.0
2024,REG,1,D.Smith,WR,PHI,GB,8.40,15.40,8,0.28,7,84.0
2024,REG,1,D.Vele,WR,DEN,SEA,3.90,11.90,8,0.19,8,39.0
2024,REG,1,B.Cooks,WR,DAL,CLE,10.50,14.50,7,0.23,4,40.0
2024,REG,1,T.Lockett,WR,SEA,DEN,7.70,13.70,7,0.28,6,77.0
2024,REG,1,D.Robinson,WR,LA,DET,4.20,8.20,7,0.15,4,42.0
2024,REG,1,R.McCloud,WR,ATL,PIT,5.20,9.20,7,0.3,4,52.0
2024,REG,1,C.Ridley,WR,TEN,CHI,5.00,8.00,7,0.26,3,50.0
2024,REG,1,T.Johnson,WR,LA,DET,7.90,12.90,7,0.15,5,79.0
2024,REG,1,G.Pickens,WR,PIT,ATL,7.50,13.50,7,0.32,6,85.0
2024,REG,1,R.Doubs,WR,GB,PHI,5.00,9.00,7,0.22,4,50.0
2024,REG,1,T.Dell,WR,HOU,IND,5.90,8.90,7,0.23,3,40.0
2024,REG,1,M.Nabers,WR,NYG,MIN,6.60,11.60,7,0.18,5,66.0
2024,REG,1,X.Legette,WR,CAR,NO,3.50,7.50,7,0.24,4,35.0
2024,REG,1,L.McConkey,WR,LAC,LV,9.90,14.90,7,0.28,5,39.0
2024,REG,2,A.St. Brown,WR,DET,TB,11.90,22.90,18,0.34,11,119.0
2024,REG,2,M.Nabers,WR,NYG,WAS,18.70,28.70,18,0.67,10,127.0
2024,REG,2,J.Smith-Njigba,WR,SEA,NE,11.70,23.70,16,0.37,12,117.0
2024,REG,2,D.Metcalf,WR,SEA,NE,18.90,28.90,14,0.33,10,129.0
2024,REG,2,D.Adams,WR,LV,BAL,17.00,26.00,12,0.33,9,110.0
2024,REG,2,J.Williams,WR,DET,TB,9.40,14.40,11,0.21,5,79.0
2024,REG,2,Z.Flowers,WR,BAL,LV,15.10,22.10,11,0.35,7,91.0
2024,REG,2,D.Moore,WR,CHI,HOU,5.30,11.30,10,0.29,6,53.0
2024,REG,2,D.Samuel,WR,SF,MIN,10.00,18.00,10,0.28,8,110.0
2024,REG,2,N.Collins,WR,HOU,CHI,19.50,27.50,10,0.29,8,135.0
2024,REG,2,D.Smith,WR,PHI,ATL,13.60,20.60,10,0.34,7,76.0
2024,REG,2,J.Tolbert,WR,DAL,NO,8.20,14.20,9,0.22,6,82.0
2024,REG,2,A.Cooper,WR,CLE,JAX,1.10,4.10,8,0.24,3,11.0
2024,REG,2,C.Godwin,WR,TB,DET,17.70,24.70,8,0.42,7,117.0
2024,REG,2,T.McLaurin,WR,WAS,NYG,2.20,8.20,8,0.28,6,22.0
2024,REG,2,E.Moore,WR,CLE,JAX,4.40,10.40,8,0.24,6,44.0
2024,REG,2,M.Harrison,WR,ARI,LA,25.00,29.00,8,0.38,4,130.0
2024,REG,2,G.Davis,WR,JAX,CLE,4.30,7.30,7,0.26,3,43.0
2024,REG,2,M.Pittman,WR,IND,GB,2.10,5.10,7,0.23,3,21.0
2024,REG,2,D.Mooney,WR,ATL,PHI,14.80,17.80,7,0.24,3,88.0
2024,REG,2,J.Jefferson,WR,MIN,SF,19.30,23.30,7,0.29,4,133.0
2024,REG,2,C.Lamb,WR,DAL,NO,15.00,19.00,7,0.17,4,90.0
2024,REG,2,D.London,WR,ATL,PHI,11.40,17.40,7,0.24,6,54.0
2024,REG,2,A.Pierce,WR,IND,GB,11.60,16.60,7,0.23,5,56.0
2024,REG,3,D.Johnson,WR,CAR,LV,18.20,26.20,14,0.38,8,122.0
2024,REG,3,R.Rice,WR,KC,ATL,17.10,29.10,14,0.39,12,110.0
2024,REG,3,A.Cooper,WR,CLE,NYG,20.60,27.60,12,0.34,7,86.0
2024,REG,3,S.Diggs,WR,HOU,MIN,9.92,19.92,12,0.28,10,94.0
2024,REG,3,J.Jennings,WR,SF,LA,35.50,46.50,12,0.4,11,175.0
2024,REG,3,M.Nabers,WR,NYG,CLE,20.20,28.20,12,0.36,8,78.0
2024,REG,3,C.Sutton,WR,DEN,TB,6.80,13.80,11,0.32,7,68.0
2024,REG,3,M.Harrison,WR,ARI,DET,12.40,17.40,11,0.32,5,64.0
2024,REG,3,R.Odunze,WR,CHI,IND,17.40,23.40,11,0.23,6,112.0
2024,REG,3,C.Kirk,WR,JAX,BUF,7.90,15.90,10,0.23,8,79.0
2024,REG,3,D.Moore,WR,CHI,IND,7.20,15.20,10,0.21,8,78.0
2024,REG,3,B.Aiyuk,WR,SF,LA,4.80,9.80,10,0.33,5,48.0
2024,REG,3,N.Collins,WR,HOU,MIN,8.60,12.60,10,0.23,4,86.0
2024,REG,3,D.Smith,WR,PHI,NO,7.90,14.90,10,0.28,7,79.0
2024,REG,3,D.Adams,WR,LV,CAR,4.00,8.00,9,0.23,4,40.0
2024,REG,3,C.Godwin,WR,TB,DEN,11.30,17.30,9,0.28,6,53.0
2024,REG,3,J.Meyers,WR,LV,CAR,14.20,21.20,9,0.23,7,62.0
2024,REG,3,D.London,WR,ATL,KC,12.70,18.70,9,0.33,6,67.0
